Office_Name,County,City,Address,Latitude,Longitude
서신지구대,전라북도,전주시,완산구 새터로 46 서신지구대,35.8353917,127.1114181
남문지구대,전라북도,전주시,완산구 대동로 95 남문지구대,35.8235916,127.146028
삼천지구대,전라북도,전주시,완산구 성지산로 24 삼천지구대,35.7997514,127.1210855
화산지구대,전라북도,전주시,완산구 서원로 295 화산지구대,35.8120008,127.1267589
효자지구대,전라북도,전주시,완산구 용머리로 125 효자지구대,35.8063329,127.1240704
서부지구대,전라북도,전주시,완산구 마전들로 1 서부파출소,35.8212375,127.0961547
평화지구대,전라북도,전주시,완산구 평화로 159 평화파출소,35.7910047,127.1357081
서학파출소,전라북도,전주시,완산구 서학3길 45 서학파출소,35.8074997,127.1515917
덕진지구대,전라북도,전주시,덕진구 사평로 76 덕진지구대,35.8433589,127.1238332
아중지구대,전라북도,전주시,덕진구 진버들4길 10 아중지구대,35.8357762,127.1638449
모래내지구대,전라북도,전주시,덕진구 안덕원로 173 모래내지구대,35.8344798,127.1464648
호성파출소,전라북도,전주시,덕진구 동부대로 871 호성파출소,35.8639661,127.1493887
역전파출소,전라북도,전주시,덕진구 동부대로 688 역전파출소,35.8500863,127.1604359
여의파출소,전라북도,전주시,덕진구 쪽구름로 82 여의파출소,35.8727543,127.0761323
팔복파출소,전라북도,전주시,덕진구 신복로 58 팔복파출소,35.8560949,127.107993
솔내파출소,전라북도,전주시,덕진구 솔내6길 23 솔내파출소,35.8587438,127.1235269
송천2파출소,전라북도,전주시,덕진구 송천로 50 송천2파출소,35.8578337,127.1184231
진북파출소,전라북도,전주시,덕진구 진북1길 19 진북파출소,35.8269081,127.1326564
혁신파출소,전라북도,전주시,덕진구 출판로 92 혁신파출소,35.8393356,127.0626804
나운지구대,전라북도,군산시,대학로 293,35.9675428,126.6956743
임피파출소,전라북도,군산시,임피면 서원석곡로 610,35.9841419,126.8513018
성산파출소,전라북도,군산시,성산면 동군산로 25,35.9905355,126.7842563
나포파출소,전라북도,군산시,나포면 십자들로 644,36.0310895,126.8315075
서수파출소,전라북도,군산시,서수면 항쟁로 191,35.9828658,126.8752704
대야파출소,전라북도,군산시,대야면 만자로 10,35.9457906,126.8098518
개정파출소,전라북도,군산시,개정면 번영로 459,35.9628525,126.7677101
회현파출소,전라북도,군산시,회현면 회현로 173,35.9134553,126.7561567
은파지구대,전라북도,군산시,백토로 221번지,35.9592626,126.7047376
