Name,Latitude,Longitude,County,City,Town,Address
해남종합버스터미널,34.5706637319581,126.607936458469,전라남도,해남군,해남읍,해리 401
우수영터미널,34.5936617383426,126.314150656984,전라남도,해남군,문내면,동외리 455-1
회진시외버스터미널,34.4852182644648,126.93919190731,전라남도,장흥군,회진면,회진리 1896-7
관산버스터미널,34.5657960977777,126.936622631477,전라남도,장흥군,관산읍,남송리 30-31
대덕공용버스터미널,34.497084695351006,126.88972836167666,전라남도,장흥군,대덕읍,신월리 21-3
녹동공영버스터미널,34.53287468488706,127.13899946971846,전라남도,고흥군,도양읍,봉암리 1613-1
마량공용버스터미널,34.45139297317088,126.81727178805264,전라남도,강진군,마량면,마량리 987-43
나로도공용터미널,34.46316042263651,127.4601596504958,전라남도,고흥군,봉래면,신금리 878-343
지도서부정류소,35.059156238679,126.204954219907,전라남도,신안군,지도읍,읍내리 168-55
무안버스터미널,34.98811733665694,126.47822058585412,전라남도,무안군,무안읍,성동리 873-11
함평공영터미널,35.0620907731928,126.523352012092,전라남도,함평군,함평읍,기각리 988-1
영산포공용터미널,34.99463596823493,126.71272892293725,전라남도,나주시,이창동,191
다시터미널,35.020000997995375,126.63982596884216,전라남도,나주시,다시면,월태리 494-47
시종공용버스정류장,34.8689251053525,126.609155263276,전라남도,영암군,시종면,만수리 920-6
화순시외버스공용정류장,35.0563451240768,126.983272229977,전라남도,화순군,화순읍,삼천리 738
화순군내버스정류장,35.0621248305222,126.983955118222,전라남도,화순군,화순읍,교리 228
문덕버스정류장,34.9283416551461,127.170611660916,전라남도,보성군,문덕면,운곡리 651-12
순천종합버스터미널,34.947593954782,127.491363006997,전라남도,순천시,장천동,18-22
광양터미널,34.96971726940407,127.58998373907896,전라남도,광양시,광양읍,인동리 413
중마버스터미널,34.93602078293808,127.6994497685036,전라남도,광양시,중동,1732-2
곤양공용터미널,35.0574041897689,127.960894436407,경상남도,사천시,곤양면,성내리 97-2
진교시외버스터미널,35.0295239979063,127.903180024962,경상남도,하동군,진교면,진교리 426-66
삼천포터미널,34.9394603725928,128.080387365182,경상남도,사천시,벌리동,69
사천시외버스터미널,35.0783979382135,128.096074556908,경상남도,사천시,사천읍,선인리 315-2
남해공용터미널,34.841832037607006,127.8984713670982,경상남도,남해군,남해읍,북변리 316-3
고현버스터미널,34.89100604092332,128.62419764433344,경상남도,거제시,고현동,979-1
통영종합버스터미널,34.8851026844115,128.416928924059,경상남도,통영시,광도면,죽림리 1569
고성여객자동차터미널,34.9816594401577,128.327063859418,경상남도,고성군,고성읍,송학리 416-2
배둔시외버스터미널,35.0555575261997,128.3668489383588,경상남도,고성군,회화면,배둔리 1288-28
진동시외버스정류소,35.11497322578709,128.48582141744308,경상남도,창원시,마산합포구,진동면 진동리 635
상하버스터미널,35.4442596089738,126.490468497383,전라북도,고창군,상하면,하장리 934-7
고창문화터미널,35.4356589600878,126.696490684088,전라북도,고창군,고창읍,읍내리 629
격포터미널,35.6252738323323,126.471762050352,전라북도,부안군,변산면,격포리 302-2
흥덕버스터미널,35.518845620015,126.699180884475,전라북도,고창군,흥덕면,흥덕리 556
줄포시외버스터미널,35.5915677571252,126.678290434084,전라북도,부안군,줄포면,줄포리 382-32
홍농버스터미널,35.3942626451814,126.444759803032,전라남도,영광군,홍농읍,상하리 499
내장산공용터미널,35.4950145843433,126.926749329213,전라북도,정읍시,내장동,51-1
정읍공용버스터미널,35.572999663474086,126.84544707558103,전라북도,정읍시,연지동,49-11
순창공용버스정류장,35.376809371914,127.141308677107,전라북도,순창군,순창읍,순화리 114-1
강진공용버스터미널,35.52942615860695,127.16087200201127,전라북도,임실군,강진면,갈담리 379
정읍고속버스터미널,35.572704473958844,126.84578741962432,전라북도,정읍시,연지동,49-11
태인터미널,35.6513689338957,126.941461280875,전라북도,정읍시,태인면,태창리 105-2
장성사거리버스여객터미널,35.4304143302422,126.809879408426,전라남도,장성군,북이면,사거리 636-1
청웅터미널,35.56922771324853,127.20155642190984,전라북도,임실군,청웅면,구고리 219-5
인월지리산공용터미널,35.4614639507577,127.603327470999,전라북도,남원시,인월면,인월리 233-3
남원공용버스터미널,35.4096900154104,127.387973005477,전라북도,남원시,동충동,37-1
장수공용버스터미널,35.6480538667873,127.518423627631,전라북도,장수군,장수읍,장수리 472-1
오수공용버스정류장,35.5396061916933,127.326457542066,전라북도,임실군,오수면,오수리 362-21
반선시외버스터미널,35.3773716542564,127.580638233065,전라북도,남원시,산내면,부운리 215-3
합천버스정류장,35.5672317925942,128.162900214364,경상남도,합천군,합천읍,합천리 405
산청버스터미널,35.4162666588202,127.878704363248,경상남도,산청군,산청읍,산청리 225-5
삼가시외버스터미널,35.4146689921769,128.121668805972,경상남도,합천군,삼가면,금리 64-5
창녕시외버스터미널,35.54228099441004,128.49036832842617,경상남도,창녕군,창녕읍,교리 1040-1
영신버스터미널,35.5437849711273,128.488774153723,경상남도,창녕군,창녕읍,교리 992-6
영산터미널,35.4564049244343,128.527339120459,경상남도,창녕군,영산면,서리 145-1
영산정류소,35.4565027334885,128.527301317003,경상남도,창녕군,영산면,서리 145-20
부곡버스터미널,35.43755548077314,128.59054157689567,경상남도,창녕군,부곡면,거문리 231-14
남지버스터미널,35.3914499039767,128.484181338126,경상남도,창녕군,남지읍,남지리 167-12
신반버스합동터미널,35.46893485520768,128.32433742162604,경상남도,의령군,부림면,신반리 565-19
풍각버스정류장,35.6405937891184,128.615564456708,경상북도,청도군,풍각면,송서리 558
양산시외버스터미널,35.33564641078366,129.02676167678396,경상남도,양산시,중부동,710-1
금마공용버스터미널,35.98976395803193,127.0536044541761,전라북도,익산시,금마면,동고도리 825-1
익산시외고속버스터미널,35.931295747395865,126.9437877114284,전라북도,익산시,평화동,247-6
여산합동정류소,36.05884060067602,127.08472898995296,전라북도,익산시,여산면,여산리 450-1
삼례공용터미널,35.9099151414285,127.075009310077,전라북도,완주군,삼례읍,삼례리 910-2
대야공용버스터미널,35.9466421760501,126.810184464356,전라북도,군산시,대야면,지경리 731-2
고산버스터미널,35.9750389913846,127.206896046032,전라북도,완주군,고산면,읍내리 595-4
무주공용버스터미널,36.0046827066551,127.664381910047,전라북도,무주군,무주읍,당산리 1229
대둔산공용버스터미널,36.1181251269617,127.334358220305,전라북도,완주군,운주면,산북리 611-33
김천공용버스터미널,36.12366671052504,128.11832598914555,경상북도,김천시,성내동,38-1
설천버스정류소,36.0104827530774,127.786719090408,전라북도,무주군,설천면,소천리 904-216
왜관북부버스정류장,35.9972928909911,128.399035263245,경상북도,칠곡군,왜관읍,왜관리 197-2
왜관남부버스정류장,35.9891327311931,128.39959636918,경상북도,칠곡군,왜관읍,왜관리 291-1
구미종합터미널,36.1227014510418,128.352088125624,경상북도,구미시,원평동,1073-1
영천버스터미널,35.9606676169119,128.927532864441,경상북도,영천시,금노동,584-3
북안공용버스터미널,35.91865340294528,129.00898361628856,경상북도,영천시,북안면,임포리 328-1
신녕버스터미널,36.0408177548702,128.788638227691,경상북도,영천시,신녕면,완전리 847
안강시외버스터미널 (2025년 5월 예정),35.9966945450945,129.202092370927,경상북도,경주시,안강읍,산대리 1526-12
포항고속버스터미널,36.028054962554,129.367600135846,경상북도,포항시,남구,해도동 33-7
포항터미널,36.0134727818623,129.349677162622,경상북도,포항시,남구,상도동 579-13
포항고속버스터미널 매점,36.0280008474803,129.36760295248,경상북도,포항시,남구,해도동 33-7
고속터미널사거리,36.0282158984936,129.367161276032,경상북도,포항시,남구,해도동 481
G car zone 포항고속버스터미널,36.026178999842784,129.36874520164335,경상북도,포항시,남구,해도동 413-5
CU ATM 포항고속터미널앞점,36.0285804023025,129.367819959872,경상북도,포항시,북구,죽도동 725
화령공용버스터미널,36.44372495499139,127.94871009157224,경상북도,상주시,화서면,신봉리 380-2
상주종합버스터미널,36.4190739500646,128.15143897565,경상북도,상주시,무양동,291
점촌터미널,36.5861221803254,128.19233905849,경상북도,문경시,모전동,115-2
함창버스정류장,36.5682978601863,128.175724137745,경상북도,상주시,함창읍,구향리 166-14
