Name,Latitude,Longitude,County,City,Town,Address
함평역,35.023935885996,126.538734216487,전라남도,함평군,학교면,사거리 402
무안역,34.9627163520635,126.516942595985,전라남도,무안군,몽탄면,사창리 653
몽탄역,34.9298652239962,126.503226518288,전라남도,무안군,몽탄면,사천리 969
고막원역,35.0247169719803,126.608112802737,전라남도,나주시,다시면,송촌리 산 23-3
나주역,35.01425020172698,126.71704720522916,전라남도,나주시,송월동,409-1
일로역,34.8484423621397,126.477723935725,전라남도,무안군,삼향읍,맥포리 222-29
다시역,35.016677874561,126.641125734174,전라남도,나주시,다시면,영동리 405
능주역,34.9866858766029,126.963992403475,전라남도,화순군,능주면,관영리 230-11
화순역,35.05154506620131,126.96218386068136,전라남도,화순군,화순읍,벽라리 507
이양역,34.8916082957519,126.989755863349,전라남도,화순군,이양면,오류리 664-1
순천역,34.9457678276559,127.50323613315,전라남도,순천시,덕암동,188-100
광양역,34.9565547158341,127.587713961496,전라남도,광양시,광양읍,도월리 573-6
평화역,34.9430658768408,127.550929217777,전라남도,순천시,해룡면,신대리 산 112-1
구례구역,35.1635096955428,127.452639370116,전라남도,순천시,황전면,선변리 850-2
신광양항역,34.89769481824408,127.6473139728412,전라남도,광양시,황길동,1400
광양항역,34.9230505271044,127.685768274531,전라남도,광양시,도이동,777
봉덕역,35.1332965022107,127.456452750348,전라남도,순천시,황전면,봉덕리 185-1
황길역,34.9189015940754,127.66218821617,전라남도,광양시,황길동,63-3
진주역,35.150773951788985,128.11788467810103,경상남도,진주시,가좌동,68-10
완사역,35.1343140293845,127.977385905861,경상남도,사천시,곤명면,정곡리 120-14
북천역,35.11136327055193,127.88362764124476,경상남도,하동군,북천면,직전리 522-5
정읍역,35.5755065340571,126.842249568528,전라북도,정읍시,연지동,343-1
백양사역,35.4313957503332,126.808097496173,전라남도,장성군,북이면,사거리 587-1
남원역,35.41123170900995,127.36138998636784,전라북도,남원시,신정동,521-1
오수역,35.54290810051662,127.32057667225652,전라북도,임실군,오수면,대명리 565-1
원동역,35.3627446668922,128.920810300237,경상남도,양산시,원동면,원리 1154-1
삼랑진역,35.3994363381125,128.843088032844,경상남도,밀양시,삼랑진읍,송지리 156-197
낙동강역,35.3893644244531,128.831743907259,경상남도,밀양시,삼랑진읍,삼랑리 10-15
미전역,35.401604246825,128.819935660677,경상남도,밀양시,삼랑진읍,미전리 974
황등역,36.0001068251798,126.943134461598,전라북도,익산시,황등면,황등리 999-6
익산역,35.94021739866028,126.94628827402263,전라북도,익산시,창인동2가,1
함열역,36.0801740422574,126.95695903956,전라북도,익산시,함열읍,와리 545-18
동익산역,35.9211099704626,126.95711186773,전라북도,익산시,동산동,534
삼례역,35.9042243999842,127.066265962047,전라북도,완주군,삼례읍,후정리 208-4
대야역,35.945163632439574,126.82404650104158,전라북도,군산시,대야면,산월리 248-27
동산역,35.8748064006271,127.08780148316951,전라북도,전주시,덕진구,고랑동 782
북전주역 간이역,35.86702139326872,127.09714905273847,전라북도,전주시,덕진구,팔복동4가 126-25
김천역,36.1234625740267,128.114703116642,경상북도,김천시,평화동,264-1
직지사역,36.1250362697363,128.039929232206,경상북도,김천시,대항면,덕전리 1067-3
신동역,35.9557495405605,128.486004882203,경상북도,칠곡군,지천면,신리 506
왜관역,35.99226290754166,128.40001871182642,경상북도,칠곡군,왜관읍,왜관리 216-1
연화역,35.9649937109063,128.447806598449,경상북도,칠곡군,지천면,연화리 906
신동화물역,35.9592564094416,128.450690138788,경상북도,칠곡군,지천면,연화리 700
지천역,35.8974502854895,128.50037556135,경상북도,칠곡군,지천면,용산리 632-30
약목역,36.03719609129129,128.36420527933464,경상북도,칠곡군,약목면,복성리 147-1
영천역,35.959521415625,128.939164635821,경상북도,영천시,완산동,891-2
하양역,35.90992895111723,128.81823430664986,경상북도,경산시,하양읍,금락리 133-43
아화역,35.89782388030437,129.05157210612646,경상북도,경주시,서면,심곡리 809-3
포항역,36.07160517955013,129.34192815800867,경상북도,포항시,북구,흥해읍 이인리 137-1
괴동역,35.9965347413342,129.37506595226,경상북도,포항시,남구,괴동동 572-1
영일만항화물역,36.10162731240592,129.4337743466999,경상북도,포항시,북구,흥해읍 용한리 853-1
상주역,36.4104366031736,128.163815432684,경상북도,상주시,성동동,611-6
함창역,36.5696577984383,128.174882340074,경상북도,상주시,함창읍,구향리 194
안동역,36.57446184140353,128.67487678751093,경상북도,안동시,송현동,646-1
예천역,36.64777418580633,128.4443773142049,경상북도,예천군,예천읍,서본리 212-7
영해역,36.53830428667237,129.3966546062759,경상북도,영덕군,영해면,벌영리 339-29
영덕역,36.41029112248221,129.37742725765492,경상북도,영덕군,영덕읍,우곡리 269
고래불역,36.60258314756304,129.40647320395473,경상북도,영덕군,병곡면,병곡리 494
풍기역,36.87385594076425,128.52444099490708,경상북도,영주시,풍기읍,서부리 70
승부역,36.99360145269849,129.08388030654817,경상북도,봉화군,석포면,승부리 산 105-1
석포역,37.0452589991521,129.061143782175,경상북도,봉화군,석포면,석포리 590
분천역,36.9325315873734,129.058471280582,경상북도,봉화군,소천면,분천리 935-1
현동역,36.93671422189877,129.0120883409674,경상북도,봉화군,소천면,현동리 378
양원역,36.963793235074,129.09127875721,경상북도,봉화군,소천면,분천리 113-2
춘양역,36.9378414602826,128.919856339763,경상북도,봉화군,춘양면,의양리 152
임기역,36.9036533338752,128.99928765568575,경상북도,봉화군,소천면,임기리 963-2
법전역,36.91678497814114,128.8833058309682,경상북도,봉화군,법전면,법전리 67-7
봉성역,36.8944424769475,128.830488281863,경상북도,봉화군,봉성면,봉성리 39-8
울진역,36.982765621198304,129.3949026417064,경상북도,울진군,울진읍,읍남리 485-1
죽변역,37.04928412590437,129.40421665335592,경상북도,울진군,죽변면,봉평리 산 9-28
흥부역,37.09730420670704,129.36936393386665,경상북도,울진군,북면,부구리 450-1
매화역,36.88278263707606,129.41007459683823,경상북도,울진군,매화면,덕신리 373
