,Local_Store_Name,County,City,Address,Latitude,Longitude
0,고모네장터로컬푸드직매장,전라북도,정읍시,북면 정읍북로 603,35.6118256,126.8920163
1,진주우리먹거리협동조합 진주텃밭(금산점),경상남도,진주시,금산면 금산순환로 61,35.219425,128.1493373
2,진안로컬푸드협동조합,전라북도,전주시,덕진구 동부대로 930,35.8687703,127.1461917
3,완주로컬푸드협동조합모악점,전라북도,완주군,구이면 모악산길 95,35.7294257,127.1094034
4,순천만국가정원점,전라남도,순천시,국가정원1호길 162-11,34.9302348,127.5106647
5,김천시 로컬푸드 행복장터,경상북도,김천시,농소면 경부고속도로 194,36.1308687,128.1637926
6,성주군 행복장터,경상북도,성주군,용암면 중부내륙고속도로 76,35.8578798,128.3199361
7,완주로컬푸드협동조합효자점,전라북도,전주시,완산구 우전1길 40-33,35.8077379,127.1068121
8,자인농협로컬푸드직매장,경상북도,경산시,자인면 계남길 9,35.8150488,128.8100541
9,익산로컬푸드직매장(어양점),전라북도,익산시,동서로63길 57,35.9562751,126.9835121
10,여천농협 로컬푸드,전라남도,여수시,학동1길 19,34.7654026,127.6635006
11,순천로컬푸드직매장 조례호수공원점,전라남도,순천시,지봉로 611,34.9669912,127.5270659
12,협동조합 두레장터 1호점(백천점),경상북도,경산시,경청로219길 4-6,35.8036683,128.7382144
13,완주로컬푸드협동조합하가점,전라북도,전주시,덕진구 가련산로 26-7,35.8417492,127.1121149
14,전북삼락로컬마켓,전라북도,전주시,덕진구 오공로 38,35.8356071,127.0593592
15,함평로컬푸드직매장,전라남도,함평군,월야면 밀재로 1480,35.1786259,126.623667
16,합천로컬푸드 농특산물 직매장,경상남도,합천군,합천읍 대야로 1184,35.5895776,128.1752483
17,울진농협하나로마트 로컬푸드직매장,경상북도,울진군,울진읍 울진중앙로 136,36.9937912,129.4016685
18,정읍농협  로컬푸드 직매장  본점,전라북도,정읍시,명덕로 25,35.5739074,126.8428082
19,나주시로컬푸드직매장 빛가람점,전라남도,나주시,그린로 216,35.0091891,126.7899436
20,합천애 로컬푸드 직매장,경상남도,합천군,대양면 동부로 25,35.5560885,128.1645657
21,성주군 로컬푸드 행복장터,경상북도,성주군,선남면 중부내륙고속도로 77,35.8687429,128.316614
22,북창원농협화천지점 로컬푸드직매장,경상남도,창원시,의창구 북면 천주로 503,35.3013888,128.6016641
23,화순농협 로컬푸드직매장,전라남도,화순군,화순읍 쌍충로 74,35.0587937,126.9822225
24,진주중부농협 로컬푸드 1호점,경상남도,진주시,진산로 256(장재동),35.2097042,128.1026906
25,진주중부농협 로컬푸드 3호점,경상남도,진주시,충의로 119(충무공동),35.1746096,128.1527742
26,순천로컬푸드 순천만국가정원점,전라남도,순천시,국가정원 1호길 162-11,34.9302348,127.5106647
27,장성군 남면농협 로컬푸드 직매장,전라남도,장성군,진원면 하서대로 333-2,35.2558601,126.8108326
28,청도농협 로컬푸드 직매장,경상북도,청도군,화양읍 온천길 12,35.6891806,128.7203208
29,정읍농협  로컬푸드 직매장 수성점,전라북도,정읍시,수성택지5길 24-6,35.5806903,126.8556385
30,고서농협로컬푸드직매장,전라남도,담양군,고서면 가사문학로 342-3 번지,35.2217812,126.9738814
31,전주푸드 직매장(송천점),전라북도,전주시,덕진구 천마산로 130,35.8647271,127.1354095
32,용진농협 로컬푸드직매장 본점,전라북도,완주군,용진읍 완주로 187,35.8816792,127.1554892
33,함양군 산삼골 로컬푸드 행복장터,경상남도,함양군,수동면 우명하교로 174,35.5519772,127.8069695
34,청도 로컬푸드 허브센터,경상북도,청도군,청도읍 새마을로1352,35.6519633,128.7504573
35,진안마을 로컬푸드 플랫폼,전라북도,진안군,진안읍 마이산로 154,35.7737206,127.4166114
36,영암농협로컬푸드직매장,전라남도,영암군,영암읍 낭주로 132,34.8003438,126.7026842
37,삼호농협 로컬푸드 직매장,전라남도,영암군,삼호읍 세가래로 77 삼호농협 로컬푸드 직매장,34.7487011,126.4733082
38,봉동농협하나로마트,전라북도,완주군,봉동읍 봉동동서로 135,35.9392366,127.1669775
39,전주푸드 직매장(종합경기장점),전라북도,전주시,덕진구 기린대로 451,35.8407545,127.127127
40,영암군 로컬푸드 직매장,전라남도,영암군,신북면 예향로 2170,34.8566387,126.6901335
41,옥산농협로컬푸드,전라북도,군산시,옥산면 산성로 222,35.9414446,126.749165
42,사천농협로컬푸드직매장,경상남도,사천시,사천읍 구암두문로 24,35.0861541,128.0896287
43,정읍원예농협 하나로마트 로컬푸드 직매장 ,전라북도,정읍시,시기1길 3,35.5535275,126.8634461
44,광양원예농협 로컬푸드직매장,전라남도,광양시,광양읍 유당로 30,34.9737485,127.5935016
45,여수농협로컬푸드직매장(양지점),전라남도,여수시,만성로 78,34.7703243,127.704015
46,협동애로컬푸드 협동조합,전라북도,전주시,완산구 서신천변15길 5,35.8317711,127.1136641
47,완주로컬푸드협동조합삼천점,전라북도,전주시,완산구 삼천천변2길 33,35.7966242,127.1136003
48,완주로컬푸드협동조합둔산점,전라북도,완주군,봉동읍 둔산3로 94,35.9632925,127.1275611
49,진주우리먹거리협동조합 진주텃밭(초전점),경상남도,진주시,초전북로61번길 9,35.2093709,128.1134864
50,새남해농협 하나로마트 식품가공공장점,경상남도,남해군,고현면 남해대로 3487-4,34.8921733,127.8763432
51,노량대교 특산물판매장,경상남도,하동군,금남면 섬진강대로 61,34.9487295,127.8661272
52,상주로컬푸드협동조합 직매장,경상북도,상주시,동수4길 26,36.4229572,128.1525896
53,봉화로컬푸드직매장,경상북도,봉화군,봉성면 농업인길 47-1,36.9019989,128.7728423
54,경주농특산물판매장 불국점,경상북도,경주시,진현로1길 59-5,35.7859962,129.3278529
55,진주중부농협 로컬푸드 2호점,경상남도,진주시,초북로 56-6(초전동),35.2135561,128.1113273
56,목포농협 로컬푸드직매장,전라남도,목포시,송림로 40번길 9 (용당동),34.8068339,126.4019997
57,동김제농협 로컬푸드직매장,전라북도,김제시,금구면 애통길 144,35.8177782,126.9972954
58,도곡농협 로컬푸드직매장,전라남도,화순군,도곡면 효죽로 3,34.9980485,126.9170211
59,금마농협로컬푸드직매장,전라북도,익산시,금마면 금마길 37,35.9899307,127.05188
60,정읍농협  로컬푸드 직매장 상동점,전라북도,정읍시,충정로 99,35.5619843,126.8665233
61,협동조합 두레장터2호점(상방점),경상북도,경산시,남매로 6 경산시 경청로 219길 4-6 101호,35.8116312,128.7406831
62,경주농특산물판매장 신경주역점,경상북도,경주시,건천읍 신경주역로 80,35.799627,129.140294
63,청산농협 로컬푸드 직매장,전라남도,완도군,청산면 청산로 29,34.1805873,126.8574285
64,여수농협로컬푸드직매장(우두점),전라남도,여수시,돌산읍 강남4길55,34.7224311,127.7520275
