Center_Name,County,City,Address,Latitude,Longitude
전북특별자치도 농업기술원,전라북도,익산시,서동로 413,35.9418602,126.993883
전라남도 농업기술원,전라남도,나주시,산포면 세남로 1508,35.0226817,126.8317404
경상남도 농업기술원,경상남도,진주시,대신로 570,35.2113705,128.1164632
전주시 농업기술센터,전라북도,전주시,덕진구 원장동길 111-17,35.8503644,127.0602102
군산시 농업기술센터,전라북도,군산시,개정면 운회길 32,35.9617445,126.7812839
익산시 농업기술센터,전라북도,익산시,함열읍 익산대로 1366-20,36.0406131,126.9583445
정읍시 농업기술센터,전라북도,정읍시,정우면 정우남로 282,35.6222953,126.8955926
남원시 농업기술센터,전라북도,남원시,시청로 60,35.416432,127.390438
김제시 농업기술센터,전라북도,김제시,동서로 59,35.7940583,126.8764125
완주군 농업기술센터,전라북도,완주군,고산면 고산천로 720-45,35.9842605,127.2203491
무주군 농업기술센터,전라북도,무주군,무주읍 주계로 97,36.00681,127.660818
진안군 농업기술센터,전라북도,진안군,진안읍 진무로 702-30,35.7619639,127.4371037
장수군 농업기술센터,전라북도,장수군,장수읍 와동길 55,35.6203229,127.5124292
임실군 농업기술센터,전라북도,임실군,임실읍 수정로 30,35.6178286,127.2890774
순창군 농업기술센터,전라북도,순창군,유등면 담순로 1548,35.3796691,127.1638427
부안군 농업기술센터,전라북도,부안군,행안면 변산로 16,35.729839,126.7193058
고창군 농업기술센터,전라북도,고창군,고창읍 중거리당산로 94,35.4284096,126.698825
여수시 농업기술센터,전라남도,여수시,주동 1길 32,34.7879983,127.6536191
순천시 농업기술센터,전라남도,순천시,승주읍 승주로 628,35.0158098,127.3794198
나주시 농업기술센터,전라남도,나주시,왕곡면 덕산길 17,34.9664531,126.6717036
광양시 농업기술센터,전라남도,광양시,광양읍 인덕로 1100,34.9807918,127.5822458
담양군 농업기술센터,전라남도,담양군,담양읍 추성로 1371,35.321175,126.988175
곡성군 농업기술센터,전라남도,곡성군,곡성읍 학정3길 9,35.2834167,127.2886157
구례군 농업기술센터,전라남도,구례군,구례읍 동산1길 32,35.197617,127.4605137
고흥군 농업기술센터,전라남도,고흥군,풍양면 풍남로 143,34.565969,127.2590857
보성군 농업기술센터,전라남도,보성군,보성읍 녹차로 1357,34.7625667,127.09105
화순군 농업기술센터,전라남도,화순군,능주면 학포로 2275,35.0152519,126.9528023
장흥군 농업기술센터,전라남도,장흥군,장흥대로 3747,34.697091,126.9006861
강진군 농업기술센터,전라남도,강진군,군동면 진흥로 85,34.6443071,126.790075
해남군 농업기술센터,전라남도,해남군,계곡면 둔주포 안길 18,34.6335386,126.6289282
영암군 농업기술센터,전라남도,영암군,덕진면 금호길 11,34.8266016,126.6721352
