Station_Name,Latitude,Longitude,County,City
길안정류장,36.458658,128.891228,경상북도,안동시
고란.계명산휴양림입구,36.397708,128.924029,경상북도,안동시
금곡리,36.397504,128.926821,경상북도,안동시
금소리1,36.509449,128.849671,경상북도,안동시
금소리5,36.503629,128.854783,경상북도,안동시
마사리,36.30229,128.908016,경상북도,안동시
염광교회앞,36.550334,128.769751,경상북도,안동시
솔뫼입구,36.541586,128.789484,경상북도,안동시
김재규학원,36.530547,128.819486,경상북도,안동시
임하신덕교,36.522179,128.834059,경상북도,안동시
금소리2,36.504179,128.852704,경상북도,안동시
금소리3,36.503718,128.854394,경상북도,안동시
샛터,36.496766,128.863448,경상북도,안동시
대성그린병원,36.495329,128.864806,경상북도,안동시
한국환경공단,36.491068,128.870162,경상북도,안동시
나천아름다운마을,36.482117,128.878939,경상북도,안동시
오대리입구,36.476255,128.884429,경상북도,안동시
고란.계명산휴양림입구,36.408314,128.924959,경상북도,안동시
고마실입구,36.397607,128.923843,경상북도,안동시
금곡리,36.397589,128.927004,경상북도,안동시
만음2리,36.435114,128.905703,경상북도,안동시
천지갑산등산로,36.370341,128.941541,경상북도,안동시
나천,36.484357,128.87631,경상북도,안동시
송사,36.364507,128.927751,경상북도,안동시
CGV,36.561367,128.747798,경상북도,안동시
계두리,36.310051,128.920068,경상북도,안동시
교보생명,36.563225,128.73079,경상북도,안동시
국만,36.414407,128.919644,경상북도,안동시
금곡(길안),36.394748,128.933102,경상북도,안동시
금소,36.507141,128.850396,경상북도,안동시
금소리6,36.50425,128.852865,경상북도,안동시
김재규학원,36.530781,128.819406,경상북도,안동시
대성그린병원,36.495453,128.864647,경상북도,안동시
만음,36.43679,128.902115,경상북도,안동시
명곡,36.336195,128.926279,경상북도,안동시
명덕,36.44118,128.898995,경상북도,안동시
묵계,36.416754,128.914605,경상북도,안동시
묵계2리,36.431998,128.909757,경상북도,안동시
법흥동,36.563972,128.73724,경상북도,안동시
샛터,36.497373,128.863337,경상북도,안동시
