County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
경상남도,김해시,율하동,1339-3,율하리틀병원,병원,35.1710489,128.8132162
전라남도,여수시,해산동,298번지 20호 20호,이안요양병원,의사,34.8014684,127.6359966
경상북도,포항시,남구,상도동 609번지 6호 6호,포항제이케이(JK)한방병원,한의사,36.0136435,129.3512328
경상남도,진주시,이현동,376-1,진주굿모닝병원,병원,35.1915023,128.0558393
경상남도,창원시,의창구,사림동 162-1,이에이씨병원,병원,35.2390689,128.6969771
경상남도,하동군,하동읍,두곡리 737-3,하동한국병원,병원,35.0829761,127.7387959
경상남도,사천시,축동면,가산리 450-1 순영병원,의료법인 행복한의료재단 경남도립정신병원,정신병원,35.0928525,128.0447035
경상남도,양산시,물금읍,범어리 2711-33,한아름병원,병원,35.3272199,129.0145279
전라남도,여수시,오림동,413번지 2호 2호,여수가온병원,의사,34.7573363,127.7174652
전라남도,목포시,옥암동,973번지 0호 0호,서울한방병원,한의사,34.8092792,126.4306262
경상북도,포항시,남구,상도동 609번지 6호 6호,차차한방병원,한의사,36.0136435,129.3512328
전라남도,무안군,삼향읍,남악리 2265번지 0호 중앙프라자 0호,목포스마트원치과병원,치과의사,34.8100314,126.4654867
전라남도,화순군,도곡면,천암리 785번지 0호 비오메드요양병원 0호,비오메드요양병원,한의사,35.029733,126.9024453
전라남도,무안군,삼향읍,임성리 405번지 0호 0호,남악정다운요양병원,한의사,34.8286576,126.453033
전라북도,전주시,완산구,효자동2가 778번지 0호 0호,전주바로병원,의사,35.8004312,127.0993662
경상남도,김해시,대청동,305-2,장유뉴욕치과병원,치과병원,35.1908359,128.8022782
전라남도,여수시,미평동,570번지 3호 다온한방병원 3호,다온한방병원,한의사,34.7673411,127.7030276
경상남도,밀양시,용평동,289-14,밀양요양병원,요양병원(일반요양병원),35.4887799,128.7724817
전라남도,목포시,산정동,1728번지 2호 솔튼병원 2호,솔튼병원,의사,34.8107424,126.3763542
경상북도,구미시,남통동,130번지 0호 0호,의료법인 승미의료재단 구미으뜸병원,,36.1201851,128.3098356
경상북도,포항시,북구,장성동 1356번지 0호 0호,소담한방병원,한의사,36.0655254,129.3811557
전라남도,순천시,해룡면,상삼리 423번지 0호 순정병원 0호,순정병원,의사,34.9469758,127.5339714
경상남도,창원시,의창구,도계동 333-14 지하1~2층/ 지상2~6층,창원튼튼i병원,병원,35.2576848,128.6344075
경상남도,창원시,진해구,풍호동 83-106 더연리지,다나병원,병원,35.1380679,128.7071361
경상북도,영주시,가흥동,1119번지 0호 명품회복병원 가흥2동 0호,의료법인 영주의료재단 명품회복병원,,36.8247581,128.5979523
경상북도,문경시,영신동,450번지 12호 12호,문경점촌요양병원,,36.5886226,128.2135228
경상남도,창원시,성산구,대원동 132 푸른요양병원,바른병원,병원,35.2372586,128.6583734
경상남도,창원시,성산구,상남동 14-2 서우빌딩,더앞선치과병원,치과병원,35.2232487,128.6839709
경상북도,안동시,서후면,명리 422번지 11호 건양요양병원 11호,건양요양병원,,36.587913,128.6517489
전라남도,목포시,용해동,413번지 0호 0호,목포더좋은요양병원,한의사,34.8167453,126.4004797
전라북도,고창군,고창읍,석정리 712번지 0호 0호,석정웰파크요양병원,의사,35.4312795,126.7365349
전라남도,신안군,압해읍,동서리 69번지 3호,신안군공립요양병원,요양병원(일반요양병원),34.8554332,126.3149221
경상남도,김해시,내동,1124-4,더프라임병원,병원,35.2382303,128.8665989
전라남도,순천시,조례동,816번지 1호 1호,이본한방병원,한의사,34.96655,127.5204887
경상북도,경산시,사동,559번지 1호 1호,리암요양병원,,35.8198895,128.7552026
경상북도,구미시,구평동,686번지 5호 5호,구미숲요양병원,의사,36.0877155,128.4306677
경상북도,포항시,남구,상도동 5번지 8호 삼광빌딩 8호,수한방병원,한의사,36.0193542,129.3591774
경상북도,영천시,오수동,115번지 0호 0호,의료법인 현보의료재단 해오름요양병원,,35.9587258,128.9140695
전라남도,여수시,관문동,979번지 1호 1호,우리한방병원,한의사,34.7436532,127.7408083
경상북도,청도군,매전면,동산리 19번지 1호 1호,의료법인명보의료재단청춘병원,,35.6711978,128.8605195
경상북도,포항시,남구,오천읍 구정리 521번지 0호 오천경희요양병원 0호,의료법인경진의료재단 오천경희요양병원,의사,35.9816028,129.4086469
전라북도,전주시,덕진구,인후동1가 822번지 4호,더세움병원,병원,35.8327802,127.1589102
전라남도,여수시,선원동,428번지 3호 3호,현송요양병원,한의사,34.7767263,127.6615233
경상북도,구미시,고아읍,오로리 364번지 2호 구미제일요양병원 2호,의료법인소랑의료재단 구미제일요양병원,의사,36.2175214,128.3164464
경상북도,경산시,옥산동,793번지 0호 양지기쁨병원(A동)1층~4층 0호,의료법인양지의료재단 양지기쁨병원,,35.8238737,128.7272756
전라북도,전주시,덕진구,덕진동1가 1119번지 1호 1호,힐링요양병원,의사,35.8360526,127.1276567
경상남도,창원시,마산합포구,진전면 시락리 823,의료법인한결의료재단 자연한방병원,한방병원,35.0573195,128.4240749
경상남도,사천시,사천읍,수석리 270-1,하나병원,병원,35.0822531,128.0864961
경상남도,창원시,의창구,중동 778-1,창원더키움병원,병원,35.2596409,128.6288388
경상남도,창원시,마산회원구,내서읍 중리 924,성운요양병원,요양병원(일반요양병원),35.2547876,128.5069008
경상북도,경주시,황오동,203번지 62호 62호,경주센텀병원,의사,35.8445581,129.2141572
전라남도,광양시,광양읍,덕례리 1665번지 16호 16호,탑요양병원,의사,34.9679533,127.5691336
경상남도,창원시,성산구,상남동 7-2,명작한방병원,한방병원,35.2240997,128.6836432
경상북도,상주시,함창읍,윤직리 590-41,의료법인 성심의료재단 늘푸른병원,정신병원,36.5814949,128.194204
경상북도,경주시,신평동,150번지 10호 10호,신라미소병원,의사,35.8409242,129.2880304
경상남도,양산시,용당동,127-1,돌담 한방병원,한방병원,35.4164741,129.2118874
경상남도,창원시,마산회원구,석전동 232-5 365병원,강추한방병원,한방병원,35.2337652,128.5794802
경상북도,경산시,평산동,271번지 4호 4호,경북권역재활병원,,35.8139343,128.7665724
전라남도,여수시,봉계동,649번지 1호 1호,좌수영요양병원,,34.7837729,127.6688377
경상남도,창원시,성산구,반지동 78 희연빌딩,희연재활병원,병원,35.2399735,128.6625528
경상북도,칠곡군,동명면,기성리 837번지 0호 약손요양병원 0호,의료법인 채움의료재단 약손요양병원,,35.998159,128.5989866
경상남도,양산시,하북면,순지리 179-19,풍경요양병원,요양병원(일반요양병원),35.4938436,129.0916952
경상북도,영천시,망정동,233번지 5호 영천제이병원 5호,의료법인 자혜의료재단 영천제이병원,의사,35.9776608,128.9529647
전라남도,목포시,옥암동,1230번지 3호 3호,옥암힐요양병원,의사,34.811109,126.4463715
경상북도,안동시,풍산읍,막곡리 483번지 0호 0호,의료법인 인덕의료재단 복주회복병원,,36.5795793,128.6678427
경상남도,밀양시,가곡동,613-19,밀양우리병원,정신병원,35.4762481,128.7663347
