County,City,Town,Address,Store_Name,Store_Type,Latitude,Longitude
경상남도,김해시,신문동,506-4,롯데슈퍼 김해신문점,구분없음,35.1955769,128.8150481
경상남도,밀양시,삼문동,720-24,노브랜드 밀양삼문점,대형마트,35.4817623,128.7495707
경상남도,김해시,삼정동,941 메가마트 김해점,메가마트 김해점,대형마트,35.226406,128.9008004
경상남도,창원시,의창구,명서동 27 두산위브아파트,GS THE FRESH 창원명서점,그 밖의 대규모점포,35.2527858,128.644489
경상남도,창원시,성산구,대원동 36-5,GS THE FRESH 창원대원점,그 밖의 대규모점포,35.2344418,128.6517655
경상남도,김해시,율하동,1333-4,GS THE FRESH 김해율하점,구분없음,35.172942,128.8144289
경상북도,구미시,고아읍,원호리 223-3,Market Ville,대형마트,36.1572008,128.3333918
경상남도,진주시,호탄동,740 외 26필지,몰 오브 진주,복합쇼핑몰,35.1600539,128.1129579
전라북도,김제시,용지면,부교리 57-22 모다아울렛,모다아울렛,대형마트,35.8171409,126.9932696
경상남도,창원시,마산합포구,산호동 10-3 신세계백화점,(주)신세계 마산점,백화점,35.2196117,128.5863598
경상남도,창원시,진해구,남문동 1275-1 리젠시빌란트더웰 상가동,GS THE FRESH 진해남문점,그 밖의 대규모점포,35.1057161,128.7572167
경상남도,창원시,마산합포구,중앙동3가 4-1 이마트,이마트 마산점,대형마트,35.1978635,128.5697433
경상남도,창원시,성산구,중앙동 91 창원이마트,이마트 창원점,대형마트,35.2263759,128.6799532
경상남도,진주시,정촌면,"예하리 1279-1 2, 9, 10",진주남부농협 하나로마트,그 밖의 대규모점포,35.1303179,128.1002841
경상남도,창원시,성산구,대방동 355 성원3차아파트상가,성원3차종합상가,그 밖의 대규모점포,35.2148396,128.7068887
경상남도,김해시,무계동,77,장유여객터미널 상업시설,그 밖의 대규모점포,35.200504,128.8195499
전라북도,김제시,검산동,838,홈플러스(주) 김제점,대형마트,35.7996959,126.9028556
경상남도,창원시,의창구,팔용동 30-3 삼성홈플러스,홈플러스 창원점,대형마트,35.234132,128.6436922
경상남도,창원시,진해구,이동 536-10 홈플러스진해점,홈플러스 진해점,대형마트,35.1532041,128.6911398
경상남도,창원시,마산회원구,양덕동 151-1 삼성홈플러스,홈플러스 마산점,대형마트,35.222666,128.5857543
경상남도,하동군,화개면,탑리 763-2,롯데슈퍼 화개장터 가맹점,그 밖의 대규모점포,35.1870474,127.6251684
경상남도,창원시,의창구,중동 792,스타필드 창원,복합쇼핑몰,35.2544613,128.6231489
경상남도,김해시,신문동,1283-3,GS THE FRESH 장유신문점,구분없음,35.1935589,128.8116239
경상남도,합천군,합천읍,합천리 698,롯데슈퍼(주) 롯데슈퍼 합천점,그 밖의 대규모점포,35.5639006,128.1604809
경상북도,안동시,용상동,1517-155,GS THE FRESH 안동강변점,그 밖의 대규모점포,36.5557296,128.7512389
전라북도,전주시,덕진구,송천동2가 1313 포레나 전주 에코시티,포레나 전주 에코시티 판매시설,그 밖의 대규모점포,35.8749108,127.1288354
전라남도,무안군,일로읍,오룡리 97,(주)이마트에브리데이 무안오룡점,구분없음,34.8050551,126.483992
경상북도,김천시,부곡동,874-12,김천농협 로컬푸드복합문화센터,그 밖의 대규모점포,36.1259681,128.093147
경상남도,사천시,정동면,고읍리 438-5 서원유통(주)탑마트사천점,(주)서원유통 탑마트 사천점,그 밖의 대규모점포,35.0793956,128.086953
경상남도,사천시,벌리동,270-3 롯데슈퍼,롯데슈핑(주)롯데슈퍼 삼천포점,그 밖의 대규모점포,34.9421002,128.086323
경상남도,함양군,함양읍,교산리 167-2 롯데슈퍼,테스트,그 밖의 대규모점포,35.5213429,127.7309058
경상남도,창원시,진해구,경화동 1174-3,탑마트 진해경화점,그 밖의 대규모점포,35.1535956,128.6822845
경상남도,창원시,마산합포구,월영동 738 마린애시앙부영,(주)이마트에브리데이 월영마린애시앙점,그 밖의 대규모점포,35.1742379,128.5646018
전라북도,전주시,덕진구,송천동2가 488-3,파인트리몰,그 밖의 대규모점포,35.86736,127.120909
경상북도,경산시,하양읍,양지리 262,(주)이마트에브리데이 경산무학점,그 밖의 대규모점포,35.919223,128.8086908
경상남도,창원시,성산구,성주동 100 더 스퀘어,(주)이마트에브리데이 창원더스퀘어점,구분없음,35.2038448,128.7116559
전라북도,전주시,덕진구,송천동2가 1329-1 로마네시티,로마네시티,그 밖의 대규모점포,35.8730644,127.1246375
전라북도,임실군,임실읍,이도리 236-13,(주)이마트에브리데이 전북임실점,복합쇼핑몰,35.6144915,127.2843726
전라남도,광양시,중동,1811-1 홈플러스 광양점,홈플러스 광양점,대형마트,34.9283716,127.6948092
경상남도,김해시,주촌면,주촌선천지구 도시개발구역 30B 8L,코스트코 홀세일 김해점,대형마트,35.235826,128.830638
경상남도,창원시,마산합포구,월영동 703-2 대동아파트,(주)지에스리테일 마산월영점,대형마트,35.1751188,128.5580751
경상남도,창원시,마산합포구,월영동 738 마린애시앙부영,(주)지에스리테일 월영마린점,대형마트,35.1742379,128.5646018
전라북도,전주시,덕진구,송천동2가 1329-2 전주 에코시티 이마트,전주에코시티 DK-mall,쇼핑센터,35.8724343,127.1238144
전라남도,무안군,일로읍,오룡리 6 호반써밋APT,롯데슈퍼오룡가맹점,그 밖의 대규모점포,34.8072929,126.4884328
전라북도,전주시,덕진구,장동 1111 전북혁신도시 더 M city 센텀,전북혁신도시 대방디엠시티,그 밖의 대규모점포,35.8390163,127.060152
경상남도,진주시,인사동,3번지,(주)이마트 진주점,대형마트,35.1915891,128.0774185
경상남도,통영시,광도면,죽림리 1566번지 2호 이마트통영점,(주)이마트 통영점,쇼핑센터,34.8879109,128.4174753
경상남도,창원시,의창구,중동 785번지 창원중동유니시티2단지,(주)지에스리테일 창원유니시티점,대형마트,35.2563556,128.626939
경상북도,문경시,점촌동,195번지 9호,노브랜드 문경중앙시장점,복합쇼핑몰,36.5944126,128.1971912
경상남도,통영시,무전동,1069호,롯데쇼핑(주)롯데마트통영점,대형마트,34.8607183,128.4281991
경상북도,경주시,용강동,425-1,노브랜드 경주 용강점,그 밖의 대규모점포,35.8810529,129.2303125
경상북도,문경시,모전동,862번지,노브랜드문경모전점,그 밖의 대규모점포,36.5858357,128.1897087
경상남도,김해시,삼방동,175번지 홈플러스,일등마트,그 밖의 대규모점포,35.2457475,128.908081
경상남도,창원시,진해구,자은동 143-1,노브랜드 진해자은점,그 밖의 대규모점포,35.1551322,128.7127169
경상남도,창원시,마산합포구,우산동 99,노브랜드 현동점 주식회사,그 밖의 대규모점포,35.1516909,128.5525631
경상남도,양산시,물금읍,가촌리 1292번지 라피에스타,라피에스타 양산,그 밖의 대규모점포,35.3098713,129.0093999
경상북도,경주시,신평동,375번지 4호,모다아울렛 경주보문점,전문점,35.8428484,129.2858243
경상북도,안동시,서부동,149번지 40호,노브랜드 안동구시장점,복합쇼핑몰,36.5655999,128.7301084
경상남도,창원시,의창구,사림동 106번지 6호,(주)이마트에브리데이 창원사림점,그 밖의 대규모점포,35.2476161,128.6786877
경상북도,경주시,용강동,1290-2,이마트에브리데이 경주용강점,그 밖의 대규모점포,35.8770158,129.2283462
경상북도,포항시,북구,장성동 977번지,롯데쇼핑(주) 롯데슈퍼 포항장성점,구분없음,36.0692081,129.3731822
경상남도,창원시,성산구,상남동 44번지 1호 대동백화점,노브랜드 창원대동점,그 밖의 대규모점포,35.2194884,128.6884832
경상북도,포항시,북구,창포동 산 32번지 11호,(주)GS리테일 창포메트로점,구분없음,36.0705437,129.3663952
경상남도,김해시,동상동,1117번지,캐슬아리스타궁,그 밖의 대규모점포,35.2393688,128.885799
경상북도,경주시,용강동,1611 협성휴포레용황,롯데슈퍼 용황점,그 밖의 대규모점포,35.8847382,129.2272284
경상남도,창원시,마산회원구,석전동 259번지 4호,김기민,대형마트,35.2295718,128.5762486
전라북도,진안군,진안읍,군하리 309번지 4호,롯데쇼핑(주)롯데슈퍼 진안점,그 밖의 대규모점포,35.7858643,127.4225472
전라남도,광양시,광양읍,덕례리 739번지,LF 스퀘어 테라스몰 광양점,복합쇼핑몰,34.9636207,127.5663193
전라북도,군산시,조촌동,450-21 외 3필지,롯데쇼핑 주식회사 아울렛 군산점,복합쇼핑몰,35.976449,126.7385869
