Office_Name,County,City,Address,Latitude,Longitude
부산국제우체국,경상남도,양산시,동면 남양산1길 30,35.3263095,129.0311102
김해관동우체국,경상남도,김해시,계동로 23,35.1785558,128.7956988
김해구산동우체국,경상남도,김해시,구산로39번길 33 (구산동),35.2512202,128.8704547
김해남산우편취급국,경상남도,김해시,김해대로 2419 (부원동),35.2275121,128.8913778
김해대동우체국,경상남도,김해시,대동면 대동로 615,35.2423578,128.9811524
김해동광우편취급국,경상남도,김해시,호계로 502 (동상동),35.2353371,128.8845985
김해부원동우체국,경상남도,김해시,가락로 58 (부원동),35.2317816,128.882269
김해삼계동우체국,경상남도,김해시,해반천로168번길 6 (삼계동),35.2629796,128.8678982
김해삼문우체국,경상남도,김해시,능동로 35,35.1969027,128.797211
김해삼방동우체국,경상남도,김해시,삼안로291번길 57 (삼방동),35.2468929,128.9078242
김해삼안동우체국,경상남도,김해시,삼안로77번길 17 (안동),35.2364376,128.9153317
김해상동우체국,경상남도,김해시,상동면 상동로 557,35.3081092,128.9307164
김해생림우체국,경상남도,김해시,생림면 마사로 91,35.3520935,128.850459
김해수로우편취급국,경상남도,김해시,김해대로2371번길 24-15 A동 101호 (부원동),35.2291875,128.8866027
김해어방우편취급국,경상남도,김해시,분성로 536 (어방동),35.2352831,128.9045127
김해연지우체국,경상남도,김해시,내외중앙로 120 (내동),35.2403944,128.86836
김해외동우체국,경상남도,김해시,함박로 31 (외동),35.2333829,128.8577607
김해우체국,경상남도,김해시,전하로176번길 83 (전하동),35.2239881,128.8744435
김해율하우체국,경상남도,김해시,율하1로 73,35.1750396,128.8127783
김해인제대학교우편취급국,경상남도,김해시,"인제로 197 (어방동,인제대학교)",35.2487277,128.9026673
김해장유우체국,경상남도,김해시,장유로 283,35.2005094,128.8135926
김해주촌우체국,경상남도,김해시,주촌면 서부로1638번길 4,35.2362489,128.8311298
김해진례우체국,경상남도,김해시,진례면 송현로 11,35.2489891,128.7496064
김해진영우체국,경상남도,김해시,진영읍 여래로20번길 21,35.3044629,128.7323795
김해한림우체국,경상남도,김해시,한림면 한림로 370,35.3203614,128.8029029
김해활천동우체국,경상남도,김해시,인제로39번길 44 (삼정동),35.2318212,128.9002314
마산교방주공우편취급국,경상남도,창원시,마산합포구 교방북2길 35-1,35.2163682,128.5634015
마산구산우편취급국,경상남도,창원시,마산합포구 구산면 구산로 509(수정리513-9),35.116047,128.5803272
마산구암동우체국,경상남도,창원시,마산회원구 금강로 283,35.2525616,128.5951449
마산남성동우체국,경상남도,창원시,마산합포구 동서북7길 46,35.2037185,128.5752727
마산내서우체국,경상남도,창원시,마산회원구 내서읍 중리공단로 225-1,35.2489165,128.5177929
마산대학교우편취급국,경상남도,창원시,"마산회원구 내서읍 함마대로 2640 (용담리, 마산대학)",35.2595221,128.5040311
마산동서동우편취급국,경상남도,창원시,마산합포구 제2부두로 17 현대아이파크상가 301동 제109호 (신포동1가),35.1968649,128.5732107
마산봉암동우체국,경상남도,창원시,마산회원구 봉암북14길 2 (봉암동),35.2178574,128.6056875
마산산호동우체국,경상남도,창원시,마산합포구 용마로 38,35.2171136,128.5795189
마산삼계우체국,경상남도,창원시,마산회원구 내서읍 삼계로 30,35.2321475,128.5015019
마산상남동우체국,경상남도,창원시,마산합포구 북성로 96,35.2157142,128.570675
마산양덕동우체국,경상남도,창원시,마산회원구 양덕동2길 37,35.2231119,128.5893524
마산여항우편취급국,경상남도,창원시,마산합포구 진전면 금암길 11 (금암리),35.1372122,128.375005
마산우체국,경상남도,창원시,마산합포구 3·15대로 148,35.1918588,128.5646494
마산월영동우체국,경상남도,창원시,마산합포구 월영동서로 1 (해운동),35.1783204,128.5599133
마산자산동우편취급국,경상남도,창원시,마산합포구 자산동 19-3 한백4차아파트상가 103호 (한백4차아파트),35.2056844,128.5649075
마산장군동4가우편취급국,경상남도,창원시,"마산합포구 완월동8길 40 (장군동4가, 장군동4가우편취급국)",35.198348,128.5648213
마산중리우편취급국,경상남도,창원시,마산회원구 내서읍 호원로 287 (호계리),35.2591887,128.5221638
마산창포동우편취급국,경상남도,창원시,마산합포구 문화동9길 21 (창포동2가),35.1837699,128.5612221
마산태화우편취급국,경상남도,창원시,마산회원구 회원동16길 50,35.2204992,128.5716147
마산팔용우편취급국,경상남도,창원시,마산회원구 팔용로 139,35.2415613,128.5900818
마산한우아파트우편취급국,경상남도,창원시,"마산합포구 자산솔밭로 52 (자산동,한우아파트)",35.202693,128.559325
마산합성1동우편취급국,경상남도,창원시,마산회원구 합성서1길 119 (합성동),35.2418897,128.5840196
마산합포우체국,경상남도,창원시,마산합포구 3·15대로 148 (중앙동2가),35.1918588,128.5646494
마산현동우편취급국,경상남도,창원시,마산합포구 현동7길 22 (현동),35.1492732,128.5542845
마산회성동우체국,경상남도,창원시,마산회원구 북성로 285,35.231183,128.5654472
마산회성시장우편취급국,경상남도,창원시,마산회원구 회성시장1길 16,35.2327998,128.5594969
진동우체국,경상남도,창원시,마산합포구 진동면 진북산업로 1,35.1165161,128.4879825
진북우체국,경상남도,창원시,마산합포구 진북면 지산5길 65,35.1152159,128.4683094
진전우체국,경상남도,창원시,마산합포구 진전면 대실로 145,35.10239,128.4180526
창원가음정동우체국,경상남도,창원시,성산구 원이대로863번길 20 (가음동),35.2085064,128.6973923
창원감계우체국,경상남도,창원시,의창구 북면 감계로110번길 54-38,35.300754,128.5949503
창원내동우편취급국,경상남도,창원시,"성산구 연덕로184번길 23,103호 (내동,일성그라미아파트)",35.21801,128.668363
창원대방동우체국,경상남도,창원시,성산구 대암로105번길 6 (대방동),35.2161578,128.7083961
창원대산우체국,경상남도,창원시,의창구 대산면 진산대로 281 (제동리),35.3263083,128.7145999
창원도계동우체국,경상남도,창원시,의창구 태복산로3번길 7 (도계동),35.2528602,128.638512
창원도계성신우편취급국,경상남도,창원시,"의창구 도계로8번길 1,101호 (도계동)",35.2595029,128.6337375
창원동읍우체국,경상남도,창원시,의창구 동읍 의창대로915번길 7,35.2797276,128.6904925
창원두대동우체국,경상남도,창원시,성산구 대원로93번길 6 (대원동),35.235151,128.6507987
창원명곡동우편취급국,경상남도,창원시,"의창구 창이대로113번길 9-1,2호",35.2422657,128.6492326
창원반송동우체국,경상남도,창원시,성산구 원이대로473번길 15 (반림동),35.235507,128.6695473
창원봉곡동우체국,경상남도,창원시,의창구 지귀로119번길 2 (봉곡동),35.2455961,128.6585467
창원북면우체국,경상남도,창원시,의창구 북면 신리길 20 (신촌리),35.347413,128.6055579
창원사림동우체국,경상남도,창원시,의창구 사림로 94 (사림동),35.2452034,128.6820834
창원상남동우체국,경상남도,창원시,성산구 동산로 65 (상남동),35.215601,128.68695
창원소계동우편취급국,경상남도,창원시,의창구 금강로341번길 2 (소계동),35.2560432,128.5998969
