Bank_Type,Bank_Name,Bank_Address,County,City,Town,Address,Latitude,Longitude
BNK경남은행,LH,경상남도 진주시 충무공동   충의로 19  LH진주사옥,경상남도,진주시,충무공동,충의로 19 LH진주사옥,35.1749,128.150337
BNK경남은행,가음정금융센터,경상남도 창원시 성산구   대정로 36,경상남도,창원시,성산구,대정로 36,35.2075342,128.6989217
BNK경남은행,거제고현,경상남도 거제시 고현동   거제중앙로 1895,경상남도,거제시,고현동,거제중앙로 1895,34.88219,128.618473
BNK경남은행,거제금융센터,경상남도 거제시 고현동   서문로 3길 26,경상남도,거제시,고현동,서문로 3길 26,34.88219,128.618473
BNK경남은행,거창,경상남도 거창군 거창읍   거열로 116,경상남도,거창군,거창읍,거열로 116,35.6886058,127.9065094
BNK경남은행,경남대,경상남도 창원시 마산합포구   경남대학로 7,경상남도,창원시,마산합포구,경남대학로 7,35.1801979,128.5532458
BNK경남은행,경남도청,경상남도 창원시 의창구   중앙대로 300,경상남도,창원시,의창구,중앙대로 300,35.2377974,128.6919403
BNK경남은행,경남테크노파크,경상남도 창원시 의창구   창원대로 18번길 22 경남테크노파크 본부동 1층,경상남도,창원시,의창구,창원대로 18번길 22 경남테크노파크 본부동 1층,35.2523477,128.6047700
BNK경남은행,고성,경상남도 고성군 고성읍   동외로 149,경상남도,고성군,고성읍,동외로 149,34.9746171,128.3256668
BNK경남은행,김해금융센터,경상남도 김해시 부원동   김해대로 2341,경상남도,김해시,부원동,김해대로 2341,35.228715,128.886565
BNK경남은행,김해삼계,경상남도 김해시 삼계동   가야로 30번길 1,경상남도,김해시,삼계동,가야로 30번길 1,35.2732,128.865163
BNK경남은행,김해시청,경상남도 김해시 부원동   김해대로 2401,경상남도,김해시,부원동,김해대로 2401,35.228715,128.886565
BNK경남은행,남마산,경상남도 창원시 마산합포구   해안대로 7,경상남도,창원시,마산합포구,해안대로 7,35.1807905,128.5597378
BNK경남은행,남진주,경상남도 진주시 칠암동   진주대로 884,경상남도,진주시,칠암동,진주대로 884,35.18291,128.093387
BNK경남은행,남해,경상남도 남해군 남해읍   화전로 116,경상남도,남해군,남해읍,화전로 116,34.8416626,127.8940549
BNK경남은행,내서,경상남도 창원시 마산회원구   삼계로 5,경상남도,창원시,마산회원구,삼계로 5,35.2317627,128.5043274
BNK경남은행,내외동,경상남도 김해시 내동   내외중앙로 75,경상남도,김해시,내동,내외중앙로 75,35.2424,128.8622
BNK경남은행,대방동,경상남도 창원시 성산구   가양로 124번길 7,경상남도,창원시,성산구,가양로 124번길 7,35.2085935,128.7071952
BNK경남은행,대청,경상남도 김해시 대청동   번화1로 70,경상남도,김해시,대청동,번화1로 70,35.1863,128.7761
BNK경남은행,마산대학,경상남도 창원시 마산회원구   내서읍 함마대로 2640,경상남도,창원시,마산회원구,내서읍 함마대로 2640,35.2595221,128.5040311
BNK경남은행,마산법원,경상남도 창원시 마산합포구   완월동 7길 16 마산지원 1층 민원실,경상남도,창원시,마산합포구,완월동 7길 16 마산지원 1층 민원실,35.1979345,128.5663212
BNK경남은행,마산자유무역,경상남도 창원시 마산회원구   자유무역 1길 24,경상남도,창원시,마산회원구,자유무역 1길 24,35.2120025,128.5887232
BNK경남은행,마산합포구청,경상남도 창원시 마산합포구   3·15대로 210 합포구청 1층,경상남도,창원시,마산합포구,3·15대로 210 합포구청 1층,35.1968740,128.5678630
BNK경남은행,마산회원구청,경상남도 창원시 마산회원구   삼호로 63 회원구청 민원실 내,경상남도,창원시,마산회원구,삼호로 63 회원구청 민원실 내,35.2209320,128.5797060
BNK경남은행,메트로시티,경상남도 창원시 마산회원구   삼호로 80,경상남도,창원시,마산회원구,삼호로 80,35.2254724,128.5857339
BNK경남은행,명곡금융센터,경상남도 창원시 의창구   원이대로 265,경상남도,창원시,의창구,원이대로 265,35.2435357,128.6493399
BNK경남은행,물금,경상남도 양산시 물금읍   서들로 148,경상남도,양산시,물금읍,서들로 148,35.3118186,129.0066871
BNK경남은행,밀양,경상남도 밀양시 삼문동   밀양대로 1757,경상남도,밀양시,삼문동,밀양대로 1757,35.481729,128.748685
BNK경남은행,반송동,경상남도 창원시 성산구   원이대로 473번길 26,경상남도,창원시,성산구,원이대로 473번길 26,35.2357778,128.6708761
BNK경남은행,봉곡동,경상남도 창원시 의창구   창이대로 309번길 9,경상남도,창원시,의창구,창이대로 309번길 9,35.2469314,128.6707973
BNK경남은행,봉암동,경상남도 창원시 마산회원구   양덕로 7-1,경상남도,창원시,마산회원구,양덕로 7-1,35.2217571,128.5928560
BNK경남은행,북면,"경상남도 창원시 의창구 북면   동전로 63 현대힐프라자 104호, 203호",경상남도,창원시,의창구,"북면 동전로 63 현대힐프라자 104호, 203호",35.3018790,128.5955643
BNK경남은행,사천,경상남도 사천시 사천읍   역사길 11-22,경상남도,사천시,사천읍,역사길 11-22,35.0805144,128.0849021
BNK경남은행,산막공단,경상남도 양산시 산막동   산막공단북 9길 59,경상남도,양산시,산막동,산막공단북 9길 59,35.3733,129.0561
BNK경남은행,산청,경상남도 산청군 산청읍   산엔청로 12,경상남도,산청군,산청읍,산엔청로 12,35.4147344,127.8748952
