Center_Name,County,City,Address,Latitude,Longitude
청도대성자동차정비공장,경상북도,청도군,청도읍 모강길 5,35.6494773,128.751548
현대카크리닝,경상북도,청도군,청도읍 청화로 256,35.6366968,128.7489374
청도현대서비스,경상북도,청도군,화양읍 청려로 1798,35.6509881,128.7154351
칠성밧데리,경상북도,청도군,각남면 각남로 323,35.6526452,128.6830026
조이카크리닉,경상북도,청도군,화양읍 화양로 94,35.6512315,128.7129468
진영밧데리,경상북도,청도군,금천면 청려로 4188,35.6943251,128.8879199
풍각카센타,경상북도,청도군,풍각면 헐티로 167,35.6411756,128.6227195
동서카서비스,경상북도,청도군,화양읍 범곡길 1,35.6492414,128.7275265
청도카서비스,경상북도,청도군,청도읍 한내길 174,35.6451697,128.7475319
기아카클리닉 청도점,경상북도,청도군,청도읍 청화로 275,35.635538,128.7504978
화양자동차정비공장,경상북도,청도군,화양읍 청려로 1832-5,35.6509215,128.7188744
애니카랜드 청도점,경상북도,청도군,화양읍 청화로 40,35.6485559,128.7317385
위드카센타,경상북도,청도군,청도읍 새마을로 1284,35.645931,128.7513939
한솔카클리닉,경상북도,청도군,청도읍 청화로 237,35.6383993,128.7484117
평화카센타,경상북도,청도군,청도읍 한내길 196,35.6429102,128.7480071
한빛카서비스,경상북도,청도군,청도읍 청화로 261,35.6365809,128.7498079
에덴종합정비,경상북도,청도군,화양읍 청려로 1810,35.6511851,128.7162765
동곡카클리닉,경상북도,청도군,금천면 청려로 4393,35.6929757,128.8950613
청도농협자동차부분정비,경상북도,청도군,청도읍 청도시장3길 2-10,35.6448301,128.7471046
세븐카클리닉,경상북도,청도군,청도읍 새마을로 1312,35.6485815,128.7515578
대덕카센타,경상북도,청도군,청도읍 새마을로 1281,35.6459714,128.7507014
성진카부분정비,경상북도,청도군,풍각면 송서로 117,35.6392947,128.6240464
윤해카정비센타,경상북도,청도군,풍각면 송서로 97,35.6394349,128.6216586
남산카크리닉,경상북도,청도군,각북면 남산2길 2,35.6926442,128.5838487
경희모터스,경상북도,청도군,이서면 양원1길 14-7,35.68507,128.6869587
도정특장,경상북도,청도군,화양읍 연지로 178,35.6725953,128.6965407
이서종합카센타,경상북도,청도군,이서면 학산1길 10,35.6619558,128.6711178
각북카센타,경상북도,청도군,각북면 헐티로 800,35.6872793,128.5901606
우리카부분정비,경상북도,경산시,계양로 187(계양동),35.8323098,128.7486596
새한자동차정비,경상북도,경산시,중방로 132(계양동),35.8333782,128.7471239
자인모터스,경상북도,경산시,자인면 원효로 747,35.8153369,128.8161401
중방모터스,경상북도,경산시,"중앙로17길 70, 103동(중방동)",35.8296643,128.7343308
극동카써비스,경상북도,경산시,진량읍 봉회길 34,35.8815943,128.8138538
진명카모터스,경상북도,경산시,진량읍 공단로 530,35.8788075,128.819702
남촌카,경상북도,경산시,자인면 한장군로 404,35.8268946,128.8155486
진량점 기아오토큐,경상북도,경산시,진량읍 낙산1길 52-2,35.8766455,128.8177758
진우카서비스,경상북도,경산시,중앙로 15-3(사정동),35.8204896,128.7291307
대륙자동차종합정비,경상북도,포항시,남구 연일읍 동문로76번길 11,35.997047,129.3537576
성운종합정비,경상북도,포항시,북구 흥해읍 삼흥로 445,36.0971915,129.3685459
흥해종합정비,경상북도,포항시,북구 흥해읍 동해대로 1934,36.1442545,129.3496729
