School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
부당초등학교,초등학교,전라북도,무주군,부남면,가당리 448-2,36.01559786,127.5802828
농소초등학교,초등학교,경상북도,김천시,율곡동,21,36.12263602,128.1749068
팔덕초등학교,초등학교,전라북도,순창군,팔덕면,용산리 353-1,35.39289622,127.0976555
김해활천초등학교,초등학교,경상남도,김해시,지내동,297-5,35.23181885,128.9194783
동상초등학교,초등학교,전라북도,완주군,동상면,신월리 286,35.95777997,127.293752
남상초등학교,초등학교,경상남도,거창군,남상면,무촌리 589-4,35.64501258,127.9105881
산내남명초등학교,초등학교,경상남도,밀양시,산내면,남명리 1109-1,35.58775074,128.9544219
백산초등학교,초등학교,전라북도,부안군,백산면,평교리 223,35.70207422,126.7881032
영산초등학교,초등학교,전라북도,정읍시,하북동,151-3,35.59908625,126.8625184
옥천초등학교,초등학교,전라북도,순창군,순창읍,남계리 362-2,35.37302512,127.1464854
노산초등학교,초등학교,경상남도,사천시,동금동,171-5,34.9300336,128.0837627
정일초등학교,초등학교,전라북도,정읍시,용계동,332,35.58979214,126.8199201
이성초등학교,초등학교,전라북도,완주군,이서면,이성리 426-1,35.79757103,127.045039
금동초등학교,초등학교,경상남도,김해시,상동면,대감리 656-2,35.30876696,128.9295779
노동초등학교,초등학교,전라남도,보성군,노동면,거석리 522,34.82428089,127.0485426
동부초등학교율포분교장,초등학교,경상남도,거제시,동부면,율포리 628-1,34.77918062,128.5939535
쌍계초등학교,초등학교,경상남도,하동군,화개면,운수리 328-26,35.23212388,127.6445912
광양북초등학교,초등학교,전라남도,광양시,광양읍,목성리 494-4,34.97691665,127.5938584
전주장동초등학교,초등학교,전라북도,전주시,덕진구,장동 258-2,35.84928596,127.0601031
청운초등학교,초등학교,전라북도,김제시,금구면,청운리 198,35.81054766,126.9826412
이리영등초등학교,초등학교,전라북도,익산시,영등동,762,35.953004,126.9723737
삼성현초등학교,초등학교,경상북도,경산시,백천동,438-3,35.79990067,128.7395072
회원초등학교,초등학교,경상남도,창원시,마산회원구,회원동 393-1,35.21982858,128.5667167
군산용문초등학교,초등학교,전라북도,군산시,미룡동,898-8,35.94228639,126.688677
정읍북초등학교,초등학교,전라북도,정읍시,농소동,14-1,35.57908609,126.8490501
전주덕일초등학교,초등학교,전라북도,전주시,덕진구,덕진동2가 99-1,35.84855719,127.1117899
남정초등학교,초등학교,경상남도,합천군,합천읍,합천리 840-2,35.56285937,128.1570627
구이초등학교,초등학교,전라북도,완주군,구이면,항가리 86-1,35.7209104,127.1186562
군산미장초등학교,초등학교,전라북도,군산시,미장동,500,35.96569908,126.7275065
주천초등학교,초등학교,전라북도,진안군,주천면,주양리 466,35.9764169,127.4262607
목포유달초등학교,초등학교,전라남도,목포시,유달동,8,34.78528417,126.379525
거제양정초등학교,초등학교,경상남도,거제시,양정동,91-4,34.87173985,128.651231
전주새연초등학교,초등학교,전라북도,전주시,완산구,효자동2가 1314-5,35.81149179,127.1002986
보성남초등학교,초등학교,전라남도,보성군,보성읍,주봉리 226,34.77008423,127.0784261
전주동신초등학교,초등학교,전라북도,전주시,덕진구,우아동3가 743-149,35.85182009,127.1563738
송광초등학교,초등학교,전라북도,완주군,소양면,대흥리 996-2,35.88560926,127.245242
동광초등학교,초등학교,경상남도,고성군,거류면,감서리 2,35.00877915,128.4005598
김천모암초등학교,초등학교,경상북도,김천시,모암동,89-61,36.12582704,128.1246519
남원대산초등학교,초등학교,전라북도,남원시,대산면,운교리 178,35.43207083,127.3270162
동성초등학교,초등학교,경상남도,사천시,정동면,고읍리 484-1,35.076204,128.0869426
포은초등학교,초등학교,경상북도,영천시,야사동,34-1,35.98019503,128.9508541
임당초등학교,초등학교,경상북도,경산시,임당동,443-2,35.841579,128.7436191
소라초등학교,초등학교,전라남도,여수시,소라면,덕양리 1220,34.79614617,127.6307344
의령초등학교,초등학교,경상남도,의령군,의령읍,중동리 246,35.32222111,128.2607757
전주서일초등학교,초등학교,전라북도,전주시,완산구,서신동 960-4,35.83624593,127.1147515
구미인덕초등학교,초등학교,경상북도,구미시,산동면,인덕리 1103,36.162009,128.437471
계룡초등학교,초등학교,경상남도,거제시,고현동,164,34.88110136,128.6249691
순천봉화초등학교,초등학교,전라남도,순천시,조례동,1384,34.9566722,127.513939
고아초등학교,초등학교,경상북도,구미시,고아읍,관심리 541,36.21239194,128.3287157
도천초등학교,초등학교,경상남도,창녕군,도천면,도천리 276,35.43470345,128.5173154
구평초등학교,초등학교,경상북도,구미시,구평동,121-2,36.09113802,128.451961
영주가흥초등학교,초등학교,경상북도,영주시,가흥동,1857,36.81376095,128.609314
곤명초등학교,초등학교,경상남도,사천시,곤명면,정곡리 848-1,35.13028337,127.9743022
예곡초등학교,초등학교,경상남도,함안군,칠원읍,예곡리 433,35.27671735,128.5329094
다압초등학교,초등학교,전라남도,광양시,다압면,고사리 1106,35.12126772,127.6914758
목포옥암초등학교,초등학교,전라남도,목포시,옥암동,1270,34.81132458,126.4529571
집현초등학교,초등학교,경상남도,진주시,집현면,지내리 125,35.24215242,128.0927587
정남초등학교,초등학교,전라북도,정읍시,정우면,대산리 68,35.62208315,126.8644279
마전초등학교,초등학교,경상남도,거제시,장승포동,613,34.86000787,128.7203649
위천초등학교,초등학교,경상남도,거창군,위천면,강천리 100-2,35.75214471,127.8287509
청명초등학교,초등학교,전라북도,완주군,구이면,덕천리 196-1,35.7516826,127.125033
옥곡초등학교,초등학교,경상북도,경산시,옥곡동,827,35.8149512,128.7325183
신흥초등학교,초등학교,경상북도,포항시,남구,상도동 607-6,36.01299121,129.3535944
김제초등학교,초등학교,전라북도,김제시,요촌동,261-1,35.801753,126.887372
이서초등학교,초등학교,전라북도,완주군,이서면,상개리 539,35.82001346,127.0248579
전주하가초등학교,초등학교,전라북도,전주시,덕진구,덕진동2가 685,35.84380954,127.1069448
양산초등학교,초등학교,전라남도,나주시,왕곡면,양산리 103-5,34.97023065,126.7056739
의창초등학교,초등학교,경상남도,창원시,의창구,중동 789,35.25371006,128.629597
이리동산초등학교,초등학교,전라북도,익산시,동산동,220,35.93185398,126.9639742
남원초등학교,초등학교,전라북도,남원시,금동,343-1,35.40242332,127.3746726
문선초등학교,초등학교,경상남도,사천시,벌리동,481-2,34.93483361,128.0789293
신어초등학교,초등학교,경상남도,김해시,삼방동,200,35.24421072,128.9119003
태인초등학교,초등학교,전라북도,정읍시,태인면,태성리 429,35.65381454,126.9466315
진상초등학교,초등학교,전라남도,광양시,진상면,섬거리 553-1,35.020058,127.7165222
마암초등학교,초등학교,경상남도,고성군,마암면,도전리 492,35.05652864,128.3359913
거제고현초등학교,초등학교,경상남도,거제시,상동동,497,34.87372391,128.628896
경산서부초등학교,초등학교,경상북도,경산시,옥산동,736-1,35.82728316,128.7290591
곰소초등학교,초등학교,전라북도,부안군,진서면,진서리 1047,35.596183,126.5995936
순천남산초등학교,초등학교,전라남도,순천시,풍덕동,1102-18,34.93854622,127.4953675
순천연향초등학교,초등학교,전라남도,순천시,연향동,1388,34.94370333,127.5169694
금오초등학교,초등학교,경상북도,구미시,원평동,504,36.12344066,128.334752
천성초등학교,초등학교,경상남도,양산시,평산동,350,35.37871955,129.1445863
동산초등학교,초등학교,전라남도,순천시,서면,동산리 11,34.99383659,127.4943051
가람초등학교,초등학교,경상남도,진주시,상평동,278-1,35.17359538,128.1014516
라온초등학교,초등학교,전라남도,나주시,빛가람동,384,35.01439619,126.7793825
소토초등학교,초등학교,경상남도,양산시,상북면,소토리 651,35.37914795,129.052854
포항중앙초등학교,초등학교,경상북도,포항시,북구,우현동 산13-7,36.059047,129.365652
산동초등학교,초등학교,경상북도,구미시,산동면,인덕리 612,36.167278,128.446422
어곡초등학교,초등학교,경상남도,양산시,어곡동,11,35.38043195,129.0293734
