County,City,Address,Lesson_Type,Lesson_Name,Lesson_Category,Latitude,Longitude
전라북도,고창군,고창읍 중앙로 262,학원,EM SCHOOL학원,입시.검정 및 보습,35.4348419,126.7040917
전라북도,고창군,고창읍 중앙로 215,학원,HM수학학원,입시.검정 및 보습,35.4353614,126.6990665
전라북도,고창군,고창읍 중앙로 269,학원,P&I학원,입시.검정 및 보습,35.435151,126.7049808
전라북도,고창군,고창읍 중앙로 215,학원,U box 독서실,독서실,35.4353614,126.6990665
전라북도,고창군,고창읍 월곡12길 3,학원,YBM잉글루고창학원,종합(대),35.437097,126.7111865
전라북도,고창군,고창읍 중앙로 345,학원,고인돌공예학원,기예(대),35.4350421,126.7132729
전라북도,고창군,고창읍 성산2길 7,학원,고창미용학원,직업기술,35.4361151,126.6963824
전라북도,고창군,고창읍 보릿골로 124,학원,고창성모간호학원,직업기술,35.4364388,126.6958605
전라북도,고창군,고창읍 중앙로 207,학원,공부잘하는학원,입시.검정 및 보습,35.4353569,126.6982219
전라북도,고창군,고창읍 교촌3길 11,교습소,굿키즈 영어교습소,입시.검정 및 보습,35.4357944,126.7067332
전라북도,고창군,고창읍 교촌1길 12,교습소,기쁨피아노교습소,예능(대),35.4359843,126.7049345
전라북도,고창군,고창읍 모양성로 41,교습소,김공수영어교습소,국제화,35.4354545,126.7014837
전라북도,고창군,고창읍 교촌3길 4,교습소,김유식수학교습소,입시.검정 및 보습,35.4352136,126.7061737
전라북도,고창군,고창읍 월곡10길 3-3,학원,꿈마루독서실,독서실,35.4364444,126.7113336
전라북도,고창군,고창읍 교촌3길 4,교습소,날개달린그림미술교습소,예능(대),35.4352136,126.7061737
전라북도,고창군,고창읍 성산2길 50,학원,눈높이러닝센터고창학원,입시.검정 및 보습,35.4357836,126.7009162
전라북도,고창군,고창읍 성산6길 13,교습소,더채움영어 교습소,입시.검정 및 보습,35.4368321,126.7001446
전라북도,고창군,고창읍 월곡로 42,학원,또물또학원,입시.검정 및 보습,35.4354854,126.7112274
전라북도,고창군,고창읍 중앙로 269,학원,리드인학원,입시.검정 및 보습,35.435151,126.7049808
전라북도,고창군,고창읍 중거리당산로 177,교습소,맞춤수학교습소,입시.검정 및 보습,35.4348866,126.7019163
전라북도,고창군,고창읍 성산2길 50,학원,매쓰업수학과학학원,입시.검정 및 보습,35.4357836,126.7009162
전라북도,고창군,고창읍 중앙로 213,학원,메가플러스학원,입시.검정 및 보습,35.4353276,126.6987257
전라북도,고창군,고창읍 교흥길 21,학원,명륜음악학원,예능(대),35.4346405,126.704694
전라북도,고창군,대산면 매산초등길 10-2,학원,무지개음악학원,예능(대),35.3406366,126.5973171
전라북도,고창군,고창읍 중앙로 170-6,교습소,뮤직캠프유빌라테피아노교습소,예능(대),35.434869,126.6931926
전라북도,고창군,고창읍 중앙로 260,학원,바른학원,입시.검정 및 보습,35.4348152,126.7039149
전라북도,고창군,고창읍 월곡로 27,교습소,바첼 음악 교습소,예능(대),35.4344809,126.7102831
전라북도,고창군,고창읍 동리로 19,교습소,바흐작곡교습소,예능(대),35.4334184,126.6943894
전라북도,고창군,고창읍 성산로 19,교습소,배수미수학교습소,입시.검정 및 보습,35.4390709,126.6939279
전라북도,고창군,고창읍 성산3길 29,학원,배움터보습학원,입시.검정 및 보습,35.4378699,126.6984996
전라북도,고창군,고창읍 월곡15길 9,학원,부부어학원,국제화,35.4381367,126.7105723
전라북도,고창군,고창읍 교촌3길 4,학원,비엔나음악전문학원,예능(대),35.4352136,126.7061737
전라북도,고창군,고창읍 성산로 19,학원,서대가영 영어학원,입시.검정 및 보습,35.4390709,126.6939279
전라북도,고창군,고창읍 중앙로 235,학원,세종학원,입시.검정 및 보습,35.4352782,126.7011969
전라북도,고창군,고창읍 성산2길 41,학원,소리무용학원,예능(대),35.4360076,126.7002485
전라북도,고창군,고창읍 중앙로 274,학원,소명보습학원,입시.검정 및 보습,35.434794,126.7055247
전라북도,고창군,고창읍 중앙로 232,교습소,송은혜수학교실교습소,입시.검정 및 보습,35.4347889,126.7008109
전라북도,고창군,고창읍 교흥길 19-4,교습소,수상한공작소미술교습소,예능(대),35.4345309,126.7047231
전라북도,고창군,고창읍 성산로 39,학원,수학카페학원,입시.검정 및 보습,35.4385226,126.6967678
전라북도,고창군,고창읍 월곡1길 34,학원,수현음악학원,예능(대),35.4377683,126.709627
전라북도,고창군,고창읍 월곡1길 10,학원,신현정음악학원,예능(대),35.4356871,126.7095433
전라북도,고창군,고창읍 교촌3길 13,교습소,아로마(Aroma)영어교습소,입시.검정 및 보습,35.435887,126.7068428
전라북도,고창군,고창읍 월곡로 23,학원,에듀하우스 프라이빗클래스 고창학원,입시.검정 및 보습,35.4341568,126.7102961
전라북도,고창군,고창읍 성산5길 9,교습소,엠제이잉글리쉬영어교습소,국제화,35.4360175,126.7000341
전라북도,고창군,고창읍 중앙로 235,학원,연세입시학원,국제화,35.4352782,126.7011969
전라북도,고창군,고창읍 중거리당산로 101,교습소,열린수학교습소,입시.검정 및 보습,35.4290084,126.6981824
전라북도,고창군,고창읍 성산3길 11-1,학원,올림학원,입시.검정 및 보습,35.4360849,126.6985166
전라북도,고창군,고창읍 월곡공원2길 43,교습소,우빈수학교습소,입시.검정 및 보습,35.4388195,126.7124074
전라북도,고창군,고창읍 교촌3길 4,학원,윤선생영어숲학원,입시.검정 및 보습,35.4352136,126.7061737
전라북도,고창군,고창읍 교촌3길 4,교습소,윤선생우리집앞 고창영어교습소,입시.검정 및 보습,35.4352136,126.7061737
전라북도,고창군,고창읍 교흥길 21,학원,으뜸보습학원,입시.검정 및 보습,35.4346405,126.704694
전라북도,고창군,고창읍 중앙로 269,교습소,이레수학교습소,입시.검정 및 보습,35.435151,126.7049808
전라북도,고창군,고창읍 교촌3길 11,교습소,이루다 수학 교습소,입시.검정 및 보습,35.4357944,126.7067332
전라북도,고창군,고창읍 모양성로 72,학원,이지수학 학원,입시.검정 및 보습,35.4377595,126.7000841
전라북도,고창군,고창읍 중거리당산로 177,학원,인 실용음악학원,예능(대),35.4348866,126.7019163
전라북도,고창군,고창읍 성산로 19,교습소,잉글리쉬 캠프,입시.검정 및 보습,35.4390709,126.6939279
전라북도,고창군,고창읍 성산로 49,교습소,정숙퀸영어교습소,입시.검정 및 보습,35.4384322,126.6979033
전라북도,고창군,흥덕면 문화1길 13,학원,제일학원,입시.검정 및 보습,35.5183388,126.700318
전라북도,고창군,고창읍 월곡공원1길 26,학원,조이아카데미학원,입시.검정 및 보습,35.4370559,126.7126979
전라북도,고창군,고창읍 월곡14길 14,학원,지혜의숲 고창학원,입시.검정 및 보습,35.4372221,126.7124328
전라북도,고창군,고창읍 모양성로 47,교습소,징검다리수학교습소,입시.검정 및 보습,35.4357577,126.7012267
전라북도,고창군,고창읍 중거리당산로 106,교습소,캠퍼 잉글리쉬 교습소,입시.검정 및 보습,35.4292425,126.6987317
전라북도,고창군,고창읍 중앙로 276,학원,킴벨색소폰학원,기예(대),35.4348035,126.7057617
전라북도,고창군,고창읍 중앙로 260,교습소,킴스영어교습소,국제화,35.4348152,126.7039149
전라북도,고창군,고창읍 월곡1길 22,학원,통문장영어수학학원,입시.검정 및 보습,35.4368141,126.7095795
전라북도,고창군,고창읍 중앙로 317,학원,파닉스학원,입시.검정 및 보습,35.4350685,126.7102986
전라북도,고창군,고창읍 성산2길 39,학원,프라임학원,입시.검정 및 보습,35.4360127,126.6998595
전라북도,고창군,고창읍 중앙로 270,학원,하나보습학원,입시.검정 및 보습,35.434803,126.7050939
전라북도,고창군,고창읍 월곡로 42,학원,하이픽학원,입시.검정 및 보습,35.4354854,126.7112274
전라북도,고창군,고창읍 중앙로 186,학원,학성학원,입시.검정 및 보습,35.4350922,126.695841
전라북도,고창군,고창읍 교흥길 17,학원,해솔보습학원,입시.검정 및 보습,35.4342321,126.7047561
전라북도,고창군,고창읍 교흥길 22,학원,해피클래스학원,입시.검정 및 보습,35.4346413,126.7050666
전라북도,고창군,고창읍 월곡1길 20,학원,혜성학원,입시.검정 및 보습,35.436659,126.7095618
