County,City,Town,Village,Housing_Type,Grade,Zoning,Latitude,Longitude
경상북도,청도군,매전면,두곡리,단독주택,2등급(신),계획관리지역,35.7139,128.781
경상북도,청도군,매전면,두곡리,단독주택,2등급(신),계획관리지역,35.7139,128.781
경상북도,청도군,매전면,두곡리,단독주택,2등급(신),계획관리지역,35.7139,128.781
경상북도,청도군,매전면,두곡리,단독주택,1등급(신),계획관리지역,35.7139,128.781
경상북도,청도군,매전면,두곡리,단독주택,2등급(신),계획관리지역,35.7139,128.781
경상북도,청도군,매전면,두곡리,단독주택,2등급(신),계획관리지역,35.7139,128.781
경상북도,청도군,매전면,덕산리,단독주택,2등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,1등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,2등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,1등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,1등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,2등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,1등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,2등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,덕산리,단독주택,2등급(신),계획관리지역,35.694585,128.8007
경상북도,청도군,매전면,금천리,단독주택,1등급(신),계획관리지역,35.7313,128.8042
경상북도,청도군,매전면,관하리,단독주택,1등급(신),계획관리지역,35.7144,128.8111
경상북도,청도군,매전면,관하리,단독주택,2등급(신),계획관리지역,35.7144,128.8111
경상북도,청도군,매전면,관하리,단독주택,2등급(신),계획관리지역,35.7144,128.8111
경상북도,청도군,매전면,관하리,단독주택,2등급(신),계획관리지역,35.7144,128.8111
경상북도,청도군,매전면,상평리,단독주택,1등급(신),계획관리지역,35.7175,128.8339
경상북도,청도군,매전면,상평리,단독주택,1등급(신),계획관리지역,35.7175,128.8339
경상북도,청도군,매전면,상평리,단독주택,2등급(신),계획관리지역,35.7175,128.8339
