상품명,도,시군구,카테고리
찰옥수수,경상남도,고성군,곡류·잡곡
곱배인삼,경상남도,고성군,과일
부추,경상남도,고성군,채소
시금치,경상남도,고성군,채소
파프리카,경상남도,고성군,채소
화훼,경상남도,고성군,화훼
애호박,경상남도,고성군,채소
취나물,경상남도,고성군,채소
풋고추,경상남도,고성군,채소
딸기,경상남도,고성군,과일
버섯,경상남도,고성군,버섯
방울토마토,경상남도,고성군,채소
단감,경상남도,고성군,과일
고성 쌀,경상남도,고성군,곡류·잡곡
고성녹용,경상남도,고성군,축산물
고성돼지,경상남도,고성군,축산물
고성한우,경상남도,고성군,축산물
샤인머스켓,경상남도,합천군,과일
성산사과,경상남도,창녕군,과일
인삼죽염,경상남도,함양군,가공식품
지리산산골흑돼지,경상남도,함양군,축산물
내수면 철갑상어,경상남도,함양군,수산
밤,경상남도,함양군,과일
창녕체리,경상남도,창녕군,과일
감자,경상남도,창녕군,과일
창녕수박,경상남도,창녕군,과일
"장목면 양파,유자",경상남도,거제시,과일
붕장어,경상남도,사천시,수산
새조개,경상남도,사천시,수산
전어,경상남도,사천시,수산
멸치,경상남도,사천시,수산
쥐치,경상남도,사천시,수산
바지락,경상남도,사천시,수산
포도,경상남도,사천시,과일
차나무,경상남도,사천시,채소
새송이버섯,경상남도,사천시,버섯
느타리버섯,경상남도,사천시,버섯
수박,경상남도,사천시,과일
반성전통한과,경상남도,진주시,가공식품
녹차,경상남도,합천군,가공식품
발효차,경상남도,합천군,가공식품
허굴농차,경상남도,합천군,수산
기능성소금선물세트,경상남도,합천군,수산
황토소금,경상남도,합천군,수산
벌꿀,경상남도,산청군,축산물
양계,경상남도,산청군,축산물
양돈,경상남도,산청군,축산물
한우,경상남도,산청군,축산물
복분자,경상남도,산청군,과일
"누에환, 동충하초, 뽕잎차",경상남도,산청군,가공식품
양파,경상남도,산청군,채소
마늘,경상남도,산청군,채소
애플망고,경상남도,함안군,과일
곶감,경상남도,함안군,과일
남부면 고구마,경상남도,거제시,채소
"일운면 마늘, 상황버섯, 한라봉",경상남도,거제시,과일
"수양동 배추, 무",경상남도,거제시,과일
상문동 무농약쌀,경상남도,거제시,채소
대나무숯,경상남도,진주시,채소
상황버섯,경상남도,진주시,버섯
꽈리고추,경상남도,진주시,채소
오이,경상남도,진주시,채소
산머루,경상남도,함양군,과일
새송이 버섯,경상남도,함양군,버섯
우렁쉥이,경상남도,남해군,수산
홍합,경상남도,남해군,수산
개조개,경상남도,남해군,수산
굴,경상남도,남해군,수산
전복,경상남도,남해군,수산
갈치,경상남도,남해군,수산
멸치액젓,경상남도,남해군,수산
메주,경상남도,남해군,가공식품
우리밀국수,경상남도,남해군,곡류·잡곡
유자주,경상남도,남해군,과일
고구마 쫀득이,경상남도,통영시,채소
고구마 빼떼기죽,경상남도,통영시,채소
미나리진액,경상남도,통영시,채소
동백·유자오일,경상남도,통영시,과일
옥수수,경상남도,통영시,곡류·잡곡
블루베리,경상남도,통영시,과일
용과,경상남도,통영시,과일
유자,경상남도,통영시,과일
꿀,경상남도,함양군,축산물
계란,경상남도,함양군,축산물
돼지고기,경상남도,함양군,축산물
송이버섯,경상남도,함양군,버섯
감말랭이,경상남도,함양군,과일
절임배추,경상남도,함양군,과일
두릅,경상남도,함양군,채소
토마토,경상남도,함양군,채소
오미자,경상남도,함양군,과일
배,경상남도,함양군,과일
사과,경상남도,함양군,과일
밀가루,경상남도,함양군,곡류·잡곡
잡곡,경상남도,함양군,곡류·잡곡
쌀,경상남도,함양군,곡류·잡곡
안개초,경상남도,창원시,화훼
국화,경상남도,창원시,화훼
멜론,경상남도,창원시,과일
참외,경상남도,창원시,과일
천혜향,경상남도,창원시,과일
복숭아,경상남도,창원시,과일
키위,경상남도,창원시,과일
은어,경상남도,밀양시,수산
카네이션,경상남도,밀양시,화훼
표고버섯,경상남도,밀양시,버섯
대추,경상남도,밀양시,과일
