상품명,도,시군구,카테고리
영양 산나물,경상북도,영양군,채소
영양 고추,경상북도,영양군,채소
산초,경상북도,문경시,채소
생명이(산나물),경상북도,문경시,채소
오감만족,경상북도,문경시,과일
오미로제,경상북도,문경시,가공식품
호산춘,경상북도,문경시,가공식품
오미자막걸리,경상북도,문경시,과일
액상차,경상북도,문경시,가공식품
"작두콩,여주,자색돼지감자,야관문차",경상북도,문경시,과일
국화차,경상북도,문경시,가공식품
민들레김치,경상북도,문경시,수산
민들레차,경상북도,문경시,가공식품
"메주, 된장, 간장",경상북도,문경시,가공식품
한과,경상북도,문경시,가공식품
"양파, 양파즙",경상북도,문경시,채소
문경약돌구운소금,경상북도,문경시,수산
사과가공식품,경상북도,문경시,과일
오미자김,경상북도,문경시,과일
단무지,경상북도,문경시,채소
문경새재 옛날찹쌀떡,경상북도,문경시,곡류·잡곡
문경새재 오미자빵,경상북도,문경시,과일
오미자 찰보리빵,경상북도,문경시,과일
약돌돼지,경상북도,문경시,축산물
문경약돌한우,경상북도,문경시,축산물
"산나물, 건나물",경상북도,문경시,채소
미나리,경상북도,문경시,채소
토마토,경상북도,문경시,채소
문경곶감,경상북도,문경시,과일
문경꿀,경상북도,문경시,축산물
느타리버섯,경상북도,문경시,버섯
새송이버섯,경상북도,문경시,버섯
표고버섯,경상북도,문경시,버섯
잡곡류,경상북도,문경시,곡류·잡곡
새재의 아침쌀,경상북도,문경시,곡류·잡곡
새재청결미,경상북도,문경시,곡류·잡곡
문경약돌쌀,경상북도,문경시,곡류·잡곡
희양산우렁쌀,경상북도,문경시,곡류·잡곡
복숭아,경상북도,문경시,과일
쌍샘배,경상북도,문경시,과일
오미자,경상북도,문경시,과일
문경사과,경상북도,문경시,과일
안동곶감,경상북도,안동시,과일
안동식혜,경상북도,안동시,가공식품
안동국화차,경상북도,안동시,가공식품
안동단호박,경상북도,안동시,채소
안동딸기,경상북도,안동시,과일
안동고추,경상북도,안동시,채소
안동쌀,경상북도,안동시,곡류·잡곡
안동사과,경상북도,안동시,과일
안동간고등어,경상북도,안동시,수산
안동소주,경상북도,안동시,가공식품
안동참외,경상북도,안동시,과일
안동한우,경상북도,안동시,축산물
딸기,경상북도,봉화군,과일
고사리,경상북도,울릉군,채소
명이,경상북도,울릉군,채소
부지갱이,경상북도,울릉군,채소
미역취,경상북도,울릉군,채소
땅두릅,경상북도,울릉군,채소
두릅,경상북도,울릉군,채소
서덜취,경상북도,울릉군,채소
머위,경상북도,울릉군,채소
음나무,경상북도,울릉군,채소
섬초롱꽃,경상북도,울릉군,채소
단샘미,경상북도,예천군,곡류·잡곡
일품쌀,경상북도,예천군,곡류·잡곡
참외,경상북도,예천군,과일
예천배,경상북도,예천군,과일
학가산메주,경상북도,예천군,가공식품
고춧가루,경상북도,예천군,채소
통밀빵,경상북도,청송군,가공식품
야생화,경상북도,청송군,화훼
산나물김치,경상북도,청송군,채소
엿기름,경상북도,청송군,가공식품
칡즙,경상북도,청송군,가공식품
전통장류,경상북도,청송군,가공식품
상황버섯,경상북도,청송군,버섯
상추,경상북도,청송군,채소
오이와 호박,경상북도,청송군,채소
꿀배,경상북도,청송군,과일
팽이버섯,경상북도,성주군,버섯
인진쑥,경상북도,청송군,채소
부추,경상북도,경주시,채소
사과,경상북도,경주시,과일
감자,경상북도,봉화군,과일
잡곡,경상북도,봉화군,곡류·잡곡
수박,경상북도,봉화군,과일
화훼,경상북도,봉화군,화훼
송이,경상북도,봉화군,버섯
고추,경상북도,봉화군,채소
참고비(섬고사리),경상북도,울릉군,채소
삼나물(눈개승마),경상북도,울릉군,채소
두메부추,경상북도,울릉군,채소
벌꿀,경상북도,성주군,축산물
노루궁뎅이 버섯,경상북도,성주군,버섯
감와인,경상북도,청도군,과일
과육퓨레,경상북도,청도군,가공식품
아이스홍시,경상북도,청도군,과일
감잎차,경상북도,청도군,과일
감식초,경상북도,청도군,과일
반건시,경상북도,청도군,가공식품
감말랭이,경상북도,청도군,과일
쌀,경상북도,청도군,곡류·잡곡
대추,경상북도,청도군,과일
노지고추,경상북도,청도군,채소
한재미나리,경상북도,청도군,채소
청도반시,경상북도,청도군,과일
주왕산한우,경상북도,청송군,축산물
양봉꿀,경상북도,청송군,축산물
토종꿀,경상북도,청송군,축산물
야콘,경상북도,청송군,채소
꽃송이버섯,경상북도,청송군,버섯
파프리카,경상북도,청송군,채소
토종대추,경상북도,청송군,과일
세척고추,경상북도,청송군,채소
청송사과,경상북도,청송군,과일
산삼배양근,경상북도,영주시,과일
부각,경상북도,영주시,가공식품
버섯,경상북도,영주시,버섯
술,경상북도,영주시,가공식품
문어,경상북도,영주시,수산
가지&애호박,경상북도,영주시,채소
자두,경상북도,영주시,과일
고구마,경상북도,영주시,채소
참마,경상북도,영주시,채소
생강,경상북도,영주시,채소
콩,경상북도,영주시,곡류·잡곡
계란,경상북도,영주시,축산물
한우,경상북도,영주시,축산물
경주천년한우,경상북도,경주시,축산물
경주체리,경상북도,경주시,과일
상주 오미자,경상북도,상주시,과일
상주 벌꿀,경상북도,상주시,축산물
상주 복숭아,경상북도,상주시,과일
상주 한우,경상북도,상주시,축산물
상주 오이,경상북도,상주시,채소
상주 사과,경상북도,상주시,과일
상주 배,경상북도,상주시,과일
상주 곶감,경상북도,상주시,과일
상주 쌀,경상북도,상주시,곡류·잡곡
김천자두,경상북도,김천시,과일
고령 딸기,경상북도,고령군,과일
우곡그린수박,경상북도,고령군,과일
고령옥미,경상북도,고령군,곡류·잡곡
마늘,경상북도,의성군,채소
양송이,경상북도,경주시,버섯
예천 참기름,경상북도,예천군,곡류·잡곡
금당꿀,경상북도,예천군,축산물
예천사과,경상북도,예천군,과일
은풍준시 곶감,경상북도,예천군,과일
예천잡곡,경상북도,예천군,곡류·잡곡
