상품명,도,시군구
부안해풍마늘,전북특별자치도,부안군
부안버섯,전북특별자치도,부안군
부안해풍양파,전북특별자치도,부안군
레드향,전북특별자치도,부안군
멜론,전북특별자치도,부안군
오디,전북특별자치도,부안군
부안줄포수박,전북특별자치도,부안군
토마토,전북특별자치도,부안군
부안딸기,전북특별자치도,부안군
부안감자,전북특별자치도,부안군
단풍미인찹쌀,전북특별자치도,정읍시
단풍미인배,전북특별자치도,정읍시
단풍미인방울토마토,전북특별자치도,정읍시
임실딸기,전북특별자치도,임실군
임실토마토,전북특별자치도,임실군
명품한우,전북특별자치도,순창군
배,전북특별자치도,순창군
복숭아,전북특별자치도,순창군
콩,전북특별자치도,순창군
고구마,전북특별자치도,순창군
여름딸기,전북특별자치도,무주군
"배추,무",전북특별자치도,무주군
토마토,전북특별자치도,무주군
복숭아,전북특별자치도,무주군
포도,전북특별자치도,무주군
마늘,전북특별자치도,무주군
고추,전북특별자치도,무주군
사과,전북특별자치도,무주군
바다향,전북특별자치도,군산시
궁전꽃게장,전북특별자치도,군산시
내고향시푸드,전북특별자치도,군산시
아리울수산,전북특별자치도,군산시
효송그린푸드,전북특별자치도,군산시
K-FOOD,전북특별자치도,군산시
아리울현푸드,전북특별자치도,군산시
영국빵집,전북특별자치도,군산시
노시콩네 천연꿀농장,전북특별자치도,군산시
웃담요구르트,전북특별자치도,군산시
서해푸드 주식회사,전북특별자치도,군산시
옥산한과,전북특별자치도,군산시
더 미들래,전북특별자치도,군산시
옹고집영농종합법인,전북특별자치도,군산시
풍년보리원,전북특별자치도,군산시
어울림,전북특별자치도,군산시
중수비영농조합법인,전북특별자치도,군산시
장미,전북특별자치도,전주시
다래,전북특별자치도,무주군
민물매운탕,전북특별자치도,완주군
묵은지 닭볶음탕,전북특별자치도,완주군
로컬푸드밥상,전북특별자치도,완주군
순두부백반,전북특별자치도,완주군
한우구이,전북특별자치도,완주군
토마토,전북특별자치도,완주군
배,전북특별자치도,완주군
수박,전북특별자치도,완주군
마늘,전북특별자치도,완주군
양파,전북특별자치도,완주군
대추,전북특별자치도,완주군
딸기,전북특별자치도,완주군
생강,전북특별자치도,완주군
곶감,전북특별자치도,완주군
"딸기(삼례,고산,완창)",전북특별자치도,완주군
표고,전북특별자치도,완주군
단풍미인복분자주,전북특별자치도,정읍시
단풍미인토마토,전북특별자치도,정읍시
단풍미인씨없는 수박,전북특별자치도,정읍시
단풍미인한우,전북특별자치도,정읍시
단풍미인쌀,전북특별자치도,정읍시
볏단가리(친환경쌀),전북특별자치도,전주시
딸기,전북특별자치도,전주시
토마토,전북특별자치도,전주시
국화,전북특별자치도,전주시
호박,전북특별자치도,전주시
미나리,전북특별자치도,전주시
포도,전북특별자치도,전주시
배,전북특별자치도,전주시
복숭아,전북특별자치도,전주시
임실엿,전북특별자치도,임실군
꿀,전북특별자치도,완주군
씨없는동상곶감,전북특별자치도,완주군
느타리버섯,전북특별자치도,완주군
흑곶감,전북특별자치도,완주군
고산대추,전북특별자치도,완주군
경천대추,전북특별자치도,완주군
동상 표고버섯,전북특별자치도,완주군
봉동생강,전북특별자치도,완주군
이서 신고배,전북특별자치도,완주군
삼례수박,전북특별자치도,완주군
비봉청정수박,전북특별자치도,완주군
운주완창포도,전북특별자치도,완주군
봉동왕포도,전북특별자치도,완주군
고산마늘,전북특별자치도,완주군
고산양파,전북특별자치도,완주군
화산골자연한우,전북특별자치도,완주군
화산양파,전북특별자치도,완주군
회현면 흰찰쌀보리,전북특별자치도,군산시
회현 농협 RPC,전북특별자치도,군산시
옥구 농협 RPC,전북특별자치도,군산시
생금들,전북특별자치도,군산시
임실복숭아,전북특별자치도,임실군
임실배,전북특별자치도,임실군
임실한우,전북특별자치도,임실군
임실치즈,전북특별자치도,임실군
임실고추,전북특별자치도,임실군
두릅,전북특별자치도,순창군
오미자,전북특별자치도,순창군
고추,전북특별자치도,순창군
상추(쌈추),전북특별자치도,순창군
오디,전북특별자치도,순창군
매실,전북특별자치도,순창군
딸기,전북특별자치도,순창군
복분자,전북특별자치도,순창군
블루베리,전북특별자치도,순창군
양파,전라남도,신안군
백년초,전라남도,신안군
마늘,전라남도,신안군
섬초,전라남도,신안군
무화과,전라남도,신안군
석류,전라남도,신안군
고추,전라남도,신안군
포도,전라남도,신안군
배,전라남도,신안군
신안쌀,전라남도,신안군
진도 검정쌀,전라남도,진도군
홍주,전라남도,진도군
울금,전라남도,진도군
구기자,전라남도,진도군
잔디,전라남도,장성군
편백제품,전라남도,장성군
고로쇠,전라남도,장성군
새송이,전라남도,장성군
딸기,전라남도,장성군
토마토,전라남도,장성군
배,전라남도,장성군
포도,전라남도,장성군
단감&대봉,전라남도,장성군
사과,전라남도,장성군
브로콜리,전라남도,신안군
설도젓갈,전라남도,영광군
찰보리쌀,전라남도,영광군
태양초고추,전라남도,영광군
영광딸기,전라남도,영광군
간척지쌀,전라남도,영광군
대마할머니 막걸리,전라남도,영광군
천일염,전라남도,영광군
영광굴비,전라남도,영광군
전통감물염색,전라남도,함평군
천연황토염색,전라남도,함평군
왕골돗자리,전라남도,함평군
"벌꿀, 로열제리",전라남도,함평군
꾸지뽕,전라남도,함평군
발아현미시리얼,전라남도,함평군
된장&청국장,전라남도,함평군
한과류,전라남도,함평군
잡곡,전라남도,함평군
고춧가루,전라남도,함평군
"생도라지, 도라지가루",전라남도,함평군
어성초,전라남도,함평군
요구르트&치즈,전라남도,함평군
야생차,전라남도,함평군
표고버섯,전라남도,함평군
팽이버섯,전라남도,함평군
새송이버섯,전라남도,함평군
오이,전라남도,함평군
양파즙,전라남도,함평군
미니밤호박&단호박,전라남도,함평군
토마토,전라남도,함평군
오디,전라남도,함평군
딸기,전라남도,함평군
무화과&잼,전라남도,함평군
배,전라남도,함평군
사과,전라남도,함평군
함평천지 한우,전라남도,함평군
우렁색시미,전라남도,함평군
나비랑 여문쌀,전라남도,함평군
나비햇살미,전라남도,함평군
나비쌀,전라남도,함평군
모싯잎송편,전라남도,영광군
장흥버섯,전라남도,장흥군
낙중장도,전라남도,곡성군
기차마을 신동진쌀,전라남도,곡성군
참다래,전라남도,순천시
단감,전라남도,순천시
복숭아,전라남도,순천시
배,전라남도,순천시
무화과,전라남도,영암군
영암도기,전라남도,영암군
영암어란,전라남도,영암군
월출전통메주,전라남도,영암군
금정토하젓,전라남도,영암군
달빛 무화과 쌀빵,전라남도,영암군
흑염소,전라남도,영암군
돼지고기,전라남도,영암군
녹색한우,전라남도,영암군
매력한우,전라남도,영암군
향토 지키미,전라남도,여수시
귀리다움 귀리,전라남도,여수시
연 관련 특산품,전라남도,무안군
무안갯벌 지주식 돌김,전라남도,무안군
무안고품질 쌀,전라남도,무안군
용문석,전라남도,보성군
전통염색,전라남도,보성군
삼베,전라남도,보성군
웅기,전라남도,보성군
고추,전라남도,보성군
오이,전라남도,보성군
감자,전라남도,보성군
쪽파,전라남도,보성군
방울토마토,전라남도,보성군
딸기,전라남도,보성군
사과,전라남도,보성군
참다래,전라남도,보성군
배,전라남도,보성군
웅치면올벼쌀,전라남도,보성군
건강미,전라남도,보성군
다향이숨쉬는쌀,전라남도,보성군
녹차미인보성쌀,전라남도,보성군
복분자,전라남도,보성군
삼백초,전라남도,보성군
어성초,전라남도,보성군
녹돈,전라남도,보성군
보성한우,전라남도,보성군
전어,전라남도,보성군
꼬막,전라남도,보성군
표고버섯,전라남도,보성군
느타리버섯,전라남도,보성군
녹차판매처,전라남도,보성군
녹차,전라남도,보성군
딸기,전라남도,완도군
깻잎,전라남도,곡성군
벌꿀,전라남도,곡성군
곡성한우,전라남도,곡성군
곡성돌실나이,전라남도,곡성군
깐토란,전라남도,곡성군
고들빼기,전라남도,순천시
섬섬여수 옥수수,전라남도,여수시
아르미쌀,전라남도,장흥군
청태전,전라남도,장흥군
한우,전라남도,순천시
미나리,전라남도,순천시
조기햅쌀,전라남도,순천시
딸기묘,전라남도,순천시
매실,전라남도,순천시
순천오이,전라남도,순천시
단감,전라남도,영암군
대봉감,전라남도,영암군
달마지쌀,전라남도,영암군
겨울배추,전라남도,해남군
황토고구마,전라남도,해남군
해남김,전라남도,해남군
땅끝햇살,전라남도,해남군
단감,전라남도,구례군
송이버섯,전라남도,구례군
은어,전라남도,구례군
고로쇠약수,전라남도,구례군
배,전라남도,구례군
토종꿀,전라남도,구례군
산채류,전라남도,구례군
오이,전라남도,구례군
밤,전라남도,구례군
쌀,전라남도,구례군
토란대,전라남도,곡성군
피토란,전라남도,곡성군
토란파이만주,전라남도,곡성군
황칠순액,전라남도,곡성군
부각,전라남도,곡성군
발아현미,전라남도,곡성군
건나물,전라남도,곡성군
처음처럼,전라남도,곡성군
백세미,전라남도,곡성군
곡성米,전라남도,곡성군
흑찰옥수수,전라남도,곡성군
토란,전라남도,곡성군
거북선에 실린 쌀,전라남도,여수시
토마토,전라남도,여수시
유자차,전라남도,여수시
두릅,전라남도,여수시
여수동백화장품,전라남도,여수시
기능성잡곡,전라남도,여수시
금오도잎방풍,전라남도,여수시
거문도해풍쑥,전라남도,여수시
돌산갓김치,전라남도,여수시
황토고구마,전라남도,무안군
황토마늘,전라남도,무안군
황토양파,전라남도,무안군
김장무ㆍ배추ㆍ알타리무,전라남도,영암군
월출산토마토,전라남도,영암군
영암배,전라남도,영암군
풋고추,전라남도,영암군
영암월출수박,전라남도,영암군
황토고구마,전라남도,영암군
녹차한과,전라남도,보성군
녹차된장/고추장,전라남도,보성군
참외,전라남도,나주시
한라봉,전라남도,나주시
방울토마토,전라남도,나주시
멜론,전라남도,나주시
나주쌀,전라남도,나주시
나주배,전라남도,나주시
비파,전라남도,완도군
감자,전라남도,완도군
방울토마토,전라남도,완도군
삼지구엽초,전라남도,완도군
유자,전라남도,완도군
부지화,전라남도,완도군
포도,전라남도,완도군
마늘,전라남도,완도군
쌀,전라남도,완도군
블루베리,전라남도,곡성군
밤,전라남도,곡성군
포도,전라남도,곡성군
곶감,전라남도,곡성군
배,전라남도,곡성군
사과,전라남도,곡성군
딸기,전라남도,곡성군
대봉,전라남도,곡성군
매실,전라남도,곡성군
멜론,전라남도,곡성군
영양 산나물,경상북도,영양군
영양 고추,경상북도,영양군
산초,경상북도,문경시
생명이(산나물),경상북도,문경시
산양삼,경상북도,문경시
오감만족,경상북도,문경시
오미로제,경상북도,문경시
호산춘,경상북도,문경시
오미자막걸리,경상북도,문경시
액상차,경상북도,문경시
"작두콩,여주,자색돼지감자,야관문차",경상북도,문경시
국화차,경상북도,문경시
민들레김치,경상북도,문경시
민들레차,경상북도,문경시
"메주, 된장, 간장",경상북도,문경시
한과,경상북도,문경시
"양파, 양파즙",경상북도,문경시
문경약돌구운소금,경상북도,문경시
사과가공식품,경상북도,문경시
오미자김,경상북도,문경시
단무지,경상북도,문경시
문경새재 옛날찹쌀떡,경상북도,문경시
문경새재 오미자빵,경상북도,문경시
오미자 찰보리빵,경상북도,문경시
약돌돼지,경상북도,문경시
문경약돌한우,경상북도,문경시
"산나물, 건나물",경상북도,문경시
미나리,경상북도,문경시
토마토,경상북도,문경시
문경곶감,경상북도,문경시
문경꿀,경상북도,문경시
느타리버섯,경상북도,문경시
새송이버섯,경상북도,문경시
표고버섯,경상북도,문경시
잡곡류,경상북도,문경시
새재의 아침쌀,경상북도,문경시
새재청결미,경상북도,문경시
문경약돌쌀,경상북도,문경시
희양산우렁쌀,경상북도,문경시
복숭아,경상북도,문경시
쌍샘배,경상북도,문경시
오미자,경상북도,문경시
문경사과,경상북도,문경시
안동곶감,경상북도,안동시
안동식혜,경상북도,안동시
안동국화차,경상북도,안동시
안동단호박,경상북도,안동시
안동딸기,경상북도,안동시
안동포,경상북도,안동시
안동고추,경상북도,안동시
안동쌀,경상북도,안동시
안동사과,경상북도,안동시
안동간고등어,경상북도,안동시
안동산약(마),경상북도,안동시
안동포도,경상북도,안동시
안동한지,경상북도,안동시
하회탈,경상북도,안동시
안동소주,경상북도,안동시
안동참외,경상북도,안동시
안동한우,경상북도,안동시
짚공예,경상북도,문경시
포도(샤인머스캣),경상북도,성주군
딸기,경상북도,봉화군
고사리,경상북도,울릉군
명이,경상북도,울릉군
부지갱이,경상북도,울릉군
미역취,경상북도,울릉군
땅두릅,경상북도,울릉군
두릅,경상북도,울릉군
서덜취,경상북도,울릉군
머위,경상북도,울릉군
음나무,경상북도,울릉군
섬초롱꽃,경상북도,울릉군
단샘미,경상북도,예천군
일품쌀,경상북도,예천군
복숭아,경상북도,예천군
참외,경상북도,예천군
예천배,경상북도,예천군
양잠제품,경상북도,예천군
학가산메주,경상북도,예천군
고춧가루,경상북도,예천군
꽃돌,경상북도,청송군
