상품명,도,시군구,카테고리
양파,전라남도,신안군,채소
백년초,전라남도,신안군,과일
마늘,전라남도,신안군,채소
섬초,전라남도,신안군,채소
무화과,전라남도,신안군,과일
고추,전라남도,신안군,채소
포도,전라남도,신안군,과일
배,전라남도,신안군,과일
신안쌀,전라남도,신안군,곡류·잡곡
진도 검정쌀,전라남도,진도군,곡류·잡곡
홍주,전라남도,진도군,가공식품
구기자,전라남도,진도군,곡류·잡곡
고로쇠,전라남도,장성군,가공식품
새송이,전라남도,장성군,버섯
딸기,전라남도,장성군,과일
토마토,전라남도,장성군,채소
단감&대봉,전라남도,장성군,과일
사과,전라남도,장성군,과일
브로콜리,전라남도,신안군,채소
설도젓갈,전라남도,영광군,수산
찰보리쌀,전라남도,영광군,곡류·잡곡
태양초고추,전라남도,영광군,채소
영광딸기,전라남도,영광군,과일
간척지쌀,전라남도,영광군,곡류·잡곡
대마할머니 막걸리,전라남도,영광군,가공식품
천일염,전라남도,영광군,수산
영광굴비,전라남도,영광군,수산
"벌꿀, 로열제리",전라남도,함평군,축산물
발아현미시리얼,전라남도,함평군,곡류·잡곡
된장&청국장,전라남도,함평군,가공식품
한과류,전라남도,함평군,가공식품
잡곡,전라남도,함평군,곡류·잡곡
고춧가루,전라남도,함평군,채소
요구르트&치즈,전라남도,함평군,축산물
야생차,전라남도,함평군,가공식품
표고버섯,전라남도,함평군,버섯
팽이버섯,전라남도,함평군,버섯
새송이버섯,전라남도,함평군,버섯
오이,전라남도,함평군,채소
양파즙,전라남도,함평군,채소
미니밤호박&단호박,전라남도,함평군,과일
오디,전라남도,함평군,과일
무화과&잼,전라남도,함평군,과일
함평천지 한우,전라남도,함평군,축산물
나비랑 여문쌀,전라남도,함평군,곡류·잡곡
나비햇살미,전라남도,함평군,곡류·잡곡
나비쌀,전라남도,함평군,곡류·잡곡
모싯잎송편,전라남도,영광군,가공식품
장흥버섯,전라남도,장흥군,버섯
기차마을 신동진쌀,전라남도,곡성군,곡류·잡곡
참다래,전라남도,순천시,과일
단감,전라남도,순천시,과일
복숭아,전라남도,순천시,과일
영암어란,전라남도,영암군,수산
월출전통메주,전라남도,영암군,가공식품
금정토하젓,전라남도,영암군,수산
달빛 무화과 쌀빵,전라남도,영암군,과일
흑염소,전라남도,영암군,축산물
돼지고기,전라남도,영암군,축산물
녹색한우,전라남도,영암군,축산물
매력한우,전라남도,영암군,축산물
귀리다움 귀리,전라남도,여수시,곡류·잡곡
무안갯벌 지주식 돌김,전라남도,무안군,채소
무안고품질 쌀,전라남도,무안군,채소
감자,전라남도,보성군,채소
쪽파,전라남도,보성군,채소
방울토마토,전라남도,보성군,채소
웅치면올벼쌀,전라남도,보성군,곡류·잡곡
건강미,전라남도,보성군,곡류·잡곡
다향이숨쉬는쌀,전라남도,보성군,곡류·잡곡
녹차미인보성쌀,전라남도,보성군,곡류·잡곡
복분자,전라남도,보성군,과일
녹돈,전라남도,보성군,축산물
보성한우,전라남도,보성군,축산물
전어,전라남도,보성군,수산
꼬막,전라남도,보성군,수산
느타리버섯,전라남도,보성군,버섯
녹차,전라남도,보성군,가공식품
깻잎,전라남도,곡성군,채소
벌꿀,전라남도,곡성군,축산물
곡성한우,전라남도,곡성군,축산물
깐토란,전라남도,곡성군,채소
고들빼기,전라남도,순천시,채소
섬섬여수 옥수수,전라남도,여수시,채소
아르미쌀,전라남도,장흥군,곡류·잡곡
청태전,전라남도,장흥군,가공식품
한우,전라남도,순천시,축산물
미나리,전라남도,순천시,채소
조기햅쌀,전라남도,순천시,곡류·잡곡
딸기묘,전라남도,순천시,과일
매실,전라남도,순천시,과일
순천오이,전라남도,순천시,채소
대봉감,전라남도,영암군,과일
달마지쌀,전라남도,영암군,곡류·잡곡
겨울배추,전라남도,해남군,과일
황토고구마,전라남도,해남군,채소
해남김,전라남도,해남군,수산
송이버섯,전라남도,구례군,버섯
은어,전라남도,구례군,수산
고로쇠약수,전라남도,구례군,가공식품
토종꿀,전라남도,구례군,축산물
산채류,전라남도,구례군,채소
밤,전라남도,구례군,과일
쌀,전라남도,구례군,곡류·잡곡
토란대,전라남도,곡성군,채소
피토란,전라남도,곡성군,채소
토란파이만주,전라남도,곡성군,채소
황칠순액,전라남도,곡성군,가공식품
부각,전라남도,곡성군,가공식품
발아현미,전라남도,곡성군,곡류·잡곡
건나물,전라남도,곡성군,가공식품
처음처럼,전라남도,곡성군,가공식품
백세미,전라남도,곡성군,곡류·잡곡
곡성米,전라남도,곡성군,곡류·잡곡
흑찰옥수수,전라남도,곡성군,채소
토란,전라남도,곡성군,채소
거북선에 실린 쌀,전라남도,여수시,곡류·잡곡
유자차,전라남도,여수시,과일
두릅,전라남도,여수시,채소
기능성잡곡,전라남도,여수시,곡류·잡곡
금오도잎방풍,전라남도,여수시,채소
거문도해풍쑥,전라남도,여수시,채소
돌산갓김치,전라남도,여수시,가공식품
황토마늘,전라남도,무안군,채소
황토양파,전라남도,무안군,채소
김장무ㆍ배추ㆍ알타리무,전라남도,영암군,과일
