상품명,도,시군구,카테고리
부안해풍마늘,전북특별자치도,부안군,채소
부안버섯,전북특별자치도,부안군,버섯
부안해풍양파,전북특별자치도,부안군,채소
레드향,전북특별자치도,부안군,과일
멜론,전북특별자치도,부안군,과일
오디,전북특별자치도,부안군,과일
부안줄포수박,전북특별자치도,부안군,과일
토마토,전북특별자치도,부안군,채소
부안딸기,전북특별자치도,부안군,과일
부안감자,전북특별자치도,부안군,채소
단풍미인찹쌀,전북특별자치도,정읍시,곡류·잡곡
단풍미인배,전북특별자치도,정읍시,과일
단풍미인방울토마토,전북특별자치도,정읍시,채소
임실딸기,전북특별자치도,임실군,과일
임실토마토,전북특별자치도,임실군,채소
명품한우,전북특별자치도,순창군,축산물
배,전북특별자치도,순창군,과일
복숭아,전북특별자치도,순창군,과일
콩,전북특별자치도,순창군,곡류·잡곡
고구마,전북특별자치도,순창군,채소
여름딸기,전북특별자치도,무주군,과일
"배추,무",전북특별자치도,무주군,과일
포도,전북특별자치도,무주군,과일
마늘,전북특별자치도,무주군,채소
고추,전북특별자치도,무주군,채소
사과,전북특별자치도,무주군,과일
궁전꽃게장,전북특별자치도,군산시,수산
옥산한과,전북특별자치도,군산시,가공식품
장미,전북특별자치도,전주시,화훼
다래,전북특별자치도,무주군,과일
수박,전북특별자치도,완주군,과일
양파,전북특별자치도,완주군,채소
대추,전북특별자치도,완주군,과일
딸기,전북특별자치도,완주군,과일
생강,전북특별자치도,완주군,채소
곶감,전북특별자치도,완주군,가공식품
"딸기(삼례,고산,완창)",전북특별자치도,완주군,과일
표고,전북특별자치도,완주군,버섯
단풍미인복분자주,전북특별자치도,정읍시,과일
단풍미인토마토,전북특별자치도,정읍시,채소
단풍미인씨없는 수박,전북특별자치도,정읍시,과일
단풍미인한우,전북특별자치도,정읍시,축산물
단풍미인쌀,전북특별자치도,정읍시,곡류·잡곡
국화,전북특별자치도,전주시,화훼
호박,전북특별자치도,전주시,채소
미나리,전북특별자치도,전주시,채소
임실엿,전북특별자치도,임실군,가공식품
꿀,전북특별자치도,완주군,축산물
씨없는동상곶감,전북특별자치도,완주군,가공식품
느타리버섯,전북특별자치도,완주군,버섯
흑곶감,전북특별자치도,완주군,가공식품
고산대추,전북특별자치도,완주군,과일
경천대추,전북특별자치도,완주군,과일
동상 표고버섯,전북특별자치도,완주군,버섯
봉동생강,전북특별자치도,완주군,채소
이서 신고배,전북특별자치도,완주군,과일
삼례수박,전북특별자치도,완주군,과일
비봉청정수박,전북특별자치도,완주군,과일
운주완창포도,전북특별자치도,완주군,과일
봉동왕포도,전북특별자치도,완주군,과일
고산마늘,전북특별자치도,완주군,채소
고산양파,전북특별자치도,완주군,채소
화산골자연한우,전북특별자치도,완주군,축산물
화산양파,전북특별자치도,완주군,채소
회현면 흰찰쌀보리,전북특별자치도,군산시,곡류·잡곡
임실복숭아,전북특별자치도,임실군,과일
임실배,전북특별자치도,임실군,과일
임실한우,전북특별자치도,임실군,축산물
임실치즈,전북특별자치도,임실군,축산물
임실고추,전북특별자치도,임실군,채소
두릅,전북특별자치도,순창군,채소
오미자,전북특별자치도,순창군,과일
상추(쌈추),전북특별자치도,순창군,채소
매실,전북특별자치도,순창군,과일
복분자,전북특별자치도,순창군,과일
블루베리,전북특별자치도,순창군,과일
