address,cluster,적용유형,가중합점수,농업_지원,농업_매물,교통,교육,편의,서비스
경상북도 영주시 하망동 ,0,가족정착형,2.193684766820615,6,10,6,10,10,10
경상북도 상주시 냉림동 ,0,가족정착형,2.1933387660449375,8,10,10,10,10,10
경상북도 영주시 영주동 ,0,가족정착형,2.1535747409178008,6,9,7,10,10,10
경상북도 영주시 휴천동 ,0,가족정착형,2.1439760887199153,6,9,7,10,10,10
전라북도 전주덕진구 호성동1가 ,0,가족정착형,2.119682968996587,10,9,10,10,10,10
경상북도 경주시 노서동 ,0,가족정착형,2.0998164009369154,10,9,6,10,10,10
경상북도 상주시 서문동 ,0,가족정착형,2.079938152641644,7,9,10,10,10,10
경상북도 상주시 서성동 ,0,가족정착형,2.0655176774841215,8,9,10,10,10,10
경상북도 문경시 흥덕동 ,0,가족정착형,2.0420139607462233,9,9,10,10,10,10
경상북도 문경시 점촌동 ,0,가족정착형,2.0414600162055665,9,9,10,10,10,10
전라북도 전주덕진구 우아동3가 ,0,영농상속형,1.8249585401111275,10,8,10,10,10,10
전라북도 전주덕진구 호성동1가 ,0,영농상속형,1.819356535131132,10,9,10,10,10,10
경상북도 김천시 평화동 ,0,영농상속형,1.7904978715094018,10,7,10,10,10,10
경상북도 경주시 노서동 ,0,영농상속형,1.7708815169290975,10,9,6,10,10,10
경상북도 경주시 노동동 ,0,영농상속형,1.755230039711366,10,8,6,10,10,10
경상북도 경주시 서부동 ,0,영농상속형,1.7521703817686527,10,8,7,10,10,10
경상북도 경주시 동부동 ,0,영농상속형,1.7508259517828713,10,8,6,10,10,10
경상북도 김천시 모암동 ,0,영농상속형,1.7291116213150306,10,7,10,10,10,10
경상북도 경주시 성건동 ,0,영농상속형,1.7210552615150132,10,7,7,10,10,10
경상북도 경주시 북부동 ,0,영농상속형,1.7144886726486146,10,7,6,10,10,10
전라북도 전주덕진구 호성동1가 ,0,은퇴생계형,1.7023041834379222,10,9,10,10,10,10
경상북도 문경시 흥덕동 ,0,은퇴생계형,1.6799155113228994,9,9,10,10,10,10
경상북도 문경시 점촌동 ,0,은퇴생계형,1.6780845004324558,9,9,10,10,10,10
경상북도 김천시 평화동 ,0,은퇴생계형,1.6746504692027429,10,7,10,10,10,10
경상북도 상주시 냉림동 ,0,은퇴생계형,1.6575009076113303,8,10,10,10,10,10
전라북도 전주덕진구 우아동3가 ,0,은퇴생계형,1.6447335250102535,10,8,10,10,10,10
경상북도 상주시 서성동 ,0,은퇴생계형,1.6249876766369826,8,9,10,10,10,10
경상북도 상주시 무양동 ,0,은퇴생계형,1.6239240534139647,8,10,10,10,10,10
경상북도 상주시 서문동 ,0,은퇴생계형,1.6231458811764508,7,9,10,10,10,10
경상북도 김천시 감호동 ,0,은퇴생계형,1.5998218556825152,10,7,10,10,10,10
경상북도 상주시 죽전동 ,2,청년창농형,1.9420584109564898,9,10,9,7,9,9
경상북도 상주시 만산동 ,2,청년창농형,1.8920552345311963,8,10,10,10,10,9
경상북도 영주시 문정동 ,2,청년창농형,1.8900022394889937,6,10,3,9,10,10
경상북도 경주시 안강읍 안강리,2,청년창농형,1.8326374378931742,9,10,9,10,9,8
경상북도 경주시 서악동 ,2,청년창농형,1.7691964284971018,10,10,4,9,10,10
경상북도 영주시 조암동 ,2,청년창농형,1.7646781593811993,6,10,3,9,10,9
경상북도 문경시 우지동 ,2,청년창농형,1.7597334157356008,9,10,9,9,9,10
경상북도 문경시 창동 ,2,청년창농형,1.7160185733084872,8,10,9,7,9,9
경상북도 영주시 이산면 원리,2,청년창농형,1.7002768445393492,5,10,4,9,9,9
경상북도 문경시 호계면 막곡리,2,청년창농형,1.6737838867936625,8,10,9,8,9,9
