도,시군구,청명,위도,경도,상품명
전라북도,부안군,부안군청,35.73165599,126.7330113,"부안해풍마늘, 부안버섯, 부안해풍양파, 레드향, 멜론, 오디, 부안줄포수박, 토마토, 부안딸기, 부안감자"
전라북도,정읍시,정읍시청,35.56984917,126.8559969,"단풍미인찹쌀, 단풍미인배, 단풍미인방울토마토, 단풍미인복분자주, 단풍미인토마토, 단풍미인씨없는 수박, 단풍미인한우, 단풍미인쌀"
전라북도,임실군,임실군청,35.61785451,127.2890875,"임실딸기, 임실토마토, 임실엿, 임실복숭아, 임실배, 임실한우, 임실치즈, 임실고추"
전라북도,순창군,순창군청,35.37442988,127.1373913,"명품한우, 배, 복숭아, 콩, 고구마, 두릅, 오미자, 고추, 상추(쌈추), 오디, 매실, 딸기, 복분자, 블루베리"
전라북도,무주군,무주군청,36.00684374,127.6608063,"여름딸기, 배추,무, 토마토, 복숭아, 포도, 마늘, 고추, 사과, 다래"
전라북도,군산시,군산시청,35.96746656,126.7368405,"바다향, 궁전꽃게장, 내고향시푸드, 아리울수산, 효송그린푸드, K-FOOD, 아리울현푸드, 영국빵집, 노시콩네 천연꿀농장, 웃담요구르트, 서해푸드 주식회사, 옥산한과, 더 미들래, 옹고집영농종합법인, 풍년보리원, 어울림, 중수비영농조합법인, 회현면 흰찰쌀보리, 회현 농협 RPC, 옥구 농협 RPC, 생금들"
전라북도,전주시,전주시청,35.82407315,127.1481438,"장미, 볏단가리(친환경쌀), 딸기, 토마토, 국화, 호박, 미나리, 포도, 배, 복숭아"
전라북도,완주군,완주군청,35.9048146,127.162119,"민물매운탕, 묵은지 닭볶음탕, 로컬푸드밥상, 순두부백반, 한우구이, 토마토, 배, 수박, 마늘, 양파, 대추, 딸기, 생강, 곶감, 딸기(삼례,고산,완창), 표고, 꿀, 씨없는동상곶감, 느타리버섯, 흑곶감, 고산대추, 경천대추, 동상 표고버섯, 봉동생강, 이서 신고배, 삼례수박, 비봉청정수박, 운주완창포도, 봉동왕포도, 고산마늘, 고산양파, 화산골자연한우, 화산양파"
전라남도,신안군,신안군청,34.83355208,126.3516143,"양파, 백년초, 마늘, 섬초, 무화과, 석류, 고추, 포도, 배, 신안쌀, 브로콜리"
전라남도,진도군,진도군청,34.48682862,126.2634462,"진도 검정쌀, 홍주, 울금, 구기자"
전라남도,장성군,장성군청,35.30185768,126.7849189,"잔디, 편백제품, 고로쇠, 새송이, 딸기, 토마토, 배, 포도, 단감&대봉, 사과"
전라남도,영광군,영광군청,35.27719003,126.5120138,"설도젓갈, 찰보리쌀, 태양초고추, 영광딸기, 간척지쌀, 대마할머니 막걸리, 천일염, 영광굴비, 모싯잎송편"
전라남도,함평군,함평군청,35.06591117,126.5166248,"전통감물염색, 천연황토염색, 왕골돗자리, 벌꿀, 로열제리, 꾸지뽕, 발아현미시리얼, 된장&청국장, 한과류, 잡곡, 고춧가루, 생도라지, 도라지가루, 어성초, 요구르트&치즈, 야생차, 표고버섯, 팽이버섯, 새송이버섯, 오이, 양파즙, 미니밤호박&단호박, 토마토, 오디, 딸기, 무화과&잼, 배, 사과, 함평천지 한우, 우렁색시미, 나비랑 여문쌀, 나비햇살미, 나비쌀"
전라남도,장흥군,장흥군청,34.68161207,126.9070584,"장흥버섯, 아르미쌀, 청태전"
전라남도,곡성군,곡성군청,35.28202584,127.2919296,"낙중장도, 기차마을 신동진쌀, 깻잎, 벌꿀, 곡성한우, 곡성돌실나이, 깐토란, 토란대, 피토란, 토란파이만주, 황칠순액, 부각, 발아현미, 건나물, 처음처럼, 백세미, 곡성米, 흑찰옥수수, 토란, 블루베리, 밤, 포도, 곶감, 배, 사과, 딸기, 대봉, 매실, 멜론"
전라남도,순천시,순천시청,34.95060978,127.4873829,"참다래, 단감, 복숭아, 배, 고들빼기, 한우, 미나리, 조기햅쌀, 딸기묘, 매실, 순천오이"
