시도,구분,주소,연간_임대료(원),면적(㎡),지목
부산광역시,임대-수탁,부산광역시 기장군 기장읍 만화리 352-2,"200,000","1,755",답
부산광역시,임대-수탁,부산광역시 기장군 정관읍 예림리 2,"2,000,000","3,478",답
부산광역시,임대-수탁,부산광역시 기장군 정관읍 월평리 108-26,"50,000",471,답
부산광역시,임대-수탁,부산광역시 기장군 정관읍 월평리 108-25,"250,000",946,답
대구광역시,임대-수탁,대구광역시 군위군 군위읍 하곡리 40,"300,000","1,133",답
대구광역시,임대-수탁,대구광역시 군위군 부계면 명산리 392-1,"60,000",413,답
대구광역시,임대-수탁,대구광역시 군위군 부계면 명산리 173,"300,000","2,542",답
대구광역시,임대-수탁,대구광역시 군위군 부계면 명산리 166,"40,000",284,답
대구광역시,임대-수탁,대구광역시 군위군 부계면 신화리 924,"20,000",252,전
대구광역시,임대-수탁,대구광역시 군위군 부계면 신화리 930,"70,000","1,018",전
대구광역시,임대-수탁,대구광역시 군위군 부계면 신화리 925,"110,000","1,577",전
대구광역시,임대-수탁,대구광역시 군위군 소보면 도산리 810,"1,000,000","3,670.90",답
대구광역시,임대-수탁,대구광역시 군위군 소보면 도산리 694,"600,000","1,245.80",답
대구광역시,임대-수탁,대구광역시 군위군 우보면 봉산리 273-2,"56,000",456,전
대구광역시,임대-수탁,대구광역시 군위군 우보면 봉산리 311,"74,000",592,전
대구광역시,임대-수탁,대구광역시 군위군 우보면 봉산리 240,"100,000","2,126",전
대구광역시,임대-수탁,대구광역시 군위군 우보면 봉산리 257,"90,000",711,전
대구광역시,임대-수탁,대구광역시 군위군 우보면 봉산리 306-2,"220,000","1,795",전
대구광역시,임대-수탁,대구광역시 군위군 의흥면 이지리 1294-2,"1,200,000","2,173",답
대구광역시,임대-수탁,대구광역시 군위군 효령면 매곡리 1022,"500,000","2,489",전
대구광역시,임대-수탁,대구광역시 군위군 효령면 장기리 484,"350,000","1,084",답
대구광역시,임대-수탁,대구광역시 달성군 구지면 가천리 531,"400,000","1,058",답
대구광역시,임대-수탁,대구광역시 달성군 옥포읍 간경리 564-1,"200,000",731,답
대구광역시,임대-수탁,대구광역시 달성군 옥포읍 간경리 564-2,"400,000","1,309",답
대구광역시,임대-수탁,대구광역시 달성군 옥포읍 간경리 367-2,"350,000",850,답
대구광역시,임대-수탁,대구광역시 달성군 옥포읍 간경리 564-2,"400,000","1,309",답
대구광역시,임대-수탁,대구광역시 달성군 옥포읍 간경리 539,"350,000",939,답
대구광역시,임대-수탁,대구광역시 달성군 옥포읍 기세리 137-3,"200,000",542,답
대구광역시,임대-수탁,대구광역시 달성군 유가읍 도의리 1081-1,"400,000","2,027",답
대구광역시,임대-수탁,대구광역시 달성군 하빈면 묘리 147,"450,000",625,전
대구광역시,임대-수탁,대구광역시 달성군 하빈면 하산리 731,"1,500,000","1,944",답
대구광역시,임대-수탁,대구광역시 동구 숙천동 287,"200,000",124,답
대구광역시,임대-수탁,대구광역시 동구 숙천동 292-1,"200,000",111,답
대구광역시,임대-수탁,대구광역시 동구 숙천동 213-8,"1,400,000","1,973",답
대구광역시,임대-수탁,대구광역시 동구 숙천동 291-5,"200,000",156,답
대구광역시,임대-수탁,대구광역시 북구 관음동 75,"600,000","2,129",답
대구광역시,매도-수탁,대구광역시 북구 구암동 557,"317,360,000","1,309",전
인천광역시,임대-수탁,인천광역시 계양구 선주지동 305-15,"300,000",612.8,전
인천광역시,매도-수탁,인천광역시 옹진군 덕적면 서포리 958-37,"5,505,000",367,답
인천광역시,임대-수탁,인천광역시 옹진군 영흥면 외리 718,"100,000",559,답
인천광역시,임대-수탁,인천광역시 옹진군 영흥면 외리 709,"250,000","1,788",답
인천광역시,임대-수탁,인천광역시 옹진군 영흥면 외리 719,"130,000",714,답
인천광역시,임대-수탁,인천광역시 옹진군 영흥면 외리 714,"220,000","1,633",답
인천광역시,임대-수탁,인천광역시 옹진군 영흥면 외리 713,"120,000",512,답
광주광역시,임대-수탁,광주광역시 광산구 남산동 54-3,"2,500,000","5,002",답
광주광역시,임대-수탁,광주광역시 북구 생용동 446-1,"1,000,000","1,925",답
광주광역시,임대-수탁,광주광역시 북구 월출동 93,"800,000","2,258",답
광주광역시,임대-수탁,광주광역시 서구 세하동 505-1,"600,000","2,768",전
울산광역시,임대-수탁,울산광역시 북구 무룡동 572,"300,000","3,058",전
울산광역시,임대-수탁,울산광역시 울주군 두동면 만화리 700,"300,000","2,502",답
울산광역시,임대-수탁,울산광역시 울주군 두동면 만화리 696,"500,000","3,812",답
울산광역시,임대-수탁,울산광역시 울주군 두서면 인보리 221-1,"300,000","1,673",답
울산광역시,임대-수탁,울산광역시 울주군 삼동면 보은리 896,"60,000",245,답
울산광역시,임대-수탁,울산광역시 울주군 삼동면 보은리 898,"740,000","3,269",답
울산광역시,임대-수탁,울산광역시 울주군 삼동면 보은리 895,"200,000","2,364",답
울산광역시,임대-수탁,울산광역시 울주군 서생면 위양리 820-1,"2,000,000","6,888",전
울산광역시,임대-수탁,울산광역시 울주군 언양읍 반천리 594-4,"300,000",949,전
울산광역시,임대-수탁,울산광역시 울주군 온산읍 삼평리 483-2,"600,000","2,007",답
울산광역시,임대-수탁,울산광역시 울주군 온산읍 학남리 177,"3,000,000","10,909",답
세종특별자치시,임대-수탁,세종특별자치시 연서면 기룡리 521,"700,000","3,071",전
세종특별자치시,임대-수탁,세종특별자치시 연서면 성제리 4,"200,000","1,418",답
세종특별자치시,임대-수탁,세종특별자치시 장군면 송문리 657-9,"600,000","1,990.80",답
경기도,임대-경영회생,경기도 가평군 가평읍 대곡리 506,"434,000","4,420",답
경기도,매도-수탁,경기도 가평군 가평읍 상색리 287-1,"505,000,000","2,564",답
경기도,임대-수탁,경기도 가평군 가평읍 이화리 461,"95,000","1,137",전
경기도,임대-수탁,경기도 가평군 가평읍 이화리 462,"38,000",456,전
경기도,임대-수탁,경기도 가평군 가평읍 이화리 460,"67,000",797,전
경기도,매도-수탁,경기도 가평군 북면 제령리 406,"80,000,000","1,920",전
경기도,매도-수탁,경기도 가평군 상면 행현리 489-1,"86,000,000","1,815",전
경기도,매도-수탁,경기도 가평군 설악면 방일리 76-2,"312,753,000","1,477",답
경기도,임대-수탁,경기도 가평군 설악면 설곡리 167,"600,000","3,003",답
경기도,매도-수탁,경기도 가평군 설악면 설곡리 553-2,"113,638,000","3,088",전
경기도,매도-수탁,경기도 가평군 설악면 설곡리 553-2,"113,638,000","3,088",전
경기도,매도-수탁,경기도 가평군 설악면 설곡리 443-1,"397,086,000","3,893",전
경기도,임대-수탁,경기도 가평군 설악면 신천리 306-1,"1,000,000","5,322",답
경기도,임대-수탁,경기도 광주시 퇴촌면 광동리 168-8,"200,000","2,509",답
경기도,임대-수탁,경기도 김포시 대곶면 율생리 687-1,"680,000","2,833",전
경기도,임대-수탁,경기도 김포시 대곶면 율생리 687-2,"670,000","2,225",전
경기도,임대-수탁,경기도 김포시 대곶면 율생리 707,"450,000","1,755",전
경기도,임대-수탁,경기도 안성시 미양면 고지리 2-1,"500,000","3,076",답
경기도,임대-수탁,경기도 안성시 미양면 용두리 255-1,"1,000,000","3,127",답
경기도,임대-수탁,경기도 안성시 일죽면 화곡리 303-2,"300,000","1,309",답
경기도,임대-수탁,경기도 안성시 일죽면 화곡리 302-1,"300,000","2,165",답
경기도,임대-수탁,경기도 안성시 일죽면 화봉리 439-1,"800,000","2,306",답
경기도,임대-수탁,경기도 안성시 일죽면 화봉리 438-1,"500,000","1,126",답
경기도,임대-수탁,경기도 안성시 일죽면 화봉리 439-3,"500,000","1,461",답
경기도,임대-맞춤형,경기도 양평군 개군면 주읍리 83,"600,000","1,835",전
경기도,임대-맞춤형,경기도 양평군 개군면 주읍리 89-4,"800,000","2,430",전
경기도,임대-수탁,경기도 양평군 단월면 산음리 542-5,"200,000",469,전
경기도,임대-수탁,경기도 양평군 서종면 서후리 158,"300,000","2,808",답
경기도,임대-수탁,경기도 양평군 양동면 계정리 356,"300,000","1,329",전
경기도,임대-수탁,경기도 양평군 용문면 삼성리 649,"400,000","1,286",답
경기도,임대-수탁,경기도 양평군 청운면 여물리 14-3,"200,000","1,205",답
경기도,임대-수탁,경기도 양평군 청운면 여물리 14,"300,000","1,596",답
경기도,임대-수탁,경기도 여주시 대신면 하림리 556-3,"490,000","1,644",답
경기도,임대-수탁,경기도 여주시 대신면 하림리 556-2,"510,000","1,745",답
경기도,임대-수탁,경기도 여주시 대신면 후포리 130-11,"500,000","1,650",전
경기도,임대-공공임대용,경기도 여주시 북내면 가정리 65-1,"389,700","2,165",전
