관서명,구분,명칭,시도,시군구,상세주소,주소
을지,지구대,을지지구대,서울특별시,중구,을지로 234,서울특별시 중구 을지로 234
광희,지구대,광희지구대,서울특별시,중구,퇴계로 375-1,서울특별시 중구 퇴계로 375-1
약수,지구대,약수지구대,서울특별시,중구,"동호로 5길 15, 약수지구대","서울특별시 중구 동호로 5길 15, 약수지구대"
신당,파출소,신당파출소,서울특별시,중구,"다산로 248 (신당동, 신당파출소)","서울특별시 중구 다산로 248 (신당동, 신당파출소)"
장충,파출소,장충파출소,서울특별시,중구,동호로 261,서울특별시 중구 동호로 261
충무,파출소,충무파출소,서울특별시,중구,퇴계로 178,서울특별시 중구 퇴계로 178
을지로3가,파출소,을지로3가파출소,서울특별시,중구,충무로56-1,서울특별시 중구 충무로56-1
종로2가,지구대,종로2가지구대,서울특별시,종로구,종로17길 4,서울특별시 종로구 종로17길 4
관수,파출소,관수파출소,서울특별시,종로구,삼일대로15길 19 1층(임시파출소),서울특별시 종로구 삼일대로15길 19 1층(임시파출소)
세검정,파출소,세검정파출소,서울특별시,종로구,세검정로 226,서울특별시 종로구 세검정로 226
평창,파출소,평창파출소,서울특별시,종로구,평창문화로 46,서울특별시 종로구 평창문화로 46
삼청,파출소,삼청파출소,서울특별시,종로구,삼청로 66,서울특별시 종로구 삼청로 66
통의,파출소,통의파출소,서울특별시,종로구,효자로 9,서울특별시 종로구 효자로 9
청운,파출소,청운파출소,서울특별시,종로구,자하문로 92-1,서울특별시 종로구 자하문로 92-1
옥인,파출소,옥인파출소,서울특별시,종로구,자하문로17길 24,서울특별시 종로구 자하문로17길 24
교남,파출소,교남파출소,서울특별시,종로구,송월길 152,서울특별시 종로구 송월길 152
세종로,파출소,세종로파출소,서울특별시,중구,세종대로 141,서울특별시 중구 세종대로 141
신문로,파출소,신문로파출소,서울특별시,종로구,경희궁길 6-3,서울특별시 종로구 경희궁길 6-3
사직,파출소,사직파출소,서울특별시,종로구,사직로9가길 6 1층(임시파출소),서울특별시 종로구 사직로9가길 6 1층(임시파출소)
청진,파출소,청진파출소,서울특별시,종로구,우정국로 45-3 1층(임시파출소),서울특별시 종로구 우정국로 45-3 1층(임시파출소)
태평로,파출소,태평로파출소,서울특별시,중구,다동길 11,서울특별시 중구 다동길 11
서울역,파출소,서울역파출소,서울특별시,중구,통일로 13,서울특별시 중구 통일로 13
명동,파출소,명동파출소,서울특별시,중구,명동길 30 명동파출소,서울특별시 중구 명동길 30 명동파출소
남대문,파출소,남대문파출소,서울특별시,중구,남대문시장4길 28-16,서울특별시 중구 남대문시장4길 28-16
중림,파출소,중림파출소,서울특별시,중구,중림로 36,서울특별시 중구 중림로 36
회현,파출소,회현파출소,서울특별시,중구,퇴계로6길 3-15,서울특별시 중구 퇴계로6길 3-15
서소문,파출소,서소문파출소,서울특별시,중구,서소문로 131-1 서소문파출소,서울특별시 중구 서소문로 131-1 서소문파출소
충정로,지구대,충정로지구대,서울특별시,서대문구,독립문로 25-1,서울특별시 서대문구 독립문로 25-1
신촌,지구대,신촌지구대,서울특별시,서대문구,신촌역로 22,서울특별시 서대문구 신촌역로 22
홍은,파출소,홍은파출소,서울특별시,서대문구,세검정로1길 112,서울특별시 서대문구 세검정로1길 112
연희,파출소,연희파출소,서울특별시,서대문구,연희로25길 73,서울특별시 서대문구 연희로25길 73
남가좌,파출소,남가좌파출소,서울특별시,서대문구,가재울로4길 51,서울특별시 서대문구 가재울로4길 51
북가좌,파출소,북가좌파출소,서울특별시,서대문구,응암로1길 13,서울특별시 서대문구 응암로1길 13
홍제,파출소,홍제파출소,서울특별시,서대문구,통일로 441-1,서울특별시 서대문구 통일로 441-1
홍은2,파출소,홍은2파출소,서울특별시,서대문구,연희로 298,서울특별시 서대문구 연희로 298
혜화,파출소,혜화파출소,서울특별시,종로구,창경궁로 279,서울특별시 종로구 창경궁로 279
대학로,파출소,대학로파출소,서울특별시,종로구,이화장2길 33,서울특별시 종로구 이화장2길 33
명륜,파출소,명륜파출소,서울특별시,종로구,성균관로 78,서울특별시 종로구 성균관로 78
창신,파출소,창신파출소,서울특별시,종로구,지봉로13길 20-12,서울특별시 종로구 지봉로13길 20-12
동묘,파출소,동묘파출소,서울특별시,종로구,종로58가길 19 동묘파출소,서울특별시 종로구 종로58가길 19 동묘파출소
덕산,파출소,덕산파출소,서울특별시,종로구,창신길 98,서울특별시 종로구 창신길 98
종로5가,파출소,종로5가파출소,서울특별시,종로구,동호로 407,서울특별시 종로구 동호로 407
효제,파출소,효제파출소,서울특별시,종로구,종로41나길 24-6,서울특별시 종로구 종로41나길 24-6
원효,지구대,원효지구대,서울특별시,용산구,백범로 329,서울특별시 용산구 백범로 329
용중,지구대,용중지구대,서울특별시,용산구,"후암로16나길 17, 용중지구대","서울특별시 용산구 후암로16나길 17, 용중지구대"
이태원,파출소,이태원파출소,서울특별시,용산구,이태원로 184,서울특별시 용산구 이태원로 184
한남,파출소,한남파출소,서울특별시,용산구,"대사관로34길 53, 한남파출소","서울특별시 용산구 대사관로34길 53, 한남파출소"
보광,파출소,보광파출소,서울특별시,용산구,"보광로 25-1, 보광파출소","서울특별시 용산구 보광로 25-1, 보광파출소"
삼각지,파출소,삼각지파출소,서울특별시,용산구,한강대로198-2,서울특별시 용산구 한강대로198-2
한강로,지구대,한강로지구대,서울특별시,용산구,서빙고로67,서울특별시 용산구 서빙고로67
돈암,지구대,돈암지구대,서울특별시,성북구,아리랑로5길 54,서울특별시 성북구 아리랑로5길 54
안암,지구대,안암지구대,서울특별시,성북구,지봉로21길 45,서울특별시 성북구 지봉로21길 45
길음,지구대,길음지구대,서울특별시,성북구,삼양로13길 51 길음지구대,서울특별시 성북구 삼양로13길 51 길음지구대
정릉,파출소,정릉파출소,서울특별시,성북구,솔샘로 111,서울특별시 성북구 솔샘로 111
정릉2,파출소,정릉2파출소,서울특별시,성북구,정릉로26길 6 정릉2파출소,서울특별시 성북구 정릉로26길 6 정릉2파출소
성북,파출소,성북파출소,서울특별시,성북구,성북로 94 성북파출소,서울특별시 성북구 성북로 94 성북파출소
답십리,지구대,답십리지구대,서울특별시,동대문구,사가정로 2길 9,서울특별시 동대문구 사가정로 2길 9
용신,지구대,용신지구대,서울특별시,동대문구,청계천로549,서울특별시 동대문구 청계천로549
청량리,파출소,청량리파출소,서울특별시,동대문구,약령시로21길 15,서울특별시 동대문구 약령시로21길 15
제기,파출소,제기파출소,서울특별시,동대문구,약령시로 17길 59-11,서울특별시 동대문구 약령시로 17길 59-11
전농1,파출소,전농1파출소,서울특별시,동대문구,서울시립대로 56,서울특별시 동대문구 서울시립대로 56
전농2,파출소,전농2파출소,서울특별시,동대문구,전농로38다길 21,서울특별시 동대문구 전농로38다길 21
장안1,파출소,장안1파출소,서울특별시,동대문구,한천로20길 9,서울특별시 동대문구 한천로20길 9
장안2,파출소,장안2파출소,서울특별시,동대문구,답십리로 69길 100,서울특별시 동대문구 답십리로 69길 100
이문,지구대,이문지구대,서울특별시,동대문구,한천로 402,서울특별시 동대문구 한천로 402
휘경,파출소,휘경파출소,서울특별시,동대문구,한천로 266,서울특별시 동대문구 한천로 266
회기,파출소,회기파출소,서울특별시,동대문구,회기로18길 2,서울특별시 동대문구 회기로18길 2
서강,지구대,서강지구대,서울특별시,마포구,"독막로22길 8(창전동, 서강지구대)","서울특별시 마포구 독막로22길 8(창전동, 서강지구대)"
공덕,지구대,공덕지구대,서울특별시,마포구,마포대로 195-1,서울특별시 마포구 마포대로 195-1
월드컵,지구대,월드컵지구대,서울특별시,마포구,월드컵북로 30길 24,서울특별시 마포구 월드컵북로 30길 24
홍익,지구대,홍익지구대,서울특별시,마포구,양화로11길 63,서울특별시 마포구 양화로11길 63
용강,지구대,용강지구대,서울특별시,마포구,토정로31길 35,서울특별시 마포구 토정로31길 35
상암,파출소,상암파출소,서울특별시,마포구,매봉산로 76,서울특별시 마포구 매봉산로 76
망원,파출소,망원파출소,서울특별시,마포구,망원로2길 63,서울특별시 마포구 망원로2길 63
연남,파출소,연남파출소,서울특별시,마포구,연남로 4,서울특별시 마포구 연남로 4
중앙,지구대,중앙지구대,서울특별시,영등포구,영등포로46길 14,서울특별시 영등포구 영등포로46길 14
여의도,지구대,여의도지구대,서울특별시,영등포구,여의공원로 120 여의도지구대,서울특별시 영등포구 여의공원로 120 여의도지구대
문래,지구대,문래지구대,서울특별시,영등포구,경인로 759,서울특별시 영등포구 경인로 759
신풍,지구대,신풍지구대,서울특별시,영등포구,대방천로 195(신길동 3741-23),서울특별시 영등포구 대방천로 195(신길동 3741-23)
신길,지구대,신길지구대,서울특별시,영등포구,노량진로 11,서울특별시 영등포구 노량진로 11
양평,파출소,양평파출소,서울특별시,영등포구,선유로 95,서울특별시 영등포구 선유로 95
당산,지구대,당산지구대,서울특별시,영등포구,당산로 221,서울특별시 영등포구 당산로 221
대림,지구대,대림지구대,서울특별시,영등포구,대림로23길 16-1,서울특별시 영등포구 대림로23길 16-1
대림3,파출소,대림3파출소,서울특별시,영등포구,가마산로 334,서울특별시 영등포구 가마산로 334
영등포역,파출소,영등포역파출소,서울특별시,영등포구,영신로20길 11,서울특별시 영등포구 영신로20길 11
한양,지구대,한양지구대,서울특별시,성동구,사근동길 5,서울특별시 성동구 사근동길 5
성수,지구대,성수지구대,서울특별시,성동구,광나루로2길 35 성수지구대,서울특별시 성동구 광나루로2길 35 성수지구대
서울숲,지구대,서울숲지구대,서울특별시,성동구,성덕정길 77-2,서울특별시 성동구 성덕정길 77-2
왕십리,파출소,왕십리파출소,서울특별시,성동구,마장로 205,서울특별시 성동구 마장로 205
행당,파출소,행당파출소,서울특별시,성동구,행당로 89,서울특별시 성동구 행당로 89
옥수,파출소,옥수파출소,서울특별시,성동구,독서당로 211,서울특별시 성동구 독서당로 211
금호,파출소,금호파출소,서울특별시,성동구,금호로11길 2-1,서울특별시 성동구 금호로11길 2-1
응봉,파출소,응봉파출소,서울특별시,성동구,독서당로 373 응봉파출소,서울특별시 성동구 독서당로 373 응봉파출소
용답,파출소,용답파출소,서울특별시,성동구,용답중앙길 49 용답파출소,서울특별시 성동구 용답중앙길 49 용답파출소
사당,지구대,사당지구대,서울특별시,동작구,동작대로9길 35,서울특별시 동작구 동작대로9길 35
노량진,지구대,노량진지구대,서울특별시,동작구,등용로12나길 2,서울특별시 동작구 등용로12나길 2
상도,지구대,상도지구대,서울특별시,동작구,등용로 24,서울특별시 동작구 등용로 24
남성,지구대,남성지구대,서울특별시,동작구,사당로17나길 4,서울특별시 동작구 사당로17나길 4
흑석,지구대,흑석지구대,서울특별시,동작구,흑석로13길 13,서울특별시 동작구 흑석로13길 13
신대방,지구대,신대방지구대,서울특별시,동작구,신대방1다길 24,서울특별시 동작구 신대방1다길 24
대방,파출소,대방파출소,서울특별시,동작구,여의대방로 130,서울특별시 동작구 여의대방로 130
광나루,지구대,광나루지구대,서울특별시,광진구,아차산로 567,서울특별시 광진구 아차산로 567
화양,지구대,화양지구대,서울특별시,광진구,능동로17길 39 화양지구대,서울특별시 광진구 능동로17길 39 화양지구대
중곡1,파출소,중곡1파출소,서울특별시,광진구,능동로 385,서울특별시 광진구 능동로 385
중곡2,파출소,중곡2파출소,서울특별시,광진구,능동로 346,서울특별시 광진구 능동로 346
중곡3,파출소,중곡3파출소,서울특별시,광진구,동일로76가길 28,서울특별시 광진구 동일로76가길 28
중곡4,파출소,중곡4파출소,서울특별시,광진구,용마산로24길 7,서울특별시 광진구 용마산로24길 7
자양,파출소,자양파출소,서울특별시,광진구,뚝섬로36길 9,서울특별시 광진구 뚝섬로36길 9
자양1,파출소,자양1파출소,서울특별시,광진구,자양번영로 80,서울특별시 광진구 자양번영로 80
자양4,파출소,자양4파출소,서울특별시,광진구,뚝섬로22가길 43번지 자양4파출소,서울특별시 광진구 뚝섬로22가길 43번지 자양4파출소
구의,파출소,구의파출소,서울특별시,광진구,광나루로 43길 26 구의파출소,서울특별시 광진구 광나루로 43길 26 구의파출소
응암,지구대,응암지구대,서울특별시,은평구,은평로 171,서울특별시 은평구 은평로 171
신사,지구대,신사지구대,서울특별시,은평구,은평터널로5길 6호,서울특별시 은평구 은평터널로5길 6호
녹번,파출소,녹번파출소,서울특별시,은평구,진흥로 진흥로200,서울특별시 은평구 진흥로 진흥로200
응암3,파출소,응암3파출소,서울특별시,은평구,응암로 208,서울특별시 은평구 응암로 208
역촌,파출소,역촌파출소,서울특별시,은평구,연서로 61,서울특별시 은평구 연서로 61
미아,지구대,미아지구대,서울특별시,강북구,도봉로 127,서울특별시 강북구 도봉로 127
솔샘,지구대,솔샘지구대,서울특별시,강북구,오현로 4,서울특별시 강북구 오현로 4
수유1,파출소,수유1파출소,서울특별시,강북구,삼양로 305,서울특별시 강북구 삼양로 305
수유2,파출소,수유2파출소,서울특별시,강북구,삼각산로 115,서울특별시 강북구 삼각산로 115
수유3,파출소,수유3파출소,서울특별시,강북구,한천로150길 76,서울특별시 강북구 한천로150길 76
인수,파출소,인수파출소,서울특별시,강북구,인수봉로 227,서울특별시 강북구 인수봉로 227
번동,파출소,번동파출소,서울특별시,강북구,한천로 969,서울특별시 강북구 한천로 969
번3,파출소,번3파출소,서울특별시,강북구,월계로 227,서울특별시 강북구 월계로 227
삼양,파출소,삼양파출소,서울특별시,강북구,삼양로 239-1,서울특별시 강북구 삼양로 239-1
금천,파출소,금천파출소,서울특별시,금천구,시흥대로57길 45,서울특별시 금천구 시흥대로57길 45
문성,지구대,문성지구대,서울특별시,금천구,독산로 76길 20,서울특별시 금천구 독산로 76길 20
백산,지구대,백산지구대,서울특별시,금천구,탑골로2길 37 백산지구대,서울특별시 금천구 탑골로2길 37 백산지구대
가산,파출소,가산파출소,서울특별시,금천구,벚꽃로56길 174,서울특별시 금천구 벚꽃로56길 174
독산,파출소,독산파출소,서울특별시,금천구,벚꽃로10길 89,서울특별시 금천구 벚꽃로10길 89
망우,지구대,망우지구대,서울특별시,중랑구,망우로 391,서울특별시 중랑구 망우로 391
중화,지구대,중화지구대,서울특별시,중랑구,중랑천로 146,서울특별시 중랑구 중랑천로 146
용마,지구대,용마지구대,서울특별시,중랑구,동일로 566,서울특별시 중랑구 동일로 566
봉화,지구대,봉화지구대,서울특별시,중랑구,신내로 177,서울특별시 중랑구 신내로 177
면목본동,파출소,면목본동파출소,서울특별시,중랑구,상봉로 27,서울특별시 중랑구 상봉로 27
면목삼팔,파출소,면목삼팔파출소,서울특별시,중랑구,사가정로41길 45 (면목3.8파출소),서울특별시 중랑구 사가정로41길 45 (면목3.8파출소)
상봉,파출소,상봉파출소,서울특별시,중랑구,중랑천로 69 상봉파출소,서울특별시 중랑구 중랑천로 69 상봉파출소
먹골,파출소,먹골파출소,서울특별시,중랑구,숙선옹주로7길 1,서울특별시 중랑구 숙선옹주로7길 1
역삼,지구대,역삼지구대,서울특별시,강남구,언주로108길 20,서울특별시 강남구 언주로108길 20
논현1,파출소,논현1파출소,서울특별시,강남구,학동로 169,서울특별시 강남구 학동로 169
논현2,파출소,논현2파출소,서울특별시,강남구,학동로 227,서울특별시 강남구 학동로 227
삼성1,파출소,삼성1파출소,서울특별시,강남구,영동대로112길 4,서울특별시 강남구 영동대로112길 4
삼성2,파출소,삼성2파출소,서울특별시,강남구,선릉로 626,서울특별시 강남구 선릉로 626
청담,파출소,청담파출소,서울특별시,강남구,학동로95길 19,서울특별시 강남구 학동로95길 19
신사,파출소,신사파출소,서울특별시,강남구,도산대로 143,서울특별시 강남구 도산대로 143
압구정,파출소,압구정파출소,서울특별시,강남구,압구정로 311,서울특별시 강남구 압구정로 311
당곡,지구대,당곡지구대,서울특별시,관악구,남부순환로191길 12 당곡지구대,서울특별시 관악구 남부순환로191길 12 당곡지구대
낙성대,지구대,낙성대지구대,서울특별시,관악구,"봉천로 540, 낙성대지구대","서울특별시 관악구 봉천로 540, 낙성대지구대"
신림,지구대,신림지구대,서울특별시,관악구,남부순환로188길 12 신림지구대,서울특별시 관악구 남부순환로188길 12 신림지구대
관악산,지구대,관악산지구대,서울특별시,관악구,신림로 178 관악산지구대,서울특별시 관악구 신림로 178 관악산지구대
구암,지구대,구암지구대,서울특별시,관악구,은천로 93,서울특별시 관악구 은천로 93
남현,파출소,남현파출소,서울특별시,관악구,남현1가길 29 남현파출소,서울특별시 관악구 남현1가길 29 남현파출소
난우,파출소,난우파출소,서울특별시,관악구,난곡로64 난우파출소,서울특별시 관악구 난곡로64 난우파출소
미성,파출소,미성파출소,서울특별시,관악구,난곡로64가길 31,서울특별시 관악구 난곡로64가길 31
신사,지구대,신사지구대,서울특별시,관악구,신사로 106,서울특별시 관악구 신사로 106
화곡,지구대,화곡지구대,서울특별시,강서구,화곡로 308,서울특별시 강서구 화곡로 308
공항,지구대,공항지구대,서울특별시,강서구,방화동로 5,서울특별시 강서구 방화동로 5
까치산,지구대,까치산지구대,서울특별시,강서구,강서로7길 39,서울특별시 강서구 강서로7길 39
가양,지구대,가양지구대,서울특별시,강서구,화곡로65길 63,서울특별시 강서구 화곡로65길 63
곰달래,지구대,곰달래지구대,서울특별시,양천구,가로공원로 168(임시청사),서울특별시 양천구 가로공원로 168(임시청사)
방화3,파출소,방화3파출소,서울특별시,강서구,금낭화로26길 16,서울특별시 강서구 금낭화로26길 16
염창,지구대,염창지구대,서울특별시,강서구,공항대로59다길 80,서울특별시 강서구 공항대로59다길 80
등촌2,파출소,등촌2파출소,서울특별시,강서구,등촌로 167,서울특별시 강서구 등촌로 167
발산,지구대,발산지구대,서울특별시,강서구,수명로2길 46,서울특별시 강서구 수명로2길 46
화곡3,파출소,화곡3파출소,서울특별시,강서구,강서로45다길 71,서울특별시 강서구 강서로45다길 71
마곡,지구대,마곡지구대,서울특별시,강서구,마곡중앙5로 32,서울특별시 강서구 마곡중앙5로 32
천호,지구대,천호지구대,서울특별시,강동구,"구천면로 141, 천호지구대","서울특별시 강동구 구천면로 141, 천호지구대"
길동,지구대,길동지구대,서울특별시,강동구,양재대로96길 35,서울특별시 강동구 양재대로96길 35
성내,지구대,성내지구대,서울특별시,강동구,성내로 57 성내지구대,서울특별시 강동구 성내로 57 성내지구대
암사,지구대,암사지구대,서울특별시,강동구,고덕로 137 암사지구대,서울특별시 강동구 고덕로 137 암사지구대
둔촌,파출소,둔촌파출소,서울특별시,강동구,진황도로 239 둔촌파출소,서울특별시 강동구 진황도로 239 둔촌파출소
명일,파출소,명일파출소,서울특별시,강동구,동남로 895 명일파출소,서울특별시 강동구 동남로 895 명일파출소
강일,파출소,강일파출소,서울특별시,강동구,아리수로91길 20,서울특별시 강동구 아리수로91길 20
고덕,파출소,고덕파출소,서울특별시,강동구,고덕로 61길61,서울특별시 강동구 고덕로 61길61
상일,파출소,상일파출소,서울특별시,강동구,고덕로 80길 7,서울특별시 강동구 고덕로 80길 7
석관,파출소,석관파출소,서울특별시,성북구,화랑로32가길 20 석관파출소,서울특별시 성북구 화랑로32가길 20 석관파출소
장위,지구대,장위지구대,서울특별시,성북구,장월로174 장위지구대,서울특별시 성북구 장월로174 장위지구대
