School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
대전생활과학고등학교,고등학교,대전광역시,대덕구,오정동,225-7,36.3498313,127.4230626
서석고등학교,고등학교,강원특별자치도,홍천군,서석면,풍암리 269-1 번지,37.70937582,128.1897158
대구보건고등학교,고등학교,대구광역시,달서구,두류동,1207-1,35.85810993,128.5726243
대전대성고등학교,고등학교,대전광역시,중구,목동,95-1,36.331971,127.4070779
범박고등학교,고등학교,경기도,부천시,소사구,범박동 113-70,37.46768281,126.811738
선정국제관광고등학교,고등학교,서울특별시,은평구,갈현동,227-5,37.61870451,126.9090316
화성반월고등학교,고등학교,경기도,화성시,반월동,945,37.224712,127.0550943
대구상원고등학교,고등학교,대구광역시,달서구,상인동,1,35.82168481,128.5394052
계남고등학교,고등학교,경기도,부천시,원미구,중동 1185-1,37.49619693,126.7726105
김포외국어고등학교,고등학교,경기도,김포시,월곶면,갈산리 465-33,37.7012131,126.567517
한국치즈과학고등학교,고등학교,전북특별자치도,임실군,강진면,갈담리 333,35.53327378,127.164754
고성중앙고등학교,고등학교,경상남도,고성군,고성읍,수남리 524,34.96643696,128.3200109
청송여자고등학교,고등학교,경상북도,청송군,청송읍,월막리 315,36.43586526,129.058736
대구고등학교,고등학교,대구광역시,남구,대명동,187,35.84910923,128.588795
원주삼육고등학교,고등학교,강원특별자치도,원주시,무실동,산139 번지,37.3260422,127.9227366
울산생활과학고등학교,고등학교,울산광역시,동구,화정동,300,35.50423681,129.4210107
포항제철고등학교,고등학교,경상북도,포항시,남구,지곡동 477,36.02845443,129.3281483
청심국제고등학교,고등학교,경기도,가평군,설악면,송산리 8-4,37.6870224,127.5405562
대전중앙고등학교,고등학교,대전광역시,중구,중촌동,14-1,36.33842277,127.4147891
호서고등학교,고등학교,충청남도,당진시,원당동,918-6,36.89972495,126.639123
학산고등학교,고등학교,충청북도,영동군,학산면,서산리 902,36.10090506,127.6820366
상모고등학교,고등학교,경상북도,구미시,상모동,447-1,36.08449575,128.351716
전북제일고등학교,고등학교,전북특별자치도,익산시,평화동,169,35.93424298,126.9418576
창원용호고등학교,고등학교,경상남도,창원시,의창구,용호동 68-2,35.23322478,128.6767571
서울의료보건고등학교,고등학교,서울특별시,중구,중림동,324-14,37.55729809,126.966773
울산여자상업고등학교,고등학교,울산광역시,남구,신정동,787,35.52903416,129.3098873
동천고등학교,고등학교,부산광역시,남구,대연동,1572,35.14433722,129.0868043
정화여자고등학교,고등학교,대구광역시,수성구,범어동,산105-1,35.84940778,128.6418878
원덕고등학교,고등학교,강원특별자치도,삼척시,원덕읍,호산리 370 번지,37.17859678,129.3315382
충남예술고등학교,고등학교,충청남도,천안시,서북구,성거읍 천흥리 498-3,36.86844127,127.204377
쌘뽈여자고등학교,고등학교,충청남도,논산시,부창동,1,36.200474,127.0854946
하성고등학교,고등학교,경기도,김포시,하성면,마곡리 640-1,37.71800637,126.628412
제주외국어고등학교,고등학교,제주특별자치도,제주시,애월읍,고성리 94,33.43397575,126.4259791
한서고등학교,고등학교,서울특별시,강서구,방화동,478-34,37.5747927,126.8081439
안양공업고등학교,고등학교,경기도,안양시,만안구,안양동 881-3,37.39956392,126.914329
명지고등학교,고등학교,서울특별시,서대문구,홍은동,361-30,37.58491135,126.9270902
창원과학고등학교,고등학교,경상남도,창원시,의창구,서상동 697,35.2567644,128.6198339
덕정고등학교,고등학교,경기도,양주시,고암동,121-1,37.83754226,127.071727
상일미디어고등학교,고등학교,서울특별시,강동구,상일동,189,37.54858748,127.1708235
세종예술고등학교,고등학교,세종특별자치시,연기면,세종리,551-2,36.49034261,127.269259
상산고등학교,고등학교,전북특별자치도,전주시,완산구,효자동1가 260,35.80508487,127.1197274
울산미용예술고등학교,고등학교,울산광역시,울주군,웅촌면,곡천리 408,35.465558,129.2047008
거제옥포고등학교,고등학교,경상남도,거제시,옥포동,1254-1,34.90540807,128.685988
대전체육고등학교,고등학교,대전광역시,유성구,원신흥동,530-1,36.33651309,127.3406536
창원대산고등학교,고등학교,경상남도,창원시,의창구,대산면 제동리 280-1,35.33334459,128.7103474
숙명여자고등학교,고등학교,서울특별시,강남구,도곡동,91,37.49147536,127.0526126
명덕고등학교,고등학교,서울특별시,강서구,내발산동,169-1,37.553907,126.8342915
숭의과학기술고등학교,고등학교,광주광역시,남구,방림동,50-3,35.12743476,126.9231472
경성전자고등학교,고등학교,부산광역시,서구,서대신동3가,184-4,35.11658597,129.0124449
선일빅데이터고등학교,고등학교,서울특별시,은평구,갈현동,240-1,37.620337,126.9119931
계성고등학교,고등학교,서울특별시,성북구,길음동,1284-15,37.6074936,127.0201836
금곡고등학교,고등학교,부산광역시,북구,금곡동,1892,35.244353,129.0119466
신진과학기술고등학교,고등학교,서울특별시,은평구,응암동,114-1,37.59871385,126.9188364
한림공업고등학교,고등학교,제주특별자치도,제주시,한림읍,한림리 871,33.40652604,126.2699123
청주여자고등학교,고등학교,충청북도,청주시,청원구,율량동 534,36.66774008,127.489702
건양대학교병설건양고등학교,고등학교,충청남도,논산시,양촌면,남산리 564,36.14155764,127.2343403
동두천중앙고등학교,고등학교,경기도,동두천시,지행동,340-2,37.89165104,127.0581024
창원명곡고등학교,고등학교,경상남도,창원시,의창구,명곡동 24-5,35.25456647,128.6488225
이화여자대학교병설미디어고등학교,고등학교,서울특별시,중랑구,망우동,220,37.6031324,127.1053324
부산대학교사범대학부설고등학교,고등학교,부산광역시,금정구,부곡동,351-1,35.23281825,129.0956533
대정여자고등학교,고등학교,제주특별자치도,서귀포시,대정읍,하모리 1363,33.22918877,126.2533142
밀성고등학교,고등학교,경상남도,밀양시,내이동,602-7,35.50154853,128.7509238
안남고등학교,고등학교,인천광역시,계양구,작전동,392-10,37.52503666,126.7271275
아산고등학교,고등학교,충청남도,아산시,온천동,30-3,36.78906056,127.0046035
선명여자고등학교,고등학교,경상남도,진주시,평거동,695-7,35.16415402,128.0420882
데레사여자고등학교,고등학교,부산광역시,동구,범일동,1376,35.13744208,129.0550458
서울금융고등학교,고등학교,서울특별시,양천구,신월동,43-8,37.5376165,126.8256209
김제농생명마이스터고등학교,고등학교,전북특별자치도,김제시,신풍동,499-1,35.79232044,126.8904613
강릉고등학교,고등학교,강원특별자치도,강릉시,초당동,57-2 번지,37.78891804,128.9159872
세현고등학교,고등학교,서울특별시,강서구,가양동,1491,37.56043066,126.8636211
문막고등학교,고등학교,강원특별자치도,원주시,문막읍,문막리 237,37.305216,127.8147585
약사고등학교,고등학교,울산광역시,중구,약사동,893,35.57354536,129.3359984
정광고등학교,고등학교,광주광역시,광산구,소촌동,815,35.15514287,126.7960286
제주대학교사범대학부설고등학교,고등학교,제주특별자치도,제주시,용담삼동,581,33.513785,126.5102401
세광고등학교,고등학교,충청북도,청주시,서원구,성화동 360-1,36.6032833,127.4529213
인천초은고등학교,고등학교,인천광역시,서구,청라동,193-2,37.52929109,126.657114
청원고등학교,고등학교,충청북도,청주시,청원구,오창읍 구룡리 376-3,36.71412973,127.4150059
온양여자고등학교,고등학교,충청남도,아산시,풍기동,214-25,36.77844834,127.0135701
속초고등학교,고등학교,강원특별자치도,속초시,장사동,460 번지,38.22494068,128.5842853
신성여자고등학교,고등학교,제주특별자치도,제주시,영평동,2459-2,33.47698922,126.5640675
경기예술고등학교,고등학교,경기도,부천시,원미구,중동 1031,37.50575359,126.761362
남산고등학교,고등학교,부산광역시,금정구,남산동,982,35.26808358,129.0859013
신송고등학교,고등학교,인천광역시,연수구,송도동,2-11,37.3920074,126.6596644
성덕고등학교,고등학교,서울특별시,강동구,천호동,23-3,37.54996367,127.1419039
광양고등학교,고등학교,서울특별시,광진구,자양동,668,37.52937892,127.0851823
대덕여자고등학교,고등학교,부산광역시,사상구,덕포동,산8-41,35.17944488,128.9933857
소담고등학교,고등학교,세종특별자치시,소담동,9-149,,36.482211,127.30282
서도고등학교,고등학교,인천광역시,강화군,서도면,주문도리 53,37.64803766,126.2524746
합천여자고등학교,고등학교,경상남도,합천군,합천읍,합천리 972,35.56353322,128.1545726
동탄중앙고등학교,고등학교,경기도,화성시,청계동,531,37.20125793,127.110424
전주제일고등학교,고등학교,전북특별자치도,전주시,완산구,남노송동 180-1,35.82095883,127.1580639
율면고등학교,고등학교,경기도,이천시,율면,고당리 545,37.08769127,127.5425144
군자디지털과학고등학교,고등학교,경기도,시흥시,거모동,1418-2,37.35053779,126.7860428
경산여자고등학교,고등학교,경상북도,경산시,옥곡동,7,35.8177642,128.7299454
대일관광고등학교,고등학교,서울특별시,양천구,신정동,1318-3,37.51141377,126.8349067
둔촌고등학교,고등학교,서울특별시,강동구,둔촌동,79-3,37.53143258,127.1438087
태인고등학교,고등학교,전북특별자치도,정읍시,태인면,태성리 627-5,35.652648,126.9389432
온양고등학교,고등학교,충청남도,아산시,실옥동,183-18,36.78370153,126.9951754
광문고등학교,고등학교,서울특별시,강동구,고덕동,295,37.56046181,127.1585463
세종장영실고등학교,고등학교,세종특별자치시,금남면,호탄리,53-4,36.47763276,127.299462
대전반석고등학교,고등학교,대전광역시,유성구,지족동,993,36.38691878,127.3135242
녹동고등학교,고등학교,전라남도,고흥군,도양읍,용정리 1318,34.53882429,127.1421118
전주여자고등학교,고등학교,전북특별자치도,전주시,덕진구,인후동2가 35-1,35.83662729,127.145885
성수고등학교,고등학교,서울특별시,성동구,성수동1가,685-143,37.54734181,127.0382534
천안오성고등학교,고등학교,충청남도,천안시,서북구,성성동 1-4,36.841527,127.142135
속초여자고등학교,고등학교,강원특별자치도,속초시,교동,802-1 번지,38.19910408,128.5679325
일동고등학교,고등학교,경기도,포천시,일동면,기산리 96-59,37.96063289,127.3144197
