County,City,Town,Address,Park_Name,Park_Type,Latitude,Longitude
경기도,양평군,용문면,광탄리 711,광탄2호 소공원,소공원,37.509628,127.628406
경기도,양평군,용문면,광탄리 762,광탄3호 소공원,소공원,37.508443,127.627414
경기도,양평군,양평읍,공흥리 885-1,공흥 소공원,소공원,37.493844,127.5093259
경기도,양평군,강하면,운심리 43-25,한강아트로드 공원,소공원,37.496021,127.4082162
경기도,양평군,강하면,운심리 28-1,강하 소공원,소공원,37.496164,127.4123259
경기도,양평군,양평읍,오빈리 96-40,오빈12호 소공원,소공원,37.505413,127.476939
경기도,양평군,양평읍,오빈리 88-47,오빈13호 소공원,소공원,37.506925,127.479025
경기도,양평군,양평읍,오빈리 88-46,오빈14호 소공원,소공원,37.507148,127.479103
경기도,양평군,양평읍,오빈리 81-32,오빈15호 소공원,소공원,37.50698641,127.4796766
경기도,양평군,양평읍,양근리 53-2,양근소공원(17호),소공원,37.49946708,127.4921815
경기도,양평군,강상면,병산리 138,병산1호 소공원,소공원,37.49067302,127.4739159
경기도,양평군,강상면,병산리 142-35,병산2호 소공원,소공원,37.49108254,127.4753493
경기도,양평군,강상면,병산리 40,병산3호 소공원,소공원,37.48961623,127.4791688
경기도,양평군,강상면,병산리 1205-1,병산4호 소공원,소공원,37.4885532,127.4791562
경기도,양평군,양평읍,양근리 739,양근소공원(19호),소공원,37.49280474,127.4894425
경기도,양평군,양서면,신원리 471-5,양서 소공원 7,소공원,37.52498145,127.3720793
경기도,양평군,양평읍,공흥리 456-25,공흥 양근공원,소공원,37.4877417,127.4986762
경기도,평택시,비전동,981공,2호 어린이공원(여염리),어린이공원,37.006453,127.101332
경기도,남양주시,진접읍,금곡리 970,진접2호도담공원,어린이공원,37.7192162,127.1915425
경기도,남양주시,진접읍,금곡리 985,진접6호한빛공원,어린이공원,37.7221182,127.2017407
경기도,남양주시,진접읍,금곡리 1084,진접1호해밀공원,어린이공원,37.71199895,127.1895491
경기도,남양주시,진접읍,장현리 710-2,장현3어린이공원,어린이공원,37.726114,127.1937654
경기도,남양주시,진접읍,장현리 710-6,장현3어린이공원,어린이공원,37.7232914,127.1927287
경기도,남양주시,다산동,3720-2,힐스테이트황금산 APT 소공원,소공원,37.6074695,127.1663634
경기도,남양주시,오남읍,양지리 807-5,양지어린이공원,어린이공원,37.6987771,127.1989011
경기도,남양주시,와부읍,덕소리 110-2,덕소4호공원,어린이공원,37.5859681,127.2166206
경기도,남양주시,오남읍,오남리 891-5,오남1지구 오남아이파크어린이공원,어린이공원,37.6966072,127.2012855
충청남도,당진시,읍내동,507-12,공원:103(당진:03 승리봉공원),근린공원,36.895543,126.627703
충청남도,당진시,채운동,357-21,공원:104(당진:04 채운공원),근린공원,36.890644,126.619224
충청남도,당진시,읍내동,234-33,공원:107(당진:06 남산공원),근린공원,36.894382,126.634567
충청남도,당진시,읍내동,560-2,공원:109(당진:8 서문공원),소공원,36.893201,126.627137
충청남도,당진시,읍내동,177-1,공원:110(당진:09 새싹공원),어린이공원,36.890234,126.635389
충청남도,당진시,채운동,278-4,공원:111(당진:10 은하공원),어린이공원,36.894686,126.622673
경기도,평택시,비전동,1075공,29호 어린이공원(서정동),어린이공원,37.002226,127.107017
경기도,평택시,비전동,1004-1공,2호 어린이공원(동삭 세교지구),어린이공원,37.003243,127.096344
경기도,평택시,비전동,1016공,2호 물빛2 수변공원(소사벌택지 이곡수변),수변공원,37.003573,127.103911
경기도,평택시,죽백동,737-2공,3호 소리 수변공원(소사벌택지),수변공원,37.007098,127.111214
경기도,평택시,비전동,1032공,4호 소리 수변공원(소사벌택지),수변공원,37.004339,127.107357
경기도,평택시,비전동,1069공,5호 물빛3 수변공원(소사벌택지 이곡수변),수변공원,37.00246,127.107881
경기도,평택시,비전동,1065 1093 1099,6호 물빛4 수변공원(소사벌택지 이곡수변),수변공원,37.001798,127.111412
경기도,평택시,비전동,966 966-1~6,7호 너울 수변공원(소사벌택지),수변공원,37.003257,127.090635
경기도,평택시,군문동,201-1,군문 수변공원,수변공원,36.982112,127.091679
경기도,평택시,동삭동,12-1,상서재 1호 수변공원(동삭2지구),수변공원,37.015396,127.104691
경기도,평택시,동삭동,186-1,11호 어린이공원(서정동),어린이공원,37.006472,127.093243
경기도,평택시,세교동,산3-8,14호 어린이공원(고덕국제화지구  두릉리),어린이공원,37.011591,127.091001
경기도,평택시,세교동,26,17호 어린이공원(고덕국제화지구 좌교리),어린이공원,37.004107,127.089859
경기도,평택시,세교동,288-1,18호 어린이공원(고덕국제화지구 해창리),어린이공원,37.008211,127.08741
경기도,평택시,세교동,37-3,19호 어린이공원(고덕국제화지구),어린이공원,37.006081,127.087364
경기도,평택시,평택동,38,1호 어린이공원(동삭 세교지구),어린이공원,36.993417,127.087884
경기도,평택시,군문동,360-3,1호 어린이공원(포승지구 BIX),어린이공원,36.987728,127.084538
경기도,평택시,동삭동,546,1호 어린이공원(화양지구),어린이공원,37.020321,127.081163
경기도,평택시,세교동,559-2,20호 어린이공원(고덕국제화지구  해창리),어린이공원,37.000296,127.083343
경기도,평택시,지제동,산7-7임,23호 현덕 어린이공원(인광2지구),어린이공원,37.022168,127.077426
경기도,평택시,비전동,927,25호 어린이공원(여염리),어린이공원,36.995114,127.109641
경기도,평택시,용이동,690,26호 어린이공원(서정동),어린이공원,36.993175,127.124286
경기도,평택시,죽백동,816-4공,27호 어린이공원(율포리),어린이공원,37.002339,127.124685
경기도,평택시,세교동,408-2전,28호 어린이공원(서정동),어린이공원,37.013263,127.075078
경기도,오산시,내삼미동,862,수청제3어린이공원,어린이공원,37.1743043159,127.0584887935
서울특별시,영등포구,대림동,752-60,산성어린이공원,어린이공원,37.49697742,126.902594
서울특별시,영등포구,대림동,703-6,다사랑어린이공원,어린이공원,37.492834,126.899215
서울특별시,영등포구,도림동,23-1,고추말어린이공원,어린이공원,37.511577,126.9070507
서울특별시,영등포구,대림동,870,대림어린이공원,어린이공원,37.491332,126.903016
서울특별시,영등포구,영등포동8가,28,서강어린이공원,어린이공원,37.5259219,126.905848
서울특별시,영등포구,대림동,690,원지어린이공원,어린이공원,37.497618,126.899642
서울특별시,영등포구,대림동,742,동심어린이공원,어린이공원,37.498712,126.897293
서울특별시,영등포구,대림동,715,두암어린이공원,어린이공원,37.49551276,126.897371
서울특별시,영등포구,대림동,657,신우어린이공원,어린이공원,37.503539,126.899081
서울특별시,영등포구,양평동,153-2,양화폭포근린공원,근린공원,37.53904364,126.8985934
서울특별시,영등포구,영등포동,582-3,영등포근린공원,근린공원,37.516127,126.912126
서울특별시,영등포구,양평동4가,301-7,양평어린이공원,어린이공원,37.538015,126.898077
서울특별시,영등포구,영등포동,647-3,영일어린이공원,어린이공원,37.51015183,126.903919
서울특별시,영등포구,영등포동2가,222,중마루근린공원,근린공원,37.519919,126.911497
서울특별시,영등포구,신길동,4937-1,꿈에그린어린이공원,어린이공원,37.50300166,126.9088394
서울특별시,영등포구,문래동6가,25-1,문래소공원,소공원,37.5197992,126.8869024
서울특별시,영등포구,문래동4가,67-1,인스빌1 소공원,소공원,37.514461,126.888327
서울특별시,영등포구,문래동4가,68-1,인스빌2 소공원,소공원,37.513622,126.890546
서울특별시,영등포구,당산동5가,4-23,꽃담 소공원,소공원,37.53120144,126.900161
서울특별시,영등포구,신길동,4955-3,(가칭)신길14재정비촉진구역 소공원,소공원,37.504367,126.9060219613
서울특별시,영등포구,당산동5가,9-29,당산역 소공원,소공원,37.533517,126.900642
서울특별시,영등포구,대림1동,1124-3,파밀리에 소공원,소공원,37.495012,126.903451
서울특별시,영등포구,도림동,821-3,도리미 소공원,소공원,37.509476,126.9021917
경기도,남양주시,진접읍,금곡리 1092,진접3호늘찬공원,어린이공원,37.71490907,127.1962489
대구광역시,달서구,성당동,701-5,원화어린이공원,어린이공원,35.84625957,128.5464382
대구광역시,달서구,유천동,596,한남어린이공원,어린이공원,35.81472524,128.5166123
대구광역시,달서구,대곡동,731-2,윗한실1어린이공원,어린이공원,35.79399019,128.5303084
대구광역시,달서구,상인동,1549,유림어린이공원,어린이공원,35.81378224,128.5490458
대구광역시,달서구,호산동,357,은하수어린이공원,어린이공원,35.85102891,128.4870951
대구광역시,달서구,상인동,1589,은행어린이공원,어린이공원,35.80671996,128.5513375
대구광역시,달서구,이곡동,1304-2,이곡어린이공원,어린이공원,35.85568796,128.5121997
대구광역시,달서구,송현동,1993-2,장관어린이공원,어린이공원,35.82895733,128.5572124
대구광역시,달서구,진천동,780-1,장미어린이공원,어린이공원,35.81119451,128.5186156
대구광역시,달서구,상인동,1592-3,장미어린이공원,어린이공원,35.80737863,128.5559509
대구광역시,달서구,용산동,940-7,장산어린이공원,어린이공원,35.85662968,128.5251077
대구광역시,달서구,신당동,1801,점터어린이공원,어린이공원,35.85425569,128.493869
대구광역시,달서구,죽전동,203-2,죽전어린이공원,어린이공원,35.85649116,128.539629
대구광역시,달서구,진천동,832-3,진달래어린이공원,어린이공원,35.81091596,128.5318237
대구광역시,달서구,진천동,223-31,오복어린이공원,어린이공원,35.81404107,128.5293488
대구광역시,달서구,월성동,270,창공어린이공원,어린이공원,35.83192291,128.5331421
대구광역시,달서구,상인동,1581,채정어린이공원,어린이공원,35.80967377,128.5500446
대구광역시,달서구,신당동,1846-2,청록공원,어린이공원,35.85457293,128.4963841
대구광역시,달서구,장기동,813-2,초록어린이공원,어린이공원,35.84486322,128.5300611
대구광역시,달서구,죽전동,376-4,춘추어린이공원,어린이공원,35.8551821,128.5360883
대구광역시,달서구,송현동,1966-5,치영어린이공원,어린이공원,35.82446957,128.5527652
대구광역시,달서구,용산동,922-1,큰못공원,어린이공원,35.86013786,128.5263361
대구광역시,달서구,상인동,1501-1,태양어린이공원,어린이공원,35.81833131,128.5407924
대구광역시,달서구,송현동,147,토끼와거북이어린이공원,어린이공원,35.83299096,128.5520654
충청북도,진천군,덕산읍,두촌리 2595,너나들이공원,어린이공원,36.90260454,127.5394716
충청북도,진천군,덕산읍,두촌리 2501,하람공원,어린이공원,36.90296087,127.5265635
충청북도,진천군,덕산읍,두촌리 2719,양지공원,어린이공원,36.90238265,127.5286282
충청북도,진천군,덕산읍,두촌리 2770,늘해랑공원,어린이공원,36.89929281,127.5352141
대구광역시,달서구,호산동,357-60,호산근린공원,근린공원,35.84898659,128.4839363
대구광역시,달서구,대곡동,1049,진남소공원,소공원,35.80701878,128.5240282
대구광역시,달서구,대곡동,1111,송정소공원,소공원,35.79537922,128.5284122
대구광역시,달서구,대곡동,1136,갈밭소공원,소공원,35.79986307,128.5341962
대구광역시,달서구,도원동,1451-4,도원소공원,소공원,35.80628301,128.5461183
대구광역시,달서구,진천동,482-57,소공원,소공원,35.810994,128.524162
대구광역시,달서구,상인동,797,월곡소공원,소공원,35.8191261061,128.5451669721
대구광역시,달서구,유천동,598,세모소공원,소공원,35.81472524,128.5166123
대구광역시,달서구,월성동,1794-4,출판밸리소공원,소공원,35.83652501,128.5242896
대구광역시,달서구,도원동,898-1,월광수변공원,수변공원,35.7988027,128.5482878
대구광역시,달서구,장기동,842,출판밸리수변공원,수변공원,35.84179251,128.5254492
대구광역시,달서구,도원동,1439-3,가람어린이공원,어린이공원,35.80665966,128.5408088
대구광역시,달서구,신당동,1834-5,갈뫼공원,어린이공원,35.85276471,128.494303
대구광역시,달서구,감삼동,165-2,감삼어린이공원,어린이공원,35.84909064,128.539941
대구광역시,달서구,감삼동,123,삼각지어린이공원,어린이공원,35.84984363,128.5457296
대구광역시,달서구,감삼동,287-59,감삼소어린이공원,어린이공원,35.84441945,128.5421725
대구광역시,달서구,상인동,1461,감성테마어린이공원,어린이공원,35.81040639,128.5354373
대구광역시,달서구,월성동,88,감천리어린이공원,어린이공원,35.83004106,128.5283352
대구광역시,달서구,도원동,1443-1,강산어린이공원,어린이공원,35.80543908,128.5358911
경기도,수원시,영통구,영통동 1012-4,반달,근린공원,37.25087449,127.0788585
경기도,수원시,영통구,영통동 989-3,살구골,근린공원,37.25066343,127.0716869
경기도,수원시,영통구,영통동 969-2,벽적골,근린공원,37.24867774,127.0618933
경기도,수원시,영통구,영통동 981-4,교통,근린공원,37.24539567,127.0627739
경기도,수원시,영통구,매탄동 1318,머내생태,근린공원,37.2595236,127.0490344
경기도,수원시,영통구,매탄동 1338,매여울,근린공원,37.25697937,127.0438285
경기도,수원시,영통구,매탄동 1345,선주리들,근린공원,37.25604619,127.0439958
경기도,수원시,영통구,이의동1183,열림,근린공원,37.30555736,127.0431528
경기도,수원시,영통구,이의동 1213,성죽,근린공원,37.30947394,127.0480744
경기도,수원시,영통구,이의동 1215,솔내,근린공원,37.30818449,127.0510224
경기도,수원시,영통구,이의동 1288,연암,근린공원,37.29450237,127.0364342
경기도,수원시,영통구,망포동 358-5,망포,근린공원,37.24246445,127.0577196
경기도,수원시,영통구,이의동 1302,광교중앙,근린공원,37.293898,127.0603242
경기도,수원시,영통구,이의동 1328,다산,근린공원,37.29037967,127.0547563
경기도,수원시,영통구,이의동 1354,혜령,근린공원,37.28826802,127.0452351
경기도,수원시,영통구,원천동 588,사색,근린공원,37.28323083,127.0548829
경기도,수원시,영통구,원천동 596-1,텃밭,근린공원,37.27302817,127.0632063
경기도,수원시,영통구,하동 1002,번암가족,근린공원,37.29674051,127.0879704
경기도,수원시,영통구,이의동 1365,71호근린공원,근린공원,37.28401494,127.0394157
경기도,수원시,영통구,하동 1023,광교호수공원,근린공원,37.27499276,127.0652651
