Office_Name,Units_Num,County,City,Town,Address,Latitude,Longitude
영주시 농업기술센터 본소,149.0,경상북도,영주시,안정면,안심리 131,36.8477225,128.5592687
영주시 농업기술센터 남부분소,216.0,경상북도,영주시,문수면,만방리 918-2,36.773306,128.6553198
영주시 농업기술센터 북부분소,155.0,경상북도,영주시,단산면,옥대리 135-4,36.948227,128.6173638
계룡시농업기술센터,73.0,충청남도,계룡시,두마면,사계로 177,36.2621634,127.2762176
농업기계임대사업소 본소,270.0,충청남도,서산시,인지면,산동리 565-1,36.7196574,126.4130841
농업기계임대사업소 동부분소,221.0,충청남도,서산시,운산면,거성리 340-19,36.7581257,126.533168
합천군 북부권 농기계대여은행,210.0,경상남도,합천군,야로면,야로리 225-5,35.7091531,128.1726827
김포시농기계임대사업소,295.0,경기도,김포시,통진읍,수참리 373,37.6828135,126.6406451
양주시농기계대여은행,479.0,경기도,양주시,은현면,도하리 682,37.8410482,126.9985315
거제시농기계임대사업장,74.0,경상남도,거제시,거제면,서정리 976-13,34.8574547,128.5801944
밀양시농기계임대사업소,210.0,경상남도,밀양시,상남면,기산리 1052-1,35.4455984,128.7569785
연천군 농업기계 임대사업소(연천본소),160.0,경기도,연천군,연천읍,동막리 598-2,38.0842457,127.0786284
정읍시 농기계임대사업소 북부,217.0,전북특별자치도,정읍시,신태인읍,백산리 산 255-1,35.6958607,126.8957024
음성군 농업기술센터 농기계임대사업소 대소삼성지소,71.0,충청북도,음성군,대소면,오류리 414,36.9890334,127.4845354
양평군농업기술센터 본소,194.0,경기도,양평군,양평읍,공흥리 1-1,37.50995,127.5123236
구미농기계임대사업소 산동분소,105.0,경상북도,구미시,산동면,인덕리 520,36.1630827,128.4545735
강화군농기계은행 북부분점,140.0,인천광역시,강화군,송해면,하도리 1218,37.7664757,126.4516526
강화군농기계은행 남부분점,162.0,인천광역시,강화군,화도면,덕포리 853,37.6326121,126.455166
부여군농기계임대사업소(본소),248.0,충청남도,부여군,규암면,노화리 325-1,36.2592519,126.8434002
농기계임대사업소남부분소,162.0,충청남도,부여군,임천면,만사리 404-1,36.1675256,126.8928256
농기계임대사업소동부분소,109.0,충청남도,부여군,석성면,정각리 148-2,36.2649427,126.9824872
농기계임대사업소 서부분소,80.0,충청남도,부여군,홍산면,좌홍리 1024-4,36.2106556,126.7724612
화순군농업기계임대사업소 능주분소,185.0,전라남도,화순군,능주면,만수리 797-16,35.0220167,126.9505429
화순군농업기계임대사업소 동복분소,117.0,전라남도,화순군,동복면,천변리 5-1,35.0747993,127.1282878
(창원시)창원농기계임대사업소,50.0,경상남도,창원시,의창구,동읍 봉곡리 176-1,35.3529933,128.6642332
(창원시)마산농기계임대사업소,36.0,경상남도,창원시,마산합포구,진북면 지산리 262-10,35.1151129,128.4614398
(창원시)진해농기계임대사업소,12.0,경상남도,창원시,진해구,성내동 476-2,35.1121409,128.7533646
남부농기계임대사업소,172.0,경상남도,진주시,문산읍,두산리 777,35.1483306,128.1469518
중부농기계임대사업소,114.0,경상남도,진주시,집현면,신당리 95-1,35.2268731,128.1218899
동부농기계임대사업소,93.0,경상남도,진주시,진성면,천곡리 1151-6,35.1889306,128.2500982
농기계임대사업소,90.0,경상남도,사천시,용현면,신복리 500,35.0375789,128.06727
서부농기계임대사업소,30.0,경상남도,사천시,곤양면,송전리 99-6,35.0602188,127.9708214
김해시농기계임대사업소 본소,117.0,경상남도,김해시,전하동,900,35.2134186,128.8706742
당진시농업기술센터 본소,275.0,충청남도,당진시,구봉로,46,36.9138566,126.6496907
당진시농업기술센터 남부지소,236.0,충청남도,당진시,합덕읍,면천로 1580,36.8119002,126.761186
농업기계임대사업소 중부분소,198.0,충청남도,서산시,성연면,오사리 386-1,36.834667,126.439428
농업기계임대사업소 북부분소,180.0,충청남도,서산시,대산읍,대산리 91-24,36.9388029,126.4379262
괴산농기계임대사업소,120.0,충청북도,괴산군,괴산읍,서부리 708,36.8150241,127.7785735
감물농기계임대사업소,92.0,충청북도,괴산군,감물면,이담리 521,36.8640112,127.8658475
장연농기계임대사업소,92.0,충청북도,괴산군,장연면,송덕리 494-6,36.7815572,127.9247311
연풍농기계임대사업소,63.0,충청북도,괴산군,연풍면,행촌리 807,36.7667397,127.9899963
청천농기계임대사업소,142.0,충청북도,괴산군,청천면,도원리 202-12,36.6779762,127.7642426
사리농기계임대사업소,129.0,충청북도,괴산군,사리면,사담리 533,36.8189086,127.6493508
당진시농업기술센터 북부지소,225.0,충청남도,당진시,석문면,대호로 1479-2,37.007478,126.5309306
당진시농업기술센터 중부지소,88.0,충청남도,당진시,신평면,덕평로 1366-35,36.8747512,126.7557786
청주시 농기계 임대사업소,403.0,충청북도,청주시,상당구,남일면 효촌리 279,36.5879759,127.5060579
중부임대사업소,127.0,전북특별자치도,임실군,임실읍,두곡리 42-1,35.6297639,127.2901497
남부임대사업소,121.0,전북특별자치도,임실군,오수면,대명리 699-2,35.5403455,127.3227541
북부임대사업소,79.0,전북특별자치도,임실군,신덕면,수천리 894-3,35.6804887,127.1732164
서부임대사업소,73.0,전북특별자치도,임실군,강진면,갈담리 505,35.5283046,127.1603573
가평군농업기술센터 농기계임대사업소,288.0,경기도,가평군,가평읍,승안리 100번지,37.84605,127.4992211
고양시 농업기계 임대사업소,40.0,경기도,고양시,덕양구,원흥동 471-10번지,37.6495274,126.8698567
보령시 농업기계 임대사업소,115.0,충청남도,보령시,주포면,관산리 432,36.3971867,126.5721706
보령시 남부 농업기계 임대사업소,77.0,충청남도,보령시,웅천읍,대창리 349-5,36.2330808,126.5962802
남해군 농기계임대사업소,115.0,경상남도,남해군,이동면,다정리 953,34.817285,127.9216961
남해군 동남권 농기계임대사업소,58.0,경상남도,남해군,삼동면,금송리 706-10,34.8308432,128.012166
남해군 북부권 농기계임대사업소,72.0,경상남도,남해군,고현면,도마리 1891-1,34.8777049,127.8926177
태안군농업기술센터(남부지소),136.0,충청남도,태안군,안면읍,승언리 341-125,36.5109233,126.3495691
태안군농업기술센터(북부지소),126.0,충청남도,태안군,원북면,마산리 100-15,36.8347,126.2709221
태안군농업기술센터(중부지소),114.0,충청남도,태안군,근흥면,마금리 326,36.7518942,126.225741
합천군 중부권 농기계대여은행,424.0,경상남도,합천군,용주면,고품리 910-302,35.5514239,128.1119303
합천군 동부권 농기계대여은행,291.0,경상남도,합천군,적중면,부수리 403,35.5561077,128.2871434
합천군 남부권 농기계대여은행,226.0,경상남도,합천군,삼가면,하판리 1314-3,35.4156789,128.1059349
중부 농업기계임대사업소,110.0,경상남도,의령군,정곡면,백곡리 952,35.3441414,128.3610097
동부 농업기계임대사업소,146.0,경상남도,의령군,부림면,신반리 160-11,35.4638451,128.3216391
서부 농업기계임대사업소,63.0,경상남도,의령군,칠곡면,신포리 241,35.3314484,128.2000288
함안군농기계임대사업소(가야권),168.0,경상남도,함안군,가야읍,묘사리 910,35.2909761,128.3815139
함안군농기계임대사업소(삼칠권),135.0,경상남도,함안군,칠서면,회산리 34-3,35.3179246,128.4990138
함안군농기계임대사업소(중부권),46.0,경상남도,함안군,산인면,부봉리 469-1,35.3040035,128.4375869
창녕군 농기계임대사업소 본소,790.0,경상남도,창녕군,대지면,효정리 291,35.5522568,128.4779977
창녕군 농기계임대사업소 분소,346.0,경상남도,창녕군,도천면,일리 666,35.4364045,128.5143021
고성군 농기계임대사업소 본소,413.0,경상남도,고성군,고성읍,우산리 206-2,34.9969932,128.32643
고성군 농기계임대사업소 북부권역,119.0,경상남도,고성군,영오면,연당리 926,35.106096,128.2419634
고성군 농기계임대사업소 서부권역,109.0,경상남도,고성군,하일면,학림리 381,34.9384609,128.1978734
남해군 임대사업소(본소),67.0,경상남도,남해군,이동면,다정리 953,34.817285,127.9216961
남해군 동남권임대사업소,40.0,경상남도,남해군,삼동면,금송리 706-10,34.8308432,128.012166
남해군 북부권임대사업소,45.0,경상남도,남해군,고현면,도마리 1891-1,34.8777049,127.8926177
하동군 본점 임대사업소,255.0,경상남도,하동군,적량면,동산리 1830-1,35.0789712,127.769088
하동군 동부권 임대사업소,86.0,경상남도,하동군,북천면,직전리 556-10,35.1153053,127.8919371
하동군 남부권 임대사업소,101.0,경상남도,하동군,고전면,고하리 154-1,35.0233937,127.8372702
산청 농기계임대사업소,207.0,경상남도,산청군,산청읍,병정리 326-1,35.4024116,127.900764
단성 농기계임대사업소,111.0,경상남도,산청군,단성면,사월리 22,35.2924403,127.9582346
함양군농기계임대사업소(중부권),105.0,경상남도,함양군,함양읍,백천리 408-2,35.5258453,127.7791258
함양군농기계임대사업소(북부권),78.0,경상남도,함양군,안의면,교북리 37,35.634119,127.8151434
인제군농업기술센터 농업기계임대사업소 인제본소,217.0,강원도,인제군,인제읍,남북리 816,38.0594194,128.1661783
인제군농업기술센터 농업기계임대사업소 기린지소,154.0,강원도,인제군,기린면,현리 840-14,37.9454294,128.3124848
합천군 동부권 농기계대여은행,208.0,경상남도,합천군,적중면,부수리 403,35.5561077,128.2871434
합천군 남부권 농기계대여은행,163.0,경상남도,합천군,삼가면,하판리 1314-3,35.4156789,128.1059349
합천군 북부권 농기계대여은행,143.0,경상남도,합천군,야로면,야로리 225-5,35.7091531,128.1726827
농기계임대사업 본소,370.0,경상북도,울진군,매화면,매화리 1032-28,36.91773,129.3794977
농기계임대사업 남부지소,201.0,경상북도,울진군,평해읍,평해리 1315,36.7303563,129.4444325
농기계임대사업 서부지소,69.0,경상북도,울진군,금강송면,삼근리 529,36.9343792,129.2402089
농기계임대사업 북부지소,107.0,경상북도,울진군,북면,소곡리 126,37.0515349,129.3516373
농기계임대사업 온정지소,59.0,경상북도,울진군,온정면,소태리 419,36.7215238,129.3546309
영양군농업기술센터,327.0,경상북도,영양군,영양읍,대천리 569,36.6559416,129.1470893
북부농기계임대사업소,160.0,충청북도,진천군,이월면,내촌리 436,36.941784,127.433341
음성군 농업기술센터 농기계임대사업소 본소,98.0,충청북도,음성군,음성읍,용산리 258,36.9450387,127.6845425
음성군 농업기술센터 농기계임대사업소 서부지소,99.0,충청북도,음성군,금왕읍,도청리 474-33,36.9771001,127.540587
음성군 농업기술센터 농기계임대사업소 북부지소,94.0,충청북도,음성군,생극면,방축리 240-3,37.0620894,127.6051934
음성군 농업기술센터 농기계임대사업소 동부지소,78.0,충청북도,음성군,소이면,금고리 853,36.9144389,127.7577088
무안군농업기술센터농기계임대사업소-운남분소,89.0,전라남도,무안군,운남면,연리 403,34.960609,126.3410225
무안군농업기술센터농기계임대사업소-무안본소,173.0,전라남도,무안군,무안읍,성남리 582-1,34.9778799,126.4665232
김해시농기계임대사업소 한림분소,65.0,경상남도,김해시,한림면,장방리 1403,35.3362802,128.7935392
김해시농기계임대사업소 대동분소,165.0,경상남도,김해시,대동면,초정리 952-670,35.2353698,128.9936687
밀양시 농기계임대사업소,193.0,경상남도,밀양시,상남면,기산리 1052-3,35.4460541,128.7565852
거제시 농기계임대사업장,85.0,경상남도,거제시,거제면,서정리 976-13,34.8574547,128.5801944
양산시농기계임대사업소,151.0,경상남도,양산시,동면,석산리 392,35.3244546,129.0339939
의령 농업기계임대사업소,271.0,경상남도,의령군,의령읍,무전리 249-7,35.3233473,128.2813368
예산군 농기계임대사업장(서부농업지원팀),179.0,충청남도,예산군,봉산면,효교리 156-4,36.7309276,126.6916875
단성농기계임대사업소,115.0,경상남도,산청군,단성면,사월리 22,35.2924403,127.9582346
산청농기계임대사업소,204.0,경상남도,산청군,산청읍,병정리326-1,35.4024116,127.900764
중부농기계임대사업소,140.0,경상남도,진주시,집현면,신당리 95-1,35.2268731,128.1218899
남부농기계임대사업소,206.0,경상남도,진주시,문산읍,두산리 777,35.1483306,128.1469518
동부농기계임대사업소,91.0,경상남도,진주시,진성면,천곡리 1151-6,35.1889306,128.2500982
기장군농업기술센터,104.0,부산광역시,기장군,기장읍,만화리 333-28,35.2524707,129.1950685
스마트농업지원관,42.0,인천광역시,계양구,서운동,207-1,37.5338915,126.7448448
인천광역시농업기계교육관,36.0,인천광역시,중구,을왕동,488-5,37.4563063,126.3955621
동해시농업기술센터 망상지소,82.0,강원특별자치도,동해시,초구동,110,37.5764757,129.0877775
동해시농업기술센터 북평지소,57.0,강원특별자치도,동해시,이도동,657-4,37.4809808,129.1006806
김천시농기계임대사업소중부지점,81.0,경상북도,김천시,조마면,강곡리 12-1,36.0394561,128.115334
함양군농기계임대사업소(북부권),67.0,경상남도,함양군,안의면,교북리 37,35.634119,127.8151434
함양군농기계임대사업소(중부권),97.0,경상남도,함양군,함양읍,백천리 405-1,35.5254826,127.7798407
함양군농기계임대사업소(서부권),36.0,경상남도,함양군,백전면,경백리 507,35.5338268,127.6560572
함양군농기계임대사업소(남부권),42.0,경상남도,함양군,휴천면,남호리 372,35.4385006,127.7652733
태안군농업기술센터(본소),314.0,충청남도,태안군,태안읍,송암리 770-2,36.7327642,126.3048624
의성군농업기술센터(금성지소),108.0,경상북도,의성군,금성면,탑리리 990,36.2623819,128.6872589
의성군농업기술센터(안계지소),119.0,경상북도,의성군,안계면,시안리 367-2,36.3930332,128.431338
의성군농업기술센터(점곡지소),86.0,경상북도,의성군,점곡면,동변리 1075-1,36.4248794,128.7815662
의성군농업기술센터(다인지소),80.0,경상북도,의성군,다인면,도암리 971-1,36.4555739,128.3545307
경주시 농업기술센터 본소,262.0,경상북도,경주시,서악동,1153,35.8283145,129.1892698
경주시 농업기술센터 동부사업소,100.0,경상북도,경주시,양북면,어일리 430-17,35.7704957,129.4487275
경주시 농업기술센터 북부사업소,167.0,경상북도,경주시,안강읍,갑산리 927,35.971828,129.2352734
경주시 농업기술센터 남부사업소,101.0,경상북도,경주시,시동,998-81,35.7582555,129.2758602
농기계임대사업소 석정분소,93.0,광주광역시,남구,석정동,389-4,35.0831711,126.8090906
영동군농업기술센터(본소),267.0,충청북도,영동군,영동읍,부용리 610,36.1634199,127.7590147
영동군농업기술센터(남부지소),103.0,충청북도,영동군,매곡면,노천리 379-1,36.2159605,127.9269153
영동군농업기술센터(서부지소),99.0,충청북도,영동군,학산면,서산리 844-1,36.0992849,127.6854228
대청면 농기계임대사업소,43.0,인천광역시,옹진군,대청면,대청리 454-9,37.8355459,124.7077312
덕적면 농기계임대사업소,89.0,인천광역시,옹진군,덕적면,서포리 868,37.2391217,126.1004649
자월면 농기계임대사업소,33.0,인천광역시,옹진군,자월면,자월리 1065-12,37.2505898,126.3138534
자월면 농기계임대사업소 승봉분소,26.0,인천광역시,옹진군,자월면,승봉리 771-7,37.172184,126.2977924
영흥면 농기계임대사업소,88.0,인천광역시,옹진군,영흥면,외리 728-2,37.2531879,126.4603099
김천시농기계임대사업소서부지점,57.0,경상북도,김천시,봉산면,신리 205,36.1328584,128.0567537
김천시농기계임대사업소남부지점,62.0,경상북도,김천시,지례면,상부리 111,35.9887493,128.034471
김천시농기계임대사업소북부지점,75.0,경상북도,김천시,감문면,보광리 393,36.2135276,128.1803032
대소원임대사업소,137.0,충청북도,충주시,대소원면,영평리 479-69,36.9776213,127.8062747
용관동임대사업소,48.0,충청북도,충주시,용관동,305-1,36.9457771,127.883625
앙성면임대사업소,36.0,충청북도,충주시,앙성면,능암리 747-2,37.0863272,127.7998334
수안보임대사업소,34.0,충청북도,충주시,수안보면,중산리 479,36.882188,127.9840532
김천시농기계임대사업소본점,30.0,경상북도,김천시,구성면,하강리 56,36.0802404,128.1004081
김천시농기계임대사업소동부지점,65.0,경상북도,김천시,율곡동,6-1691,36.1302483,128.1781753
영월군 농업기술센터 농기계임대사업소(본소),459.0,강원특별자치도,영월군,북면,영월로 1315,37.2127154,128.4272805
영월군 농업기술센터 농기계임대사업소(서부분소),110.0,강원특별자치도,영월군,주천면,금용강변로 26-15,37.2504577,128.2944372
울산광역시농업기술센터,186.0,울산광역시,울주군,청량읍,문죽리 252,35.52391,129.2660512
무주군농기계임대사업장,312.0,전북특별자치도,무주군,무주읍,당산리 530,36.0033671,127.6715437
고령군농업기술센터,700.0,경상북도,고령군,대가야읍,내곡리 772,35.6955147,128.2820553
남원시 농기계임대사업(이백사업소),197.0,전북특별자치도,남원시,이백면,서곡리 429,35.4253533,127.4406188
남원시 농기계임대사업(인월사업소),195.0,전북특별자치도,남원시,인월면,서무리 1055-4,35.4617915,127.5933478
남원시 농기계임대사업(금지사업소),179.0,전북특별자치도,남원시,금지면,창산리 72-2,35.3459582,127.3033781
남원시 농기계임대사업(사매사업소),162.0,전북특별자치도,남원시,사매면,오신리 818-1,35.4947962,127.3577852
영광군농기계임대사업소 본소,384.0,전라남도,영광군,군서면,만곡리 95-60,35.2865592,126.4730263
영광군농기계임대사업소 북부분소,143.0,전라남도,영광군,홍농읍,상하리 1185-5,35.3824794,126.4434624
