Local_Store_Name,County,City,Address,Latitude,Longitude
대전로컬푸드라온아띠협동조합,대전광역시,서구,남선로 66,36.3452575,127.3966837
고모네장터로컬푸드직매장,전라북도,정읍시,북면 정읍북로 603,35.6118256,126.8920163
진주우리먹거리협동조합 진주텃밭(금산점),경상남도,진주시,금산면 금산순환로 61,35.219425,128.1493373
광주농협 로컬푸드직매장 매곡점,광주광역시,북구,매곡로 50,35.1893477,126.8939953
진접농협 로컬푸드 직매장,경기도,남양주시,진접읍 해밀예당1로 8,37.709767,127.185057
협동조합 함박꽃웃음,경기도,의왕시,651-13,37.387711,126.993689
진안로컬푸드협동조합,전라북도,전주시,덕진구 동부대로 930,35.8687703,127.1461917
부여농협 로컬푸드 직매장,충청남도,부여군,부여읍 백제문화로 16,36.284502,126.93072
부여군행복장터 직판장,충청남도,부여군,내산면 서천공주고속도로 25,36.2584899,126.7968896
완주로컬푸드협동조합모악점,전라북도,완주군,구이면 모악산길 95,35.7294257,127.1094034
순천만국가정원점,전라남도,순천시,국가정원1호길 162-11,34.9302348,127.5106647
서산로컬푸드,충청남도,서산시,율지3로 27,36.7781747,126.4625616
김천시 로컬푸드 행복장터,경상북도,김천시,농소면 경부고속도로 194,36.1308687,128.1637926
성주군 행복장터,경상북도,성주군,용암면 중부내륙고속도로 76,35.8578798,128.3199361
태안 로컬푸드 판매장,충청남도,태안군,남면 안면대로 1641,36.6119712,126.3157392
완주로컬푸드협동조합효자점,전라북도,전주시,완산구 우전1길 40-33,35.8077379,127.1068121
자인농협로컬푸드직매장,경상북도,경산시,자인면 계남길 9,35.8150488,128.8100541
(재)광주남구로컬푸드센터,광주광역시,남구,화산로 32,35.1117241,126.900912
원주축협 로컬푸드 직매장,강원도,원주시,원일로 233,37.3565672,127.9430212
익산로컬푸드직매장(어양점),전라북도,익산시,동서로63길 57,35.9562751,126.9835121
청주농협 하나로마트 로컬푸드 직매장 ,충청북도,청주시,상당구 1순환로 1265 청주농협 하나로마트 로컬푸드,36.6091265,127.5055907
여천농협 로컬푸드,전라남도,여수시,학동1길 19,34.7654026,127.6635006
제주도 안덕농협 로컬푸드 직매장,제주특별자치도,서귀포시,안덕면 화순로 122,33.2466967,126.3333095
제주로컬푸드,제주특별자치도,제주시,오남로 288,33.4703783,126.5128391
인제 기린농협 로컬푸드 직매장,강원도,인제군,기린면 기린로 34,37.9549513,128.31795
순천로컬푸드직매장 조례호수공원점,전라남도,순천시,지봉로 611,34.9669912,127.5270659
원주시 친환경로컬푸드직매장 생기를담아,강원도,원주시,늘품로 45,37.3240881,127.9506909
협동조합 두레장터 1호점(백천점),경상북도,경산시,경청로219길 4-6,35.8036683,128.7382144
충주로컬푸드직매장,충청북도,충주시,남산5길 4,36.9634432,127.9435323
완주로컬푸드협동조합하가점,전라북도,전주시,덕진구 가련산로 26-7,35.8417492,127.1121149
전북삼락로컬마켓,전라북도,전주시,덕진구 오공로 38,35.8356071,127.0593592
오창농협 로컬푸드직매장,충청북도,청주시,청원구 오창읍 양청송대길240,36.7304851,127.4525071
양평청정로컬푸드(그린맥스),경기도,양평군,강하면 강하1로 46,37.4833177,127.3968385
화성로컬푸드직매장 봉담점,경기도,화성시,봉담읍 서봉산길 10,37.173468,126.9378991
화성로컬푸드직매장 능동점,경기도,화성시,동탄숲속로 35번길 10,37.2095789,127.0520511
함평로컬푸드직매장,전라남도,함평군,월야면 밀재로 1480,35.1786259,126.623667
화성로컬푸드직매장 동화점,경기도,화성시,봉담읍 동화길 6,37.2212431,126.9515538
금강농업협동조합,강원도,고성군,죽왕면 동해대로 5889,38.3277289,128.5240922
합천로컬푸드 농특산물 직매장,경상남도,합천군,합천읍 대야로 1184,35.5895776,128.1752483
울진농협하나로마트 로컬푸드직매장,경상북도,울진군,울진읍 울진중앙로 136,36.9937912,129.4016685
동춘천농협 로컬푸드 직매장,강원도,춘천시,동내면 학곡동2길 17,37.8384785,127.7610057
강내농협 로컬푸드 직매장,충청북도,청주시,흥덕구 강내면 탑연월곡길 85-1,36.6243536,127.364019
정읍농협  로컬푸드 직매장  본점,전라북도,정읍시,명덕로 25,35.5739074,126.8428082
나주시로컬푸드직매장 빛가람점,전라남도,나주시,그린로 216,35.0091891,126.7899436
진천농협로컬푸드,충청북도,진천군,진천읍 중앙동5길 12,36.8561788,127.4461075
광주농협 로컬푸드직매장 두암점,광주광역시,북구,동문대로 161,35.1770099,126.9278178
협동조합농부장터,대구광역시,북구,학정로 137,35.920322,128.550865
문양역로컬푸드직매장,대구광역시,달성군,다사읍 문양역길 71,35.8640793,128.4370925
김포농협 로컬푸드직매장 1호점,경기도,김포시,홍도평로 20,37.6316054,126.7129363
합천애 로컬푸드 직매장,경상남도,합천군,대양면 동부로 25,35.5560885,128.1645657
성주군 로컬푸드 행복장터,경상북도,성주군,선남면 중부내륙고속도로 77,35.8687429,128.316614
벽제농협 로컬푸드직매장,경기도,고양시,덕양구 통일로 775,37.6872393,126.8639629
제주로컬푸드 연동점,제주특별자치도,제주시,일주서로 7815,33.4939238,126.4815538
