Center_Name,County,City,Address,Latitude,Longitude
경기도 농업기술원,경기도,화성시,병점중앙로 283-33,37.2226262,127.0425229
강원특별자치도 농업기술원,강원특별자치도,춘천시,신북읍 장본길 40,37.9496082,127.7575016
충청북도 농업기술원,충청북도,청주시,청원구 오창읍 가곡길 46,36.7267143,127.4665384
충청남도 농업기술원,충청남도,예산군,신암면 추사로 167,36.7432105,126.8191192
전북특별자치도 농업기술원,전북특별자치도,익산시,서동로 413,35.9418602,126.993883
전라남도 농업기술원,전라남도,나주시,산포면 세남로 1508,35.0226817,126.8317404
경상북도 농업기술원,대구광역시,북구,칠곡중앙대로136길 47,35.9577315,128.561009
경상남도 농업기술원,경상남도,진주시,대신로 570,35.2113705,128.1164632
제주특별자치도 농업기술원,제주특별자치도,서귀포시,중산간서로 212,33.2614843,126.4889848
서울시 농업기술센터,서울특별시,서초구,헌인릉 1길 83-9,37.4657054,127.0897301
부산시 농업기술센터,부산광역시,강서구,공항로 1285,35.2132481,128.9867584
기장군 농업기술센터,부산광역시,기장군,기장읍 반송로 1370-22,35.252284,129.1951535
대구시 농업기술센터,대구광역시,동구,동촌로42길 69,35.8799591,128.6604956
달성군 농업기술센터,대구광역시,달성군,논공읍 달성군청로 33,35.7746,128.431445
인천시 농업기술센터,인천광역시,계양구,살라리로2번길 33,37.5334472,126.7454044
강화군 농업기술센터,인천광역시,강화군,불은면 중앙로 742-2,37.7039565,126.4352134
옹진군 농업기술센터,인천광역시,중구,서해대로 374,37.4601719,126.6320083
광주시 농업기술센터,광주광역시,서구,내방로 111,35.160032,126.851338
대전시 농업기술센터,대전광역시,유성구,교촌대정로 97,36.3082269,127.307357
울산시 농업기술센터,울산광역시,울주군,청량읍 청량천변로 211,35.524017,129.2667541
세종시 농업기술센터,세종특별자치시,한누리대로,2130,36.4800121,127.2890691
수원시 농업기술센터,경기도,수원시,팔달구 효원로 241,37.263476,127.028646
성남시 농업기술센터,경기도,성남시,수정구 대왕판교로982번길 25,37.4288401,127.1048762
평택시 농업기술센터,경기도,평택시,경기대로 245,36.9923537,127.1126947
고양시 농업기술센터,경기도,고양시,덕양구 고양대로 1695,37.6496413,126.8702671
남양주시 농업기술센터,경기도,남양주시,진건읍 사릉로 234-46,37.6490003,127.1970254
시흥시 농업기술센터,경기도,시흥시,시청로 20,37.380177,126.802934
용인시 농업기술센터,경기도,용인시,처인구 농촌파크로 80,37.1729066,127.2987649
파주시 농업기술센터,경기도,파주시,통일로 600,37.764075,126.795525
이천시 농업기술센터,경기도,이천시,부악로 40,37.2722075,127.4351037
안성시 농업기술센터,경기도,안성시,보개면 보개원삼로 219,37.0233957,127.2868262
김포시 농업기술센터,경기도,김포시,월곶면 오리정로 13,37.6951368,126.5557784
화성시 농업기술센터,경기도,화성시,장안면 풍무길80번길 53-20,37.0763917,126.872849
광주시 농업기술센터,경기도,광주시,행정타운로 50,37.4294306,127.2550476
양주시 농업기술센터,경기도,양주시,광적면 지섬로 162,37.8224355,126.9741512
포천시 농업기술센터,경기도,포천시,신북면 틀못이길 11-88,37.9233036,127.2252145
안산시 농업기술센터,경기도,안산시,상록구 항가울로 222,37.3005366,126.8441567
여주시 농업기술센터,경기도,여주시,농산로 71,37.2537717,127.6377259
연천군 농업기술센터,경기도,연천군,연천읍 차현로 139,38.1040737,127.077
가평군 농업기술센터,경기도,가평군,가평읍 아랫마장길 59,37.845998,127.4987033
양평군 농업기술센터,경기도,양평군,양평읍 농업기술센터길 59,37.5107849,127.5142535
춘천시 농업기술센터,강원특별자치도,춘천시,신북읍 신북로 262,37.9492795,127.7505757
원주시 농업기술센터,강원특별자치도,원주시,흥업면 흥대길 7,37.2963583,127.9156375
강릉시 농업기술센터,강원특별자치도,강릉시,사천면 동해대로 3738-17,37.8182731,128.8541862
동해시 농업기술센터,강원특별자치도,동해시,승지로 58-2,37.5395387,129.0956085
