County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
인천광역시,서구,가정동,0 8~10층,바로서구병원,병원,,
경기도,용인시,처인구,모현읍 능원리 107-1,승일희망요양병원,요양병원(일반요양병원),37.3391055,127.1682361
서울특별시,종로구,원남동,177-1,포레스트병원,병원,37.575756,126.9967438
대전광역시,동구,신안동,293번지 1호,대전화병원,병원,36.3287029,127.4389511
인천광역시,연수구,옥련동,186 명신빌딩,명신더블유한방병원,한방병원,37.4275438,126.6426267
경상남도,김해시,율하동,1339-3,율하리틀병원,병원,35.1710489,128.8132162
경기도,평택시,고덕동,1973-9 우성고덕타워,365래온치과병원,치과병원,37.0452892,127.0442021
경기도,여주시,북내면,신남리 149-106,시애노요양병원,요양병원(일반요양병원),37.3266257,127.6680109
경기도,의정부시,의정부동,494 센트럴타워,서울오라클치과병원,치과병원,37.7380313,127.0436104
울산광역시,남구,야음동,789-117,뉴씨엘요양병원,요양병원(일반요양병원),35.5269598,129.3213133
전라남도,여수시,해산동,298번지 20호 20호,이안요양병원,의사,34.8014684,127.6359966
충청북도,청주시,청원구,내덕동 275-6 태성빌딩,새진한방병원,한방병원,36.6534719,127.4891599
충청북도,청주시,청원구,내덕동 275번지 6호 태성빌딩 6호,새진한방병원,한의사,36.6538189,127.4891241
경기도,화성시,향남읍,제암리 38-3,향남바로병원,병원,37.1279483,126.9057875
충청북도,청주시,흥덕구,강서동 487번지 0호 레인보우빌딩 0호,청주원병원,의사,36.6242807,127.4282764
경상북도,포항시,남구,상도동 609번지 6호 6호,포항제이케이(JK)한방병원,한의사,36.0136435,129.3512328
경기도,용인시,처인구,마평동 612-1,새기준병원,병원,37.2335438,127.2155189
서울특별시,동작구,대방동,417-3 보라매빌딩,보라매자생한방병원,한방병원,37.4988159,126.920705
강원특별자치도,춘천시,퇴계동,188-6,더 오케이 병원,병원,37.8536248,127.7363413
강원특별자치도,춘천시,퇴계동,188번지 6호 6호,더 오케이 병원,의사,37.8543219,127.7365746
경기도,의정부시,신곡동,664,닥터뷰티치과병원,치과병원,37.7273743,127.0537397
경기도,양주시,옥정동,963-4,서울수려한치과병원,치과병원,37.8214077,127.0921611
대구광역시,수성구,만촌동,859,행복한에이치(H)병원,병원,35.8554537,128.6519176
경기도,용인시,기흥구,중동 713-3,올리브병원,병원,37.2719361,127.1486352
부산광역시,사하구,괴정동,26-1,소나무병원,병원,35.1057672,129.0095728
대구광역시,수성구,수성동2가,173,대구제이케이(JK)병원,병원,35.8541143,128.6154202
경기도,하남시,망월동,1099 하남미사 롯데캐슬 스타,강동미사한방병원,한방병원,37.5638091,127.1905121
경기도,하남시,풍산동,607,보바스병원,병원,37.5515041,127.1937969
경기도,여주시,강천면,걸은리 820-1,SKJ상경원요양병원,요양병원(일반요양병원),37.2890699,127.7021442
세종특별자치시,대평동,694,알파메디컬센터,강남세종한방병원,한방병원,36.4715578,127.2763454
충청북도,증평군,증평읍,초중리 109번지 3호 3호,의료법인 여덕의료재단 증평병원,,36.7779997,127.5756273
경기도,파주시,목동동,937-1 코키아빌딩,코키아병원,병원,37.7292452,126.7345104
광주광역시,서구,치평동,1236 골드메디타워,상무효정병원,병원,35.1526655,126.8489066
경기도,성남시,분당구,수내동 6-7 흥국생명빌딩,새로분당예치과병원,치과병원,37.378711,127.1160031
경기도,성남시,분당구,수내동 6-7 흥국생명빌딩,스마일분당예치과병원,치과병원,37.378711,127.1160031
경기도,성남시,분당구,수내동 6-7 흥국생명빌딩,드림분당예치과병원,치과병원,37.378711,127.1160031
경기도,안양시,동안구,비산동 422-12,아이생각성모병원,병원,37.3967745,126.9387757
광주광역시,북구,용두동,279-1,잘본한방병원,한방병원,35.2130591,126.8746288
경상남도,진주시,이현동,376-1,진주굿모닝병원,병원,35.1915023,128.0558393
부산광역시,사하구,당리동,304-6,굳건병원,병원,35.1051959,128.9701724
경상남도,창원시,의창구,사림동 162-1,이에이씨병원,병원,35.2390689,128.6969771
경기도,남양주시,다산동,6052,다산청아람어린이병원,병원,37.6257859,127.1561263
서울특별시,송파구,삼전동,72-2 SH타워,강철병원,병원,37.5023181,127.094297
경기도,시흥시,월곶동,991-28 나보나시티,마음한방병원,한방병원,37.3921405,126.7417189
서울특별시,송파구,삼전동,28-6,서울오브치과병원,치과병원,37.5039633,127.0883117
부산광역시,사상구,괘법동,547-17,상현한방병원,한방병원,35.1610803,128.9860912
대구광역시,북구,연경동,960-3,연경푸른숲한방병원,한방병원,35.9426129,128.6169618
경기도,평택시,고덕동,2712-1,가온한방병원,한방병원,37.0352075,127.0297598
경상남도,하동군,하동읍,두곡리 737-3,하동한국병원,병원,35.0829761,127.7387959
부산광역시,해운대구,중동,1829 엘시티,한마음병원,병원,35.1605627,129.1688078
경기도,광주시,경안동,20-16,미켈란젤로병원,병원,37.4093751,127.2602296
경기도,시흥시,능곡동,898-10 센텀시티Ⅱ,아너스힐병원,병원,37.3694878,126.8077534
경상남도,사천시,축동면,가산리 450-1 순영병원,의료법인 행복한의료재단 경남도립정신병원,정신병원,35.0928525,128.0447035
충청남도,논산시,반월동,66-1 논산타워,논산경희한방병원,한방병원,36.2045471,127.0855176
경기도,용인시,기흥구,구갈동 352 메가타운,한가온한방병원,한방병원,37.280544,127.11168
충청남도,아산시,탕정면,매곡리 1206,365아홉가지약속치과병원,치과병원,36.7885523,127.0879326
경기도,광명시,소하동,1340-3,광명가득한방병원,한방병원,37.4483311,126.8823319
충청남도,천안시,서북구,"직산읍 삼은리 36-16 3,5층",새생명한방병원,한방병원,36.8834539,127.1546497
경기도,고양시,덕양구,지축동 996,지축아이제일병원,병원,37.6500333,126.9136009
대구광역시,북구,산격동,625-3,대구시티요양병원,요양병원(일반요양병원),35.9039065,128.6023902
대구광역시,북구,동호동,151-5,경대돌담병원,병원,35.9591746,128.5613879
대전광역시,서구,관저동,1733번지 0호 대전관저클리닉센터 0호,이김병원,의사,36.3019562,127.3343935
대구광역시,동구,동호동,366-4,수월한방병원,한방병원,35.8674966,128.7236633
서울특별시,송파구,삼전동,180-8 태영빌딩,엠에스병원,병원,37.5020974,127.0966801
대구광역시,달서구,월성동,1820,꽃담한방병원 월성점,한방병원,35.825731,128.5273882
경상남도,양산시,물금읍,범어리 2711-33,한아름병원,병원,35.3272199,129.0145279
전라남도,여수시,오림동,413번지 2호 2호,여수가온병원,의사,34.7573363,127.7174652
전라남도,목포시,옥암동,973번지 0호 0호,서울한방병원,한의사,34.8092792,126.4306262
경상북도,포항시,남구,상도동 609번지 6호 6호,차차한방병원,한의사,36.0136435,129.3512328
경기도,수원시,팔달구,인계동 1131 수원시청역 선경센트럴파크 4층,수원아이편한병원,병원,37.2598644,127.0316048
서울특별시,강서구,화곡동,782-1,원탑병원,병원,37.5312867,126.8635242
경기도,화성시,새솔동,78-1,새솔한방병원,한방병원,37.2850202,126.8168445
서울특별시,노원구,공릉동,"680-9 태릉성심종합병원(치과,요양,정신건강)",참다운요양병원,요양병원(일반요양병원),37.6182609,127.0750147
광주광역시,북구,운암동,495-9,새약손한방병원,한방병원,35.1730883,126.8877084
경기도,광주시,경안동,20-16,365매일한방병원,한방병원,37.4093751,127.2602296
