County,City,Town,Address,Theater_Name,Theater_Type,Latitude,Longitude
전라남도,강진군,강진읍,동성리 192-9 강진군 어울림센터 3층,강진영화관 1관,영화관,34.640764,126.7727088
인천광역시,미추홀구,학익동,0 시티오씨엘 3단지,메가박스중앙(주)인천학익지점 컴포트5관,영화관,37.441007,126.647164
경상북도,의성군,안계면,용기리 843-5 안계행복플랫폼,안계행복영화관,영화관,36.3848872,128.4379655
경상북도,의성군,의성읍,후죽리 508-1 의성군청소년문화의집,의성작은영화관 2관,영화관,36.3533755,128.6966161
서울특별시,마포구,서교동,354-5 라이즈호텔,모노플렉스 앳 라이즈,영화관,37.5544357,126.9212425
전라남도,화순군,화순읍,광덕리 88 군민회관 2층,화순시네마 제1관,영화관,35.0582787,126.9852543
충청북도,청주시,흥덕구,오송읍 봉산리 996 7층,롯데시네마 오송 1관,영화관,36.6187095,127.3166358
전라남도,곡성군,곡성읍,읍내리 776-6,곡성작은영화관 1관,영화관,35.2792996,127.28955
전라남도,담양군,담양읍,지침리 112-6,담양담빛영화관 2관,영화관,35.3162738,126.9855842
강원특별자치도,강릉시,성남동,254,롯데시네마강릉1상영관,영화관,37.7511458,128.8951654
부산광역시,해운대구,좌동,1467-4 지팝건축물,메가박스해운대(장산)6관,영화관,35.1705254,129.1770622
충청북도,단양군,단양읍,별곡리 산 12-4 올누림센터 2층 단양작은영화관,단양작은영화관 1관,영화관,36.9862696,128.3628138
전라남도,무안군,무안읍,성남리 812-13 무안군 복합문화센터,1관,영화관,34.9865951,126.4723698
광주광역시,광산구,쌍암동,654-2 힐스테이트 첨단,롯데시네마 광주첨단 영화관 1관,영화관,35.2212382,126.8421636
경기도,파주시,문발동,532-3,밀크북 극장,영화관,37.7074768,126.6876031
울산광역시,중구,성남동,3-6,CGV 울산성남 1관,영화관,35.5562324,129.3213085
전라북도,부안군,부안읍,봉덕리 574-13,마실영화관 1관,영화관,35.7270754,126.736695
대구광역시,북구,동천동,894-1 세븐밸리,메가박스 대구세븐밸리 5관,영화관,35.9441127,128.56035
경상남도,창녕군,남지읍,남지리 181-8,창녕군작은영화관 1관,영화관,35.3954439,128.481997
강원특별자치도,철원군,서면,와수리 1160-3 철원 복합커뮤니티센터,작은영화관 달빛 5관,영화관,38.2377972,127.439534
경기도,수원시,장안구,정자동 111-14,메가박스중앙(주)수원스타필드지점 Dolby Atmos관,영화관,37.2875553,126.9913313
경기도,남양주시,다산동,6192-1,씨네큐 남양주 다산점 3관,영화관,37.6100609,127.1673699
부산광역시,사하구,장림동,316-8,롯데시네마 부산장림 1관,영화관,35.0809758,128.9757485
경기도,수원시,팔달구,인계동 1125-1,메가박스중앙(주)수원인계지점 컴포트1관,영화관,37.2609544,127.0322284
경기도,화성시,영천동,844-1 M동 B201호,씨네큐 동탄 4관,영화관,37.2159295,127.1018182
경기도,김포시,풍무동,38-1,포포시네마 프레시관,영화관,37.6099623,126.7236686
제주특별자치도,서귀포시,동홍동,1372-1,메가박스제주 서귀포점 1관,영화관,33.2616361,126.5627615
충청북도,제천시,모산동,203-13,제천 의림지 자동차 극장,자동차극장,37.1763639,128.2117237
경기도,파주시,문발동,644 롯데프리미엄아울렛,롯데시네마 파주아울렛 2관,영화관,37.7180873,126.6925927
제주특별자치도,서귀포시,안덕면,서광리 지하1층,씨네라운지 2관,영화관,33.297567,126.29379
전라북도,장수군,장수읍,두산리 474 장수한누리전당,장수한누리영화관 2관,영화관,35.6415458,127.5183728
경기도,동두천시,생연동,364-1,CGV동두천 2관,영화관,37.897195,127.0583336
경기도,구리시,갈매동,552-4,CGV구리갈매 3관,영화관,37.6357051,127.1231394
경상남도,의령군,의령읍,서동리 712 의령도깨비영화관,의령도깨비영화관 1관,영화관,35.3183101,128.2525688
전라남도,진도군,진도읍,동외리 1140 아리랑시네마,진도아리랑 시네마 2관,영화관,34.4805051,126.2702267
대전광역시,대덕구,오정동,172-5,소소아트시네마,영화관,36.3513356,127.4213989
경기도,화성시,송동,"725-1 더샵 동탄센텀폴리스 1,2단지",CGV 동탄그랑파사쥬 4관,영화관,37.1678626,127.1061966
인천광역시,서구,가정동,0 루원지웰시티푸르지오 상가동 지하1호,CGV 인천가정 제3관,영화관,37.526592,126.669564
경기도,남양주시,화도읍,녹촌리 46-23,CGV 남양주 화도 1관,영화관,37.649431,127.2957717
부산광역시,영도구,동삼동,1009,CGV 드라이브 인 영도,자동차극장,35.0622929,129.0834388
대구광역시,달서구,죽전동,273-27,CGV 대구죽전 2관,영화관,35.8505923,128.5364012
강원특별자치도,인제군,기린면,서리 3-1,CGV기린,영화관,37.9653851,128.3190731
경기도,용인시,처인구,역북동 89-18,CGV DRIVE IN 용인크랙사이드,자동차극장,37.2483783,127.1919206
인천광역시,미추홀구,주안동,0 포레나 미추홀,CGV인천시민공원 1관,영화관,37.457447,126.681004
인천광역시,서구,청라동,162-2,씨네큐 청라 1관,영화관,37.5339026,126.6503015
충청남도,아산시,온천동,79-1,CGV아산 1관,영화관,36.7802304,127.0084602
서울특별시,강남구,삼성동,159 코엑스,코엑스 부티크 프라이빗 2호,영화관,37.5125278,127.0588432
충청남도,천안시,동남구,청당동 547,롯데시네마 천안청당 3관,영화관,36.7830686,127.1560968
경상북도,성주군,성주읍,경산리 597-2,성주별고을시네마 1관,영화관,35.916886,128.2853179
제주특별자치도,제주시,연동,1454 지하1층,롯데시네마 제주연동 2관,영화관,33.4806716,126.4946153
전라남도,영암군,영암읍,동무리 36-30,영암기찬시네마 1관,영화관,34.8001912,126.7015621
경기도,화성시,마도면,석교리 243-2,화성시 작은영화관 1관,영화관,37.2049945,126.7702967
경기도,시흥시,정왕동,1734-2 E MART시화점,시네마코리아 시흥정왕 2관,영화관,37.3459421,126.7368715
경기도,남양주시,다산동,6143,CGV 다산 4관 (인케이 다산시네마),영화관,37.6132992,127.1520129
전라북도,임실군,임실읍,이도리 277 지하1층 임실작은별영화관,임실한마당 작은별영화관(치즈관),영화관,35.6150724,127.2869725
경기도,고양시,일산서구,대화동 2307-16 K-TREE,케이트리호텔 X 모노플렉스,영화관,37.6684674,126.748107
서울특별시,동작구,신대방동,686-48 동작 협성휴포레 시그니처,롯데시네마 신대방 2관,영화관,37.486331,126.9052356
경기도,군포시,금정동,916 힐스테이트 금정역,메가박스(주)금정AK플라자지점(컴포트4관),영화관,37.3723276,126.9448583
경기도,광명시,소하동,1344 광명G타워,5관,영화관,37.4458253,126.8941423
강원특별자치도,춘천시,석사동,980,메가박스중앙(주) 춘천석사지점 6관,영화관,37.8632768,127.7481241
경기도,수원시,권선구,호매실동 1397-2,메가박스 수원 호매실점 1관,영화관,37.2587606,126.9643628
충청북도,음성군,음성읍,"읍내리 536-6 설성문화회관, 3층",설성시네마 2관,영화관,36.9348568,127.6905674
충청남도,금산군,금산읍,하옥리 334-24,금산시네마 1관,영화관,36.0992711,127.4907599
충청북도,제천시,강제동,304-21,CGV 제천 6관,영화관,37.1235063,128.2219364
인천광역시,부평구,갈산동,94,롯데시네마 부평갈산 5관,영화관,37.5153364,126.7273131
경기도,광명시,일직동,514,CGV광명역1관,영화관,37.4228425,126.8869104
서울특별시,도봉구,방학동,707-6,CGV 방학 6관,영화관,37.6653512,127.0436789
서울특별시,중구,정동,22 경향신문사,서울아트시네마,영화관,37.5681726,126.9700038
경기도,화성시,송동,726-1,안영채X모노플렉스,영화관,37.1668945,127.1051375
강원특별자치도,양구군,양구읍,상리 353-1 정중앙시네마,정중앙시네마 2관,영화관,38.1087801,127.9850005
서울특별시,마포구,동교동,166-14 동교동 스타피카소,독립영화전용관 인디스페이스,영화관,37.5572023,126.9247532
강원특별자치도,인제군,북면,원통리 459-4,원통영화관,영화관,38.1201405,128.2067122
울산광역시,동구,방어동,58-2,씨지브이 울산동구1관,영화관,35.4898849,129.4309504
강원특별자치도,고성군,간성읍,신안리 146-3 달홀문화센터,달홀영화관 2관,영화관,38.3791024,128.4740602
경상남도,양산시,덕계동,234-12,영화공장,영화관,35.3825555,129.1574364
경기도,가평군,조종면,현리 410-6,조종시네마 제1관,영화관,37.8178612,127.3481945
경기도,평택시,장당동,154 판매시설동 301호,CGV평택고덕 3관,영화관,37.0340841,127.0695118
전라북도,남원시,고죽동,66-3,NH시네마 3관,영화관,35.4257541,127.4114705
전라남도,순천시,해룡면,남가리 99 순천만플라자 모다아울렛,루프탑시네마 모다순천점,자동차극장,34.9258722,127.5443418
서울특별시,마포구,서교동,367-5 상상마당빌딩,KT&G 상상마당 cinema,영화관,37.5510027,126.9210324
부산광역시,부산진구,부전동,521-1 KT&G 상상마당부산,CGV서면상상마당 제3관,영화관,35.1542795,129.0573041
부산광역시,강서구,명지동,3586-4,명지플러스시네마 5관,영화관,35.0944378,128.9031205
경기도,시흥시,능곡동,235-1 시흥 플랑드르,롯데시네마 시흥장현 4관,영화관,37.3712003,126.8069678
세종특별자치시,장군면,대교리,514-10,초이자동차극장,자동차극장,36.5027006,127.2122538
전라북도,전주시,덕진구,송천동2가 1422 파인트리몰 5~6층,롯데시네마 전주송천관 7관,영화관,35.8670454,127.1209578
충청남도,천안시,서북구,불당동 1537-2,롯데시네마 천안불당 6관,영화관,36.8132876,127.1082702
전라북도,전주시,덕진구,송천동2가 1329-1 로마네시티 현대썬앤빌 전주,CGV 전주에코시티 1관,영화관,35.8730644,127.1246375
경기도,광명시,일직동,512-3,메가박스 컴포트 6관,영화관,37.4187526,126.8826531
서울특별시,서초구,서초동,1335 서초그랑자이,CGV Salon 서초,영화관,37.4890918,127.0261924
대구광역시,북구,연경동,1078-2,CGV대구연경 6관,영화관,35.9413527,128.6228515
경기도,용인시,기흥구,구갈동 679,기흥CGV 1관,영화관,37.2800352,127.119369
경상북도,영천시,완산동,1402 고은스퀘어,롯데시네마 영천관,,35.9630184,128.9407336
대전광역시,유성구,도룡동,3-1,돌비시네마관,영화관,36.3773621,127.3843144
경상북도,울진군,후포면,후포리 857-8,엠시네마 자동차극장,자동차극장,36.6938418,129.4432653
경기도,화성시,오산동,967-157,롯데시네마 동탄 6관,영화관,37.2003816,127.0973188
경상북도,경주시,황성동,800-22,롯데시네마 경주황성관 1관,영화관,35.8808088,129.2181376
충청남도,천안시,서북구,불당동 1485,CGV 천안시청 1관,영화관,36.8191203,127.1100756
경기도,하남시,덕풍동,831-1 현대지식산업센터 한강미사2차(25BL),롯데시네마 하남미사 6관,영화관,37.5588932,127.2041218
전라남도,해남군,해남읍,해리 355-1 작은영화관 청소년복합문화센터,해남시네마 1관,영화관,34.5692047,126.6059207
서울특별시,마포구,동교동,167-2 LC TOWER,CGV연남 3관(Suite Cinema),영화관,37.5576804,126.9258925
인천광역시,미추홀구,도화동,1011 더샵 인천스카이타워 1단지,CGV 인천도화점 2관,영화관,37.4700598,126.6651582
부산광역시,강서구,명지동,3432-3,롯데시네마 부산 명지점 5관,영화관,35.0928421,128.9116633
경기도,성남시,수정구,시흥동 296-3,롯데시네마 판교 2관,영화관,37.4137028,127.0982698
부산광역시,기장군,기장읍,시랑리 산 46,오시리아 자동차야외극장,자동차극장,35.1946151,129.2147839
강원특별자치도,삼척시,도계읍,전두리 58-8 NH농협은행 도계지점,도계작은영화관(가람영화관 3관),영화관,37.2297071,129.0431391
경상남도,함안군,가야읍,말산리 58-132 함안군작은영화관,함안군 작은영화관 1관,영화관,35.2775343,128.4107917
강원특별자치도,속초시,금호동,473-235,롯데시네마 속초1관,영화관,38.2032252,128.5888876
경기도,남양주시,별내동,1005,롯데시네마 별내 5관,영화관,37.6448492,127.1273961
충청북도,보은군,보은읍,이평리 116-1 결초보은 문화누리관,보은영화관 with 씨네큐 2관,영화관,36.4873684,127.7230735
경상북도,울진군,울진읍,읍내리 77-2 울진군청별관,울진작은영화관,영화관,36.9922362,129.4001324
충청북도,충주시,교현동,539-1,CGV 충주교현 1관,영화관,36.9810177,127.9278413
경상북도,경산시,중방동,897,CGV경산 1관,영화관,35.8330903,128.736729
경상북도,칠곡군,석적읍,포남리 608 칠곡호이영화관및청소년문화의집,칠곡호이영화관(씨네Q) 2관,영화관,36.0513775,128.4093277
충청남도,아산시,방축동,379,큐브시네마,자동차극장,36.7767035,126.9784631
전라남도,영광군,영광읍,남천리 87,영광 작은영화관,영화관,35.272394,126.5075757
강원특별자치도,삼척시,성남동,173-3 가람영화관,가람영화관 2관,영화관,37.4399616,129.1583456
전라남도,함평군,함평읍,내교리 828-56 황금박쥐관·나비관 영상관,함평자동차극장,자동차극장,35.0588456,126.5226385
경기도,김포시,풍무동,202-1,CGV김포 6관,영화관,37.6070147,126.7235567
전라북도,순창군,순창읍,남계리 471 작은 영화관,천재의 공간 영화산책 1관,영화관,35.3740775,127.1447999
충청남도,당진시,수청동,1041,롯데시네마 당진 1관,영화관,36.8872895,126.6466592
서울특별시,서대문구,연희동,194-25,라이카시네마 S관,영화관,37.5651782,126.9309402
경상남도,하동군,하동읍,읍내리 237-13,하동 영화관 1관,영화관,35.0692238,127.7492939
인천광역시,연수구,송도동,8-21 송도타임스페이스,CGV송도타임스페이스 3관,영화관,37.3840928,126.6419245
경기도,하남시,망월동,1100 힐스테이트 미사역 그랑파사쥬(12-1BL),CGV하남미사 7관,영화관,37.5637984,127.1917751
경기도,양주시,장흥면,일영리 44-18,장흥 자동차극장 2관,자동차극장,37.7245507,126.9504799
강원특별자치도,횡성군,횡성읍,읍하리 281-1 횡성시네마,횡성시네마 2관,영화관,37.4914145,127.9784785
경기도,남양주시,다산동,6141 현대프리미엄아울렛 SPACE1 3~5층,메가박스중앙(주)남양주현대아울렛스페이스원지점 4관,영화관,37.616102,127.1527218
전라북도,전주시,덕진구,장동 1111 전북혁신도시 더 M city 센텀,메가박스 전주혁신점 5관,영화관,35.8390163,127.060152
경상북도,영양군,영양읍,서부리 2-15 영양문화원,영양 작은영화관,영화관,36.6634989,129.1175735
전라북도,진안군,진안읍,군하리 143 마이골작은영화관,마이골작은영화관 1관,영화관,35.7892312,127.423103
