Office_Name,County,City,Address,Latitude,Longitude
서울지방우정청,서울특별시,종로구,"종로 6 (서린동, 서울지방우정청)",37.5698231,126.9781051
동국대학교우편취급국,서울특별시,중구,"필동로1길 30 (장충동2가,동국대학교)",37.5582582,127.0001869
서울소공동우체국,서울특별시,중구,남대문로1길 34 (북창동),37.5625788,126.9775945
서울신당1동우편취급국,서울특별시,중구,다산로29길 23 (신당동),37.5612341,127.0126897
서울신당동우체국,서울특별시,중구,다산로 128-8 (신당동),37.5548943,127.0113012
서울신당현대우편취급국,서울특별시,중구,다산로36나길 7 (신당동),37.5605415,127.0195453
서울역전우체국,서울특별시,중구,통일로 21 (봉래동2가),37.5575875,126.9714134
서울을지로4가우체국,서울특별시,중구,을지로 154-2 (을지로4가),37.5661993,126.9951756
서울중앙우체국,서울특별시,중구,소공로 70 (충무로1가),37.5615629,126.9821154
서울충무로2가우체국,서울특별시,중구,삼일대로6길 5 (충무로2가),37.562547,126.9893235
서울태평로우체국,서울특별시,중구,칠패로 42 (봉래동1가),37.5594488,126.9735861
서울퇴계로5가우체국,서울특별시,중구,퇴계로 270 (장충동2가),37.562745,127.0016684
서울회현동우편취급국,서울특별시,중구,퇴계로6길 18 (남창동),37.5574259,126.9784135
서울흥인동우체국,서울특별시,중구,다산로 253 (흥인동),37.565656,127.0159219
광화문우체국,서울특별시,종로구,"종로 6 (서린동,광화문우체국)",37.5698231,126.9781051
상명대학교우편취급국,서울특별시,종로구,"홍지문2길 20 (홍지동,상명대학교)",37.6027666,126.9551533
서울내수동우편취급국,서울특별시,종로구,"새문안로3길 30, 지하121호",37.5727373,126.9733705
서울대학교병원우편취급국,서울특별시,종로구,대학로 101 (연건동),37.5797151,126.9990168
서울삼청동우체국,서울특별시,종로구,북촌로 112 (삼청동),37.586936,126.9850141
서울세검정우체국,서울특별시,종로구,세검정로 258 (신영동),37.6013978,126.9612853
서울숭인동우체국,서울특별시,종로구,지봉로 88 (숭인동),37.5780193,127.0155758
서울안국동우체국,서울특별시,종로구,율곡로 49 (안국동),37.576493,126.9847961
서울종로2가우체국,서울특별시,종로구,종로17길 8 (종로2가),37.5707233,126.9889815
서울종로5가우체국,서울특별시,종로구,종로 207-1 (종로5가),37.5711805,127.0008932
서울종로6가우편취급국,서울특별시,종로구,종로41길 36,37.5728892,127.0066139
서울창신1동우편취급국,서울특별시,종로구,종로 328 (창신동),37.5723812,127.0142974
서울창신2동우편취급국,서울특별시,종로구,"낙산길 198 (창신동,쌍용아파트)",37.5807661,127.0110855
서울통의동우체국,서울특별시,종로구,자하문로 30 (통의동),37.5787962,126.9718896
서울혜화동우체국,서울특별시,종로구,혜화로 1 (혜화동),37.585888,127.0007283
서울홍파동우편취급국,서울특별시,종로구,"송월길 99, 경희궁자이아파트 202동 상가 145호 (홍파동, 경희궁자이2단지)",37.5708754,126.9638824
성균관대학교우편취급국,서울특별시,종로구,"성균관로 25-2 (명륜3가,성균관대학교)",37.5879535,126.9921594
정부서울청사우편취급국,서울특별시,종로구,"세종대로 209 (세종로, 정부서울청사)",37.5749805,126.9751709
한국방송통신대학교우편취급국,서울특별시,종로구,대학로 86(동숭동),37.5793538,127.0033287
경찰청우편취급국,서울특별시,서대문구,"통일로 97 (미근동, 경찰청)",37.5633647,126.9674929
명지대학교우편취급국,서울특별시,서대문구,"거북골로 34 (남가좌동,명지대학교)",37.580597,126.9230255
서대문우체국,서울특별시,서대문구,"성산로20길 9(창천동,서대문우체국)",37.5608382,126.9320955
서울남가좌1동우편취급국,서울특별시,서대문구,모래내로 143 (남가좌동),37.5695278,126.9172637
서울독립문우편취급국,서울특별시,서대문구,독립문공원길 13 (현저동),37.5719126,126.9585393
서울모래내우체국,서울특별시,서대문구,거북골로 160 (북가좌동),37.5759833,126.9123375
서울미근동우편취급국,서울특별시,서대문구,"서소문로 21 (충정로3가,충정타워빌딩)",37.5598996,126.964101
서울신촌우체국,서울특별시,서대문구,신촌로 161 (대현동),37.5569318,126.9438923
서울연세대학교우체국,서울특별시,서대문구,연세로 50 (신촌동),37.5671131,126.9390292
서울연희동우체국,서울특별시,서대문구,증가로 12 (연희동),37.5695763,126.9316223
서울충정로우체국,서울특별시,서대문구,통일로 127 (충정로2가),37.5658602,126.966016
서울홍은2동우편취급국,서울특별시,서대문구,연희로 261-28 (홍은동),37.5798168,126.9345514
서울홍은미성우편취급국,서울특별시,서대문구,연희로41길 37 (홍은동),37.5903761,126.935241
서울홍제3동우편취급국,서울특별시,서대문구,간호대로 11-24 (홍제동),37.5958996,126.9480118
서울홍제동우체국,서울특별시,서대문구,통일로 419 (홍제동),37.5867116,126.9461098
이화여자대학교우편취급국,서울특별시,서대문구,"이화여대길 52 학생문화관 104호 (대현동, 이화여자대학교)",37.5617396,126.9472448
서강대학교우편취급국,서울특별시,마포구,"백범로 35 (신수동,서강대학교)",37.5517132,126.9410634
서울공덕2동우편취급국,서울특별시,마포구,마포대로14길 14-1 (공덕동),37.5483036,126.9561379
서울노고산동우편취급국,서울특별시,마포구,백범로1길 18 (노고산동),37.5546305,126.9379718
서울대흥동우편취급국,서울특별시,마포구,백범로17길 3(대흥동 198-1),37.5474418,126.9436609
서울도화동우편취급국,서울특별시,마포구,삼개로 24 용현빌딩(도화동 288-1),37.5380811,126.9472545
서울동교동우편취급국,서울특별시,마포구,신촌로4길 3 (동교동),37.5576869,126.9287595
서울마포우체국,서울특별시,마포구,"마포대로 89 (도화동, POSTTOWER)",37.5432405,126.9497967
서울망원동우편취급국,서울특별시,마포구,"망원로 49 ,1층 (망원동, 망원빌딩)",37.5569401,126.9022362
서울상암동우편취급국,서울특별시,마포구,월드컵북로 348 (상암동),37.5767334,126.8935385
서울상암디지털우체국,서울특별시,마포구,상암산로1길 75 (상암동),37.5806023,126.8832974
서울서교동우체국,서울특별시,마포구,양화로 62 (서교동),37.5503711,126.9156719
서울서부지방법원우체국,서울특별시,마포구,마포대로 174 (공덕동),37.5489952,126.9554886
서울성산2동우체국,서울특별시,마포구,월드컵북로 227 (성산동),37.5695661,126.9035077
서울성산동우체국,서울특별시,마포구,월드컵북로 112 (성산동),37.5633916,126.9138825
서울성산유원우편취급국,서울특별시,마포구,월드컵북로26길 17 (성산동),37.5674103,126.9111764
서울신수동우편취급국,서울특별시,마포구,신수로 46 (신수동),37.545736,126.934495
서울아현동우체국,서울특별시,마포구,신촌로 266 (아현동),37.5570846,126.9551484
서울용강동우편취급국,서울특별시,마포구,토정로 277 (용강동),37.5421941,126.940645
서울창전동우체국,서울특별시,마포구,독막로 109 (상수동),37.548146,126.9258756
서울갈현1동우편취급국,서울특별시,은평구,갈현로 277 (갈현동 434-4),37.6216642,126.9165869
서울갈현동우체국,서울특별시,은평구,서오릉로 190 (갈현동 489-5),37.61369,126.9125522
서울녹번동우편취급국,서울특별시,은평구,"진흥로 184-1 (녹번동, 대원빌딩)",37.6082488,126.9300529
서울대조동우체국,서울특별시,은평구,통일로71길 20(대조동 84-113),37.6128763,126.926721
서울불광2동우편취급국,서울특별시,은평구,통일로80길 15 (불광동 312-70),37.6203192,126.9221284
서울수색우체국,서울특별시,은평구,수색로 248 (수색동 101-7),37.5817602,126.8965598
서울신사미성우편취급국,서울특별시,은평구,은평터널로7길 2 (신사동 358),37.5925612,126.9061721
서울역촌동우편취급국,서울특별시,은평구,갈현로 94 (역촌동 50-55),37.606324,126.9107551
서울연신내우체국,서울특별시,은평구,연서로 306 (불광동 123-1),37.6226848,126.9275572
서울은평우체국,서울특별시,은평구,진관2로 29-8 (진관동 77),37.6354275,126.9206159
서울응암1동우체국,서울특별시,은평구,"은평로 170 (응암동,상현빌딩)",37.601101,126.9266658
서울응암동우체국,서울특별시,은평구,응암로 214 (응암동 576-37),37.5907821,126.9179192
경희대학교우편취급국,서울특별시,동대문구,"경희대로 26 (회기동,경희대학교)",37.5964494,127.0525009
동대문우체국,서울특별시,동대문구,"천호대로 4 (신설동, 117-23)",37.5749681,127.0239418
서울답십리우편취급국,서울특별시,동대문구,"황물로 103, 101호 (답십리동)",37.569628,127.051525
서울시립대학교우편취급국,서울특별시,동대문구,"서울시립대로 163, 서울시립대학교 자연과학관 (전농동)",37.583639,127.0588564
서울용두1동우편취급국,서울특별시,동대문구,"정릉천동로 58 상가 113호 (용두동,롯데캐슬피렌체아파트)",37.5772496,127.0357739
서울이문동우체국,서울특별시,동대문구,이문로 133 (이문동),37.5985345,127.0611811
서울장안2동우체국,서울특별시,동대문구,사가정로 240 (장안동),37.578587,127.0715823
서울장안동우체국,서울특별시,동대문구,한천로14길 53 (장안동),37.5668646,127.0657056
서울전농동우체국,서울특별시,동대문구,전농로 131 (전농동),37.5767556,127.0575406
서울제기2동우편취급국,서울특별시,동대문구,"안암로 86-1 1층 1호 (제기동, 서울제기2동우편취급국)",37.583518,127.0305937
서울제기동우체국,서울특별시,동대문구,고산자로 476 (제기동),37.5821386,127.0389184
서울청량리우체국,서울특별시,동대문구,홍릉로 10 (청량리동),37.5812886,127.0451464
서울휘경동우체국,서울특별시,동대문구,회기로 201 (휘경동),37.5903568,127.0581719
한국외국어대학교우편취급국,서울특별시,동대문구,"이문로 107 (이문동,한국외국어대학교)",37.5973078,127.0582878
서울망우1동우체국,서울특별시,중랑구,망우로 447 (망우동),37.600413,127.1016442
서울면목2동우편취급국,서울특별시,중랑구,중랑천로 64 (면목동),37.5910405,127.0733134
서울면목동우체국,서울특별시,중랑구,"면목로 344 (면목동,면목우체국)",37.5826026,127.088892
서울묵동우체국,서울특별시,중랑구,"동일로 895 (묵동,묵동우체국)",37.6103705,127.0774524
서울상봉1동우편취급국,서울특별시,중랑구,상봉중앙로1길 12 (상봉동),37.5996326,127.0874444
서울신내1동우편취급국,서울특별시,중랑구,"봉화산로 221 (신내동,동성타워프라자)",37.6079832,127.0973066
서울신내동우체국,서울특별시,중랑구,신내로17길 112 (신내동),37.6170579,127.090482
서울중랑우체국,서울특별시,중랑구,망우로 271 (상봉동),37.5959175,127.0828423
서울중화동우체국,서울특별시,중랑구,"동일로 784 (중화동,중화동우체국)",37.6005218,127.0800325
서울강동우체국,서울특별시,강동구,양재대로112길 57 (길동),37.5363089,127.1430813
서울강일동우체국,서울특별시,강동구,아리수로91길 12 (강일동),37.5647125,127.1734236
서울고덕동우체국,서울특별시,강동구,고덕로80길 8 (상일동),37.5561432,127.165174
서울고덕시영우편취급국,서울특별시,강동구,동남로81길 36 (고덕동),37.5601262,127.1547222
서울둔촌2동우편취급국,서울특별시,강동구,"양재대로102길 11 (둔촌동,광남캐스빌아파트)",37.5325834,127.1391049
서울명일동우체국,서울특별시,강동구,구천면로 424-9 (명일동),37.5503475,127.1455974
서울명일삼익우편취급국,서울특별시,강동구,"천중로51길 102 (명일동,금정빌딩)",37.5453737,127.1452155
서울명일현대우편취급국,서울특별시,강동구,"동남로71길 23 (명일동,한양아파트)",37.5514574,127.1547493
서울상일동우체국,서울특별시,강동구,상일로 9 (상일동),37.5479307,127.173106
서울성내1동우편취급국,서울특별시,강동구,성내로 67 (성내동),37.5279863,127.1276714
서울성내동우체국,서울특별시,강동구,양재대로 1309 (성내동),37.5234301,127.1342071
서울암사3동우편취급국,서울특별시,강동구,"고덕로27길 19 (암사동, 용성빌딩)",37.5557828,127.1375673
서울천호3동우편취급국,서울특별시,강동구,성안로 191 (천호동),37.5401195,127.1364924
서울천호동우체국,서울특별시,강동구,구천면로 188 (천호동),37.5407352,127.1255061
군인공제회우편취급국,서울특별시,강남구,남부순환로 2806 (도곡동),37.4891028,127.0529204
서울AID우편취급국,서울특별시,강남구,삼성로 635 (삼성동),37.5165525,127.0510481
서울강남우체국,서울특별시,강남구,개포로 619 (개포동),37.4935823,127.0781374
서울개포1동우체국,서울특별시,강남구,선릉로 36 (개포동),37.4830092,127.0605213
서울개포현대우편취급국,서울특별시,강남구,개포로17길 6 (개포동),37.4789846,127.0465292
서울논현2동우편취급국,서울특별시,강남구,언주로148길 31-1 (논현동),37.5212942,127.0370258
서울논현거평우편취급국,서울특별시,강남구,봉은사로 129 (논현동),37.5059195,127.028339
서울논현동우체국,서울특별시,강남구,학동로 212 (논현동),37.514067,127.0325316
서울대치4동우편취급국,서울특별시,강남구,"도곡로 413(삼환쏘굿주상복합) 101호 (대치동, 삼환SOGOOD)",37.4975765,127.0557518
서울대치동아우편취급국,서울특별시,강남구,역삼로71길 12 (대치동),37.5026688,127.0545839
서울대치우성우편취급국,서울특별시,강남구,남부순환로 2917 (대치동),37.4931523,127.059201
서울도곡서린우편취급국,서울특별시,강남구,"도곡로28길 8, 도곡1차아이파크 상가내",37.4923731,127.043449
서울도곡한신우편취급국,서울특별시,강남구,논현로38길 38- 4 2층 (도곡동),37.4853309,127.0448187
서울무역센터우체국,서울특별시,강남구,영동대로 513 (삼성동),37.5116621,127.0594274
서울미성우편취급국,서울특별시,강남구,압구정로 134 (신사동),37.5243554,127.023528
서울삼성2동우편취급국,서울특별시,강남구,삼성로107길 5(삼성동 120-1),37.5114517,127.0534723
서울삼성동우체국,서울특별시,강남구,선릉로 572 (삼성동),37.5095492,127.0444252
서울상록회관우체국,서울특별시,강남구,언주로 508 (역삼동),37.5039782,127.0429336
서울수서동우체국,서울특별시,강남구,광평로 303 (수서동),37.4887135,127.1050561
서울신사현대우편취급국,서울특별시,강남구,강남대로 620 (신사동),37.5171485,127.0197123
서울압구정우편취급국,서울특별시,강남구,압구정로 332 (신사동),37.5282481,127.0378507
서울역삼1동우체국,서울특별시,강남구,테헤란로 131 (역삼동),37.5000693,127.0329295
서울역삼2동우체국,서울특별시,강남구,역삼로 239 (역삼동),37.4977054,127.0425237
서울역삼성보우편취급국,서울특별시,강남구,선릉로 519 (역삼동),37.5058735,127.0480302
서울역삼우성우편취급국,서울특별시,강남구,테헤란로4길 46 (역삼동),37.4955423,127.0304041
서울역삼한라우편취급국,서울특별시,강남구,"봉은사로30길 42, 1층",37.5046819,127.0359012
서울영동시장우편취급국,서울특별시,강남구,"학동로4길 8, 2F (논현동)",37.5109284,127.0228883
서울은마아파트우체국,서울특별시,강남구,"삼성로 212 (대치동,은마아파트)",37.4977415,127.0650701
서울일원동우체국,서울특별시,강남구,양재대로55길 20 (일원동),37.4922045,127.0878227
서울일원본동우체국,서울특별시,강남구,광평로20길 8 (일원동),37.4830887,127.0866068
서울청담우편취급국,서울특별시,강남구,학동로101길 26 (청담동),37.5224875,127.0577062
서울청담청하우편취급국,서울특별시,강남구,도산대로 507 (청담동),37.5247587,127.0485533
서울해청아파트우편취급국,서울특별시,강남구,학동로56길 45 (삼성동),37.5143582,127.0434184
