Center_Name,County,City,Address,Latitude,Longitude
삼광자동차정비공업사,경기도,안성시,보개원삼로 48,37.0082599,127.2835899
우주자동차정비공업사,경기도,안성시,보개원삼로 65,37.0099586,127.2842865
상용자동차정비공업사,경기도,안성시,장기로 126,37.0039655,127.2766668
우성자동차정비공업사,경기도,안성시,죽산면 죽주로 210,37.0731761,127.4190235
쌍용모터스,경기도,안성시,안성맞춤대로 1216,37.0209984,127.2675699
근호자동차공업사,경기도,안성시,양성면 만세로 639-19,37.0585655,127.1923302
두원대자동차공업사,경기도,안성시,"남파로 101, 207동(당왕동)",37.0165395,127.2614959
제일자동차중기공장  ㈜,경기도,안성시,안성맞춤대로 1353,37.032224,127.2612521
부산자동차정비공업사,경기도,안성시,서동대로 5100,37.021976,127.2640658
재현자동차정비공업사,경기도,안성시,중앙로 322,37.0096192,127.2631982
유일모터스,경기도,안성시,안성맞춤대로 1242-5,37.023746,127.2665186
K모터스,경기도,안성시,미양로 956,37.0015742,127.2671307
대우자동차바로정비,경기도,안성시,대덕면 중앙로 45,37.0137488,127.234407
큐원모터스,경기도,안성시,원곡면 청원로 1851,37.0382585,127.1243813
프로모터스,경기도,안성시,아양1로 22-5,37.0049976,127.2626389
21세기자동차   공업사,경기도,안성시,양성면 옥단길 8,37.0601473,127.1928525
창대자동차공업사,경기도,안성시,원곡면 산직길 162,37.0734433,127.1565285
남부자동차 정비공업사,경기도,안성시,원곡면 만세로 1445,37.0343024,127.1271606
드림카프라자,경기도,안성시,공도읍 서동대로 4010,36.9974108,127.1514216
양성자동차   정비소,경기도,안성시,양성면 교동길 3,37.0644222,127.1969606
대명공업사,경기도,안성시,원곡면 지문로 513,37.0731646,127.1558404
산정자동차정비공업사,경기도,안성시,일죽면 서동대로 7267-1,37.0877515,127.4554867
코리아모터스(주),경기도,안성시,안성맞춤대로 1200,37.0196251,127.2678217
르노코리아공도정비사업소(주),경기도,안성시,공도읍 원승두길 10,36.9968136,127.1538906
고삼자동차공업사,경기도,안성시,고삼면 안성맞춤대로 1955,37.0842776,127.2606882
케이지모빌리티 안성서비스프라자,경기도,안성시,중앙로 127,37.0127981,127.2432373
애니카랜드 신건지점,경기도,안성시,중앙로 193,37.0131993,127.2505453
죽산자동차정비㈜,경기도,안성시,죽산면 죽주로 73,37.0731204,127.4042403
안성고속카센터,경기도,안성시,대덕면 서동대로 4889,37.020788,127.2412392
안일자동차정비공업사,경기도,안성시,안성맞춤대로 1254,37.0243054,127.2657722
대명자동차정비공업사,경기도,안성시,서동대로 5122,37.0213589,127.2666196
한국타이어 안성공도점,경기도,안성시,공도읍 팔머리길 95,36.9978199,127.1619493
명진자동차정비공업사,경기도,안성시,죽산면 서부길 4,37.0742343,127.4202424
대강자동차정비공업사,경기도,안성시,안성맞춤대로 1289,37.0271704,127.2645719
금호자동차정비공업사,경기도,안성시,공도읍 덕봉서원로 13,37.0056036,127.1696026
일오삼자동차정비공업사,경기도,안성시,일죽면 서동대로 7461,37.0942733,127.4737709
그린자동차정비공업사,경기도,안성시,안성맞춤대로 1335,37.0309069,127.2624351
거성자동차정비공업사,경기도,안성시,안성맞춤대로 1236,37.0229356,127.2665755
오토코리아모터스,경기도,안성시,안성맞춤대로 930,36.9970495,127.270504
남산자동차정비공업사,경기도,안성시,삼죽면 서동대로 6353,37.0593365,127.3675268
대성자동차정비공업사,경기도,안성시,죽산면 죽주로 163,37.0725292,127.4143219
차사랑자동차정비공업사,경기도,안성시,안성맞춤대로 1287,37.0268332,127.2646789
애니카랜드 공도점,경기도,안성시,공도읍 공도4로 45,37.003662,127.1695553
안성모터스,경기도,안성시,미양면 서운로 644,36.968875,127.2626391
빙고카에어컨 자동차정비,경기도,안성시,안성맞춤대로 1322,37.0300658,127.2635693
한국오토써비스,경기도,안성시,안성맞춤대로 923,36.9963352,127.2697433
오너자동차써비스,경기도,안성시,안성맞춤대로 953,36.9988034,127.2686136
죽산자동차정비공업사,경기도,안성시,죽산면 서동대로 7001,37.0769831,127.4301474
신도시자동차정비공업사,경기도,안성시,대덕면 서동대로 5051,37.0235256,127.2589708
유성자동차정비공업사,경기도,안성시,학자로 9,37.0112204,127.2689257
한일오토서비스,경기도,안성시,공도읍 공도로 102,36.9999848,127.1722371
만도자동차정비공업사,경기도,안성시,안성맞춤대로 836,36.9886057,127.2696256
태양자동차정비공업사,경기도,안성시,배티로 1148-3,37.0042032,127.277872
기현자동차정비공업사,경기도,안성시,장기로60번길 24-10,37.0037898,127.2688532
금강자동차정비공업사,경기도,안성시,공도읍 서동대로 4344,37.0051025,127.1847831
청룡자동차정비공업㈜,경기도,안성시,서운로 806,36.9822093,127.2686426
현대모터스㈜,경기도,안성시,대덕면 만세로 37,37.0237041,127.2395447
