County,City,Town,Village,Housing_Type,Official_Land_Value,Actual_Land_Value
강원특별자치도,강릉시,견소동,,아파트,629050.0,22795.0
강원특별자치도,강릉시,교동,,아파트,498478.0,20659.0
강원특별자치도,강릉시,교동,,연립/다세대,365217.0,14333.0
강원특별자치도,강릉시,남문동,,아파트,546700.0,17100.0
강원특별자치도,강릉시,내곡동,,아파트,475427.0,14772.0
강원특별자치도,강릉시,내곡동,,연립/다세대,345800.0,7190.0
강원특별자치도,강릉시,노암동,,아파트,428438.0,11962.0
강원특별자치도,강릉시,노암동,,연립/다세대,319329.0,9409.0
강원특별자치도,강릉시,대전동,,연립/다세대,172500.0,29150.0
강원특별자치도,강릉시,사천면,사천진리,아파트,166100.0,14912.0
강원특별자치도,강릉시,사천면,사천진리,연립/다세대,335800.0,7900.0
강원특별자치도,강릉시,성남동,,아파트,1076000.0,14300.0
강원특별자치도,강릉시,성산면,산북리,연립/다세대,114900.0,23000.0
강원특별자치도,강릉시,송정동,,아파트,487180.0,30353.0
강원특별자치도,강릉시,송정동,,연립/다세대,409867.0,15119.0
강원특별자치도,강릉시,연곡면,영진리,아파트,364078.0,15336.0
강원특별자치도,강릉시,연곡면,영진리,연립/다세대,372800.0,13328.0
강원특별자치도,강릉시,옥계면,현내리,아파트,105900.0,4850.0
강원특별자치도,강릉시,옥계면,현내리,연립/다세대,106700.0,9508.0
강원특별자치도,강릉시,옥천동,,아파트,444450.0,14250.0
강원특별자치도,강릉시,옥천동,,연립/다세대,795000.0,5500.0
강원특별자치도,강릉시,유천동,,아파트,712700.0,49294.0
강원특별자치도,강릉시,유천동,,연립/다세대,322600.0,45312.0
강원특별자치도,강릉시,입암동,,아파트,481587.0,14409.0
강원특별자치도,강릉시,입암동,,연립/다세대,405800.0,18200.0
강원특별자치도,강릉시,저동,,아파트,510100.0,28358.0
강원특별자치도,강릉시,주문진읍,교항리,아파트,316666.0,12379.0
강원특별자치도,강릉시,주문진읍,교항리,연립/다세대,303344.0,8890.0
강원특별자치도,강릉시,주문진읍,주문리,아파트,413486.0,16969.0
강원특별자치도,강릉시,주문진읍,주문리,연립/다세대,200167.0,11513.0
강원특별자치도,강릉시,죽헌동,,연립/다세대,150400.0,17500.0
강원특별자치도,강릉시,지변동,,아파트,226300.0,7640.0
강원특별자치도,강릉시,지변동,,연립/다세대,645600.0,39500.0
강원특별자치도,강릉시,초당동,,아파트,481256.0,15266.0
강원특별자치도,강릉시,포남동,,아파트,507209.0,12879.0
강원특별자치도,강릉시,포남동,,연립/다세대,448712.0,10430.0
강원특별자치도,강릉시,홍제동,,아파트,604522.0,23821.0
강원특별자치도,강릉시,홍제동,,연립/다세대,319940.0,12562.0
강원특별자치도,강릉시,회산동,,아파트,442200.0,31716.0
강원특별자치도,고성군,간성읍,상리,아파트,276167.0,9568.0
강원특별자치도,고성군,간성읍,신안리,아파트,243550.0,18918.0
강원특별자치도,고성군,간성읍,신안리,연립/다세대,230000.0,5900.0
강원특별자치도,고성군,거진읍,거진리,아파트,207350.0,12894.0
강원특별자치도,고성군,거진읍,거진리,연립/다세대,138900.0,17250.0
강원특별자치도,고성군,거진읍,반암리,연립/다세대,196800.0,14000.0
강원특별자치도,고성군,거진읍,송포리,아파트,170000.0,29808.0
강원특별자치도,고성군,죽왕면,문암진리,연립/다세대,247600.0,16000.0
강원특별자치도,고성군,죽왕면,삼포리,연립/다세대,48500.0,3850.0
강원특별자치도,고성군,토성면,봉포리,아파트,237500.0,25381.0
강원특별자치도,고성군,토성면,천진리,아파트,210900.0,29516.0
강원특별자치도,고성군,토성면,청간리,아파트,370600.0,16212.0
강원특별자치도,동해시,구미동,,아파트,323400.0,6721.0
강원특별자치도,동해시,구미동,,연립/다세대,242500.0,5989.0
강원특별자치도,동해시,귀운동,,연립/다세대,34101.0,1400.0
강원특별자치도,동해시,단봉동,,아파트,163400.0,6325.0
강원특별자치도,동해시,대진동,,아파트,350400.0,17425.0
강원특별자치도,동해시,동회동,,아파트,245101.0,14974.0
강원특별자치도,동해시,묵호진동,,아파트,124750.0,6025.0
강원특별자치도,동해시,묵호진동,,연립/다세대,569300.0,6300.0
강원특별자치도,동해시,발한동,,아파트,171700.0,8738.0
강원특별자치도,동해시,발한동,,연립/다세대,170549.0,4628.0
강원특별자치도,동해시,부곡동,,아파트,185769.0,7177.0
강원특별자치도,동해시,부곡동,,연립/다세대,186208.0,6019.0
강원특별자치도,동해시,북평동,,아파트,260825.0,11658.0
강원특별자치도,동해시,북평동,,연립/다세대,269200.0,8800.0
강원특별자치도,동해시,송정동,,아파트,460500.0,10500.0
강원특별자치도,동해시,쇄운동,,아파트,203825.0,8082.0
강원특별자치도,동해시,쇄운동,,연립/다세대,227700.0,5125.0
강원특별자치도,동해시,용정동,,아파트,209600.0,7025.0
강원특별자치도,동해시,용정동,,연립/다세대,206750.0,10983.0
강원특별자치도,동해시,이도동,,아파트,281233.0,14447.0
강원특별자치도,동해시,이도동,,연립/다세대,154000.0,6000.0
강원특별자치도,동해시,이로동,,아파트,86500.0,3413.0
강원특별자치도,동해시,이로동,,연립/다세대,79600.0,2775.0
강원특별자치도,동해시,천곡동,,아파트,416536.0,13009.0
강원특별자치도,동해시,천곡동,,연립/다세대,331211.0,6306.0
강원특별자치도,동해시,평릉동,,아파트,393480.0,24447.0
강원특별자치도,동해시,효가동,,아파트,211880.0,10435.0
강원특별자치도,삼척시,갈천동,,아파트,365800.0,17144.0
강원특별자치도,삼척시,건지동,,아파트,292000.0,21888.0
강원특별자치도,삼척시,교동,,아파트,417710.0,14057.0
강원특별자치도,삼척시,교동,,연립/다세대,288800.0,26500.0
강원특별자치도,삼척시,근덕면,교가리,아파트,127900.0,5150.0
강원특별자치도,삼척시,근덕면,장호리,연립/다세대,340800.0,8000.0
강원특별자치도,삼척시,남양동,,아파트,462204.0,9071.0
강원특별자치도,삼척시,남양동,,연립/다세대,689927.0,5450.0
강원특별자치도,삼척시,당저동,,아파트,784500.0,8400.0
강원특별자치도,삼척시,당저동,,연립/다세대,380317.0,6775.0
강원특별자치도,삼척시,도계읍,늑구리,연립/다세대,17746.0,2000.0
강원특별자치도,삼척시,도계읍,도계리,아파트,97300.0,8506.0
강원특별자치도,삼척시,도계읍,도계리,연립/다세대,89200.0,3155.0
강원특별자치도,삼척시,마달동,,아파트,154833.0,9525.0
강원특별자치도,삼척시,마달동,,연립/다세대,146100.0,2367.0
강원특별자치도,삼척시,사직동,,아파트,206400.0,6007.0
