School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
미성중학교,중학교,서울특별시,관악구,신림동,745-24,37.47538281,126.9120889
인지중학교,중학교,충청남도,서산시,인지면,야당리 545-10,36.75002745,126.4268751
송내중앙중학교,중학교,경기도,동두천시,송내동,665,37.88842057,127.0526199
대성여자중학교,중학교,광주광역시,남구,진월동,산218-1,35.1194595,126.8929965
도담중학교,중학교,세종특별자치시,도담동,644,,36.51556773,127.263436
남창중학교,중학교,울산광역시,울주군,온양읍,동상리 859-1,35.41888626,129.2871779
광시중학교,중학교,충청남도,예산군,광시면,광시리 95-5,36.54913524,126.7722719
황지중학교,중학교,강원특별자치도,태백시,황지동,59-163 번지,37.16683116,128.9869546
장충중학교,중학교,서울특별시,중구,신당동,432-460,37.5535149,127.006415
대전문지중학교,중학교,대전광역시,유성구,전민동,460-3,36.39698677,127.3990962
천성중학교,중학교,충청남도,천안시,동남구,유량동 393-20,36.81268681,127.1740363
진잠중학교,중학교,대전광역시,유성구,원내동,404,36.29688109,127.3176177
한울안중학교,중학교,대구광역시,달성군,현풍읍,지리 988,35.66893799,128.4308448
하장중학교,중학교,강원특별자치도,삼척시,하장면,광동리 138 번지,37.3524848,128.934428
용운중학교,중학교,경상북도,상주시,공성면,산현리 868-24,36.27931281,128.0942764
대왕중학교,중학교,서울특별시,강남구,수서동,750,37.48346033,127.0873381
구서여자중학교,중학교,부산광역시,금정구,구서동,704,35.24928062,129.085894
목포하당중학교,중학교,전라남도,목포시,옥암동,963,34.81038421,126.4286651
조천중학교,중학교,제주특별자치도,제주시,조천읍,신촌리 2508-1,33.53301443,126.6164767
원주여자중학교,중학교,강원특별자치도,원주시,명륜동,204 번지,37.33941484,127.9460541
부여중학교,중학교,충청남도,부여군,부여읍,동남리 463,36.27799431,126.9141287
나산실용예술중학교,중학교,전라남도,함평군,나산면,삼축리 1184-1,35.1160458,126.6027188
대전문정중학교,중학교,대전광역시,서구,둔산동,1806,36.35547776,127.4015487
신아중학교,중학교,대구광역시,동구,신암동,28,35.8882462,128.634902
위례중학교,중학교,경기도,하남시,학암동,664,37.477211,127.1483118
화명중학교,중학교,부산광역시,북구,화명동,2326,35.22639155,129.0116866
삼랑진중학교,중학교,경상남도,밀양시,삼랑진읍,송지리 173-1,35.40106868,128.8428599
양동중학교,중학교,서울특별시,양천구,목동,600-6,37.54836875,126.8687172
지세포중학교,중학교,경상남도,거제시,일운면,지세포리 980,34.827848,128.7031873
일동중학교,중학교,광주광역시,북구,일곡동,848-4,35.20274166,126.8947545
가회중학교,중학교,경상남도,합천군,가회면,덕촌리 308-1,35.43643396,128.0323236
영일중학교,중학교,경상북도,포항시,남구,연일읍 동문리 47-1,35.99550078,129.353469
부산진중학교,중학교,부산광역시,부산진구,범전동,227-1,35.16369011,129.0550300323
선산중학교,중학교,경상북도,구미시,선산읍,이문리 709,36.24079585,128.2924806
천안성정중학교,중학교,충청남도,천안시,서북구,성정동 1152,36.82972477,127.136256
수비중학교,중학교,경상북도,영양군,수비면,발리리 500,36.76502287,129.2037522
대신중학교,중학교,경기도,여주시,대신면,후포리 258-2,37.36353482,127.6081153
대림중학교,중학교,서울특별시,영등포구,대림동,959,37.49231887,126.9074673
새본리중학교,중학교,대구광역시,달서구,본리동,330-1,35.83942395,128.5409677
대전동화중학교,중학교,대전광역시,유성구,관평동,1281,36.42280063,127.3894688
부천동중학교,중학교,경기도,부천시,소사구,괴안동 171-15,37.48077502,126.8102137
오정중학교,중학교,대전광역시,대덕구,오정동,327-2,36.35152036,127.4080876
공도중학교,중학교,경기도,안성시,공도읍,만정리 418-1,37.00225731,127.173626
연천중학교,중학교,경기도,연천군,연천읍,현가리 41-1,38.10822391,127.0766731
김포한가람중학교,중학교,경기도,김포시,구래동,6873-6,37.6493725,126.6234637
대명중학교,중학교,충청남도,보령시,명천동,69-8,36.34076327,126.6199677
송정중학교,중학교,광주광역시,광산구,송정동,785,35.14137231,126.7963268
백사중학교,중학교,경기도,이천시,백사면,신대리 20-1,37.32371489,127.4739059
순창중학교,중학교,전북특별자치도,순창군,순창읍,남계리 111,35.37692157,127.1523716
강릉중학교,중학교,강원특별자치도,강릉시,입암동,497 번지,37.75361977,128.9089302
거성중학교,중학교,부산광역시,연제구,거제동,643-173,35.18274207,129.0666625
이천양정여자중학교,중학교,경기도,이천시,관고동,77,37.284666,127.436821
분포중학교,중학교,부산광역시,남구,용호동,176-67,35.12952407,129.114431
예산여자중학교,중학교,충청남도,예산군,예산읍,발연리 135-5,36.69854439,126.8349439
도고중학교,중학교,충청남도,아산시,도고면,시전리 159,36.74268762,126.9018017
함라중학교,중학교,전북특별자치도,익산시,함라면,금성리 330,36.06465913,126.9168739
갑천중학교,중학교,강원특별자치도,횡성군,갑천면,매일리 600 번지,37.56069062,128.1143746
부산국제중학교,중학교,부산광역시,부산진구,당감동,897,35.167292,129.0234526
단성중학교,중학교,경상남도,산청군,단성면,강누리 41-1,35.306392,127.9643023
점동중학교,중학교,경기도,여주시,점동면,청안리 122,37.20577103,127.6639193
선유중학교,중학교,경기도,파주시,문산읍,선유리 1395,37.86690717,126.8022181
조종중학교,중학교,경기도,가평군,조종면,현리 438,37.81435909,127.3466138
태화중학교,중학교,울산광역시,남구,야음동,10-1,35.53194177,129.3395348
은행중학교,중학교,경기도,성남시,중원구,은행동 550-6,37.45703332,127.1725674
영흥중학교,중학교,전라남도,목포시,상동,55,34.80525243,126.416556
상동중학교,중학교,경기도,부천시,원미구,상동 572-3,37.49815628,126.7449141
근명중학교,중학교,경기도,안양시,만안구,안양동 708-197,37.39354124,126.9200136
마포중학교,중학교,서울특별시,강서구,등촌동,82-1,37.55998867,126.8531334
남지중학교,중학교,경상남도,창녕군,남지읍,마산리 894-6,35.38919794,128.4690005
대전도안중학교,중학교,대전광역시,서구,도안동,1367,36.31797152,127.3457942
창천중학교,중학교,서울특별시,마포구,노고산동,33-1,37.55491782,126.9392951
경상중학교,중학교,대구광역시,남구,대명동,1819-11,35.85261994,128.5853705
시흥가온중학교,중학교,경기도,시흥시,장현동,423,37.3734214,126.795427
합천여자중학교,중학교,경상남도,합천군,합천읍,합천리 943-1,35.56286956,128.1546743
천안용곡중학교,중학교,충청남도,천안시,동남구,용곡동 476-9,36.78921169,127.1332935
해솔중학교,중학교,경기도,파주시,목동동,661,37.72746421,126.7458749
동대문중학교,중학교,서울특별시,동대문구,전농동,322-17,37.57452207,127.0519943
소명여자중학교,중학교,경기도,부천시,원미구,소사동 2-7,37.48782298,126.7913100326
거제중앙중학교,중학교,경상남도,거제시,고현동,1070,34.894479,128.6358219
설온중학교,중학교,강원특별자치도,속초시,노학동,산 7-1,38.19850893,128.5668924
논산대건중학교,중학교,충청남도,논산시,등화동,5,36.18480394,127.0784383
승영중학교,중학교,인천광역시,강화군,삼산면,석모리 302,37.70486952,126.3209456
금구중학교,중학교,전북특별자치도,김제시,금구면,금구리 163-1,35.7744982,127.0125018
복자여자중학교,중학교,충청남도,천안시,동남구,성황동 9-1,36.81554363,127.1523399
공주중학교,중학교,충청남도,공주시,금성동,85,36.46404495,127.1178388
서전중학교,중학교,충청북도,진천군,덕산읍,두촌리 2497,36.90416004,127.529998
성환중학교,중학교,충청남도,천안시,서북구,성환읍 성환리 358-1,36.91469553,127.1310809
용마중학교,중학교,서울특별시,중랑구,면목동,378-2,37.5745074,127.0862687
김포신곡중학교,중학교,경기도,김포시,고촌읍,신곡리 836-3,37.59936807,126.7649552
순천이수중학교,중학교,전라남도,순천시,생목동,24,34.94911835,127.5033878
계남중학교,중학교,경기도,부천시,원미구,중동 1184-5,37.49738932,126.7735021
중앙중학교,중학교,경기도,안산시,단원구,고잔동 673-2,37.32246042,126.8402219
새너울중학교,중학교,충청북도,영동군,황간면,신흥리 217-6,36.23697638,127.903049
성명여자중학교,중학교,대구광역시,중구,동산동,206,35.86838328,128.584035
천상중학교,중학교,울산광역시,울주군,범서읍,천상리 768-3,35.56021989,129.2208566
천안백석중학교,중학교,충청남도,천안시,서북구,백석동 903,36.819154,127.121852
완주중학교,중학교,전북특별자치도,완주군,봉동읍,낙평리 813-1,35.93485855,127.1603317
성사중학교,중학교,경기도,고양시,덕양구,성사동 549-4,37.6637849,126.8429581
한백중학교,중학교,경기도,화성시,영천동,698,37.20656172,127.1141301
거문중학교,중학교,전라남도,여수시,삼산면,덕촌리 811,34.0253557,127.303029
소담중학교,중학교,세종특별자치시,소담동,9-200,,36.482018,127.3016
신양중학교,중학교,서울특별시,광진구,자양동,57-8,37.53365227,127.063431
새롬중학교,중학교,세종특별자치시,새롬동,341-120,,36.481324,127.249634
여천중학교,중학교,전라남도,여수시,선원동,135,34.76771622,127.6527598
문현여자중학교,중학교,부산광역시,남구,문현동,490,35.14216822,129.0684159
대화중학교,중학교,강원특별자치도,평창군,대화면,대화리 476 번지,37.49329552,128.4599834
해성중학교,중학교,경상남도,거제시,두모동,360-3,34.87058102,128.7243847
천천중학교,중학교,전북특별자치도,장수군,천천면,춘송리 453-1,35.73621655,127.5386322
야로중학교,중학교,경상남도,합천군,야로면,구정리 303,35.70497972,128.1672801
당진중학교,중학교,충청남도,당진시,채운동,319,36.892722,126.6213256
청일중학교,중학교,강원특별자치도,횡성군,청일면,유동리 1060 번지,37.58260283,128.146847
한산중학교,중학교,서울특별시,강동구,둔촌동,161-1,37.52890274,127.1403034
완산중학교,중학교,전북특별자치도,전주시,완산구,평화동1가 500-1,35.79206908,127.1383085
여강중학교,중학교,경기도,여주시,북내면,신접리 200,37.32944528,127.6834973
덕산중학교,중학교,충청북도,진천군,덕산읍,용몽리 566-1,36.90728357,127.5104128
대전태평중학교,중학교,대전광역시,중구,태평동,343-3,36.32955743,127.3974766
재현중학교,중학교,서울특별시,노원구,중계동,129-2,37.661264,127.0807998
대전장대중학교,중학교,대전광역시,유성구,장대동,361,36.36055807,127.3387935
한국바둑중학교,중학교,전라남도,순천시,주암면,구산리 760,35.0748151,127.2403264
고흥도화중학교,중학교,전라남도,고흥군,도화면,당오리 474-2,34.51516585,127.3200152
신길중학교,중학교,서울특별시,영등포구,신길동,4948,37.502019,126.9154741
이천송정중학교,중학교,경기도,이천시,송정동,375-31,37.29352876,127.4331835
순천월전중학교,중학교,전라남도,순천시,월등면,농선리 108-3,35.10003175,127.4253509
산청중학교,중학교,경상남도,산청군,산청읍,옥산리747,35.41093137,127.8715069
진해냉천중학교,중학교,경상남도,창원시,진해구,자은동 113,35.15614925,128.7197791
덕은한강중학교,중학교,경기도,고양시,덕양구,덕은동 335-4,37.582117,126.868609
통영여자중학교,중학교,경상남도,통영시,도천동,341-1,34.84135128,128.4097587
빛가온중학교,중학교,경기도,광명시,일직동,527,37.41214809,126.8837092
동부중학교,중학교,경기도,하남시,덕풍동,450-1,37.53549666,127.202479
서대구중학교,중학교,대구광역시,서구,평리동,509,35.88031044,128.556626
양덕중학교,중학교,경상북도,포항시,북구,양덕동 2027,36.08420566,129.4071746
온양신정중학교,중학교,충청남도,아산시,실옥동,191-21,36.78851621,126.9879794
동신중학교,중학교,서울특별시,강동구,천호동,447-9,37.53676952,127.1343666
동국대학교사범대학부속금산중학교,중학교,전북특별자치도,김제시,금산면,쌍용리 470,35.7177326,126.9994481
용호중학교,중학교,부산광역시,남구,용호동,512,35.119309,129.1169769
천안동성중학교,중학교,충청남도,천안시,서북구,성환읍 매주리 435-8,36.90531672,127.1302003
평해중학교,중학교,경상북도,울진군,평해읍,평해리 413,36.72891434,129.4429677
호수돈여자중학교,중학교,대전광역시,중구,선화동,349-10,36.32671701,127.4144851
대전남선중학교,중학교,대전광역시,서구,월평동,220,36.36331761,127.372732
예봉중학교,중학교,경기도,남양주시,와부읍,덕소리 259,37.59534936,127.2204412
곤명중학교,중학교,경상남도,사천시,곤명면,송림리 87,35.119467,127.9522657
목포중앙여자중학교,중학교,전라남도,목포시,상동,899,34.80119163,126.4191907
한숲중학교,중학교,경기도,용인시,처인구,남사면 완장리 950,37.157852,127.1730187
구지중학교,중학교,대구광역시,달성군,구지면,창리 1441,35.66055732,128.4196709
미리벌중학교,중학교,경상남도,밀양시,청도면,인산리 667-1,35.54366486,128.6385329
새뜸중학교,중학교,세종특별자치시,새롬동,산4,,36.486819,127.252458
상현중학교,중학교,경기도,용인시,수지구,상현동 1098,37.29949159,127.0709899
공주북중학교,중학교,충청남도,공주시,반죽동,4-1,36.4558871,127.1214141
전의중학교,중학교,세종특별자치시,전의면,읍내리,98-1,36.68165619,127.1975871
신철원중학교,중학교,강원특별자치도,철원군,갈말읍,지포리 85 번지,38.14706658,127.3038496
연평중학교,중학교,인천광역시,옹진군,연평면,연평리 437-1,37.66412421,125.7010233
상주중학교,중학교,경상남도,남해군,상주면,상주리 590-1,34.72116206,127.9911391
고산중학교,중학교,전북특별자치도,완주군,고산면,읍내리 744-1,35.97867192,127.2090497
감천중학교,중학교,부산광역시,사하구,감천동,632-4,35.09221051,129.0001101
부천부곡중학교,중학교,경기도,부천시,원미구,중동 1213,37.49463546,126.7745235
반곡중학교,중학교,강원특별자치도,원주시,반곡동,1450-12,37.33642707,127.9730108
미원중학교,중학교,충청북도,청주시,상당구,미원면 미원리 281-3,36.6362374,127.6612932
서운중학교,중학교,인천광역시,계양구,서운동,55-146,37.52615511,126.744796
