School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
대전용산초등학교,초등학교,대전광역시,유성구,용산동,662,36.42015397,127.3950755
상당초등학교,초등학교,부산광역시,해운대구,좌동,1405,35.179656,129.1760308
물메초등학교,초등학교,제주특별자치도,제주시,애월읍,수산리 1033,33.46618837,126.3914319
마곡초등학교,초등학교,충청남도,공주시,사곡면,운암리 459,36.55895547,127.0177427
부당초등학교,초등학교,전북특별자치도,무주군,부남면,가당리 448-2,36.01559786,127.5802828
천안성성초등학교,초등학교,충청남도,천안시,서북구,성성동 698,36.84095925,127.1359426
청목초등학교,초등학교,경기도,화성시,청계동,539,37.195771,127.1174309
서대전초등학교,초등학교,대전광역시,중구,용두동,27-13,36.32680851,127.4111889
화천초등학교,초등학교,강원특별자치도,화천군,화천읍,아리 211-2,38.10474334,127.7088476
가곡초등학교보발분교장,초등학교,충청북도,단양군,가곡면,보발리 711-1,37.02953921,128.448753
농소초등학교,초등학교,경상북도,김천시,율곡동,21,36.12263602,128.1749068
성당초등학교,초등학교,충청남도,당진시,사기소동,644-5,36.836662,126.6051168
청라초등학교,초등학교,충청남도,보령시,청라면,나원리 916,36.39065311,126.6730505
팔덕초등학교,초등학교,전북특별자치도,순창군,팔덕면,용산리 353-1,35.39289622,127.0976555
인천용학초등학교,초등학교,인천광역시,미추홀구,용현동,664-4,37.44676348,126.6434992
김해활천초등학교,초등학교,경상남도,김해시,지내동,297-5,35.23181885,128.9194783
화성청계초등학교,초등학교,경기도,화성시,청계동,518,37.199192,127.1021055
신금초등학교,초등학교,부산광역시,북구,금곡동,1109,35.25086987,129.014795
대전봉산초등학교,초등학교,대전광역시,서구,갈마동,389,36.34527951,127.3652655
영훈초등학교,초등학교,서울특별시,강북구,미아동,471-2,37.61468187,127.0280933
청주대성초등학교,초등학교,충청북도,청주시,청원구,내덕동 262,36.65403128,127.4897886
동안초등학교,초등학교,경기도,안양시,동안구,평촌동 898-1,37.389519,126.9649077
서울휘봉초등학교,초등학교,서울특별시,동대문구,휘경동,49-27,37.58567641,127.0700416
인천원당초등학교,초등학교,인천광역시,서구,당하동,1022,37.592514,126.6913305
옥동초등학교,초등학교,충청북도,진천군,덕산읍,두촌리 2505,36.90351811,127.5289119
풍세초등학교,초등학교,충청남도,천안시,동남구,풍세면 풍서리 452,36.72629021,127.1183519
삼어초등학교,초등학교,부산광역시,해운대구,반여동,1138-2,35.20869693,129.1158557
단계초등학교,초등학교,강원특별자치도,원주시,단계동,82,37.35920567,127.9359535
의왕부곡초등학교,초등학교,경기도,의왕시,삼동,158-3,37.31630748,126.9494753
판교대장초등학교,초등학교,경기도,성남시,분당구,대장동 155,37.368259,127.0697175
백성초등학교,초등학교,경기도,안성시,옥산동,566,37.00547351,127.251975
창호초등학교,초등학교,강원특별자치도,동해시,묵호진동,85-7 번지,37.55924145,129.1081551
서울신봉초등학교,초등학교,서울특별시,관악구,봉천동,458,37.48557635,126.9493909
논산내동초등학교,초등학교,충청남도,논산시,내동,162-1,36.186009,127.1040798
인천영종초등학교금산분교장,초등학교,인천광역시,중구,운북동,453-1,37.51341888,126.5214521
장산초등학교,초등학교,광주광역시,남구,주월동,482-1,35.13052654,126.8948316
마송중앙초등학교,초등학교,경기도,김포시,통진읍,마송리 499,37.68935513,126.5936743
하랑초등학교,초등학교,경기도,남양주시,호평동,125-8,37.65003598,127.2552349
대전원신흥초등학교,초등학교,대전광역시,유성구,원신흥동,496,36.34100823,127.342524
남양주월산초등학교,초등학교,경기도,남양주시,화도읍,월산리 1528-1,37.65400023,127.340419
서울중동초등학교,초등학교,서울특별시,마포구,성산동,94-1,37.56641061,126.9117752
수영초등학교,초등학교,부산광역시,수영구,광안동,725,35.16569999,129.112332
연하초등학교,초등학교,경기도,가평군,상면,연하리 452-1,37.80326029,127.342505
동상초등학교,초등학교,전북특별자치도,완주군,동상면,신월리 286,35.95777997,127.293752
안산창촌초등학교,초등학교,경기도,안산시,상록구,건건동 619,37.30585501,126.9046926
서울휘경초등학교,초등학교,서울특별시,동대문구,휘경동,302-2,37.585736,127.0582142
남상초등학교,초등학교,경상남도,거창군,남상면,무촌리 589-4,35.64501258,127.9105881
이포초등학교하호분교장,초등학교,경기도,여주시,금사면,하호리 188-3,37.40585877,127.5012612
부평초등학교,초등학교,강원특별자치도,인제군,남면,신남리 458 번지,37.96976661,128.0839125
사동초등학교,초등학교,부산광역시,사하구,당리동,467-6,35.10450247,128.9806236
오목초등학교,초등학교,충청남도,아산시,신창면,오목리 310-4,36.80853919,126.9278256
여울초등학교,초등학교,세종특별자치시,보람동,664-106,,36.476033,127.2851401
대전동도초등학교,초등학교,대전광역시,대덕구,오정동,316,36.34772232,127.4128475
산내남명초등학교,초등학교,경상남도,밀양시,산내면,남명리 1109-1,35.58775074,128.9544219
호계초등학교,초등학교,충청남도,공주시,사곡면,호계리 420,36.50761149,127.024183
서울망원초등학교,초등학교,서울특별시,마포구,망원동,467-1,37.56088948,126.9007631
서광초등학교,초등학교,광주광역시,서구,쌍촌동,362-7,35.15481896,126.8645209
영동초등학교,초등학교,충청북도,영동군,영동읍,계산리 674-4,36.17306958,127.7794533
백산초등학교,초등학교,전북특별자치도,부안군,백산면,평교리 223,35.70207422,126.7881032
영산초등학교,초등학교,전북특별자치도,정읍시,하북동,151-3,35.59908625,126.8625184
월곡초등학교,초등학교,광주광역시,광산구,월곡동,588,35.16677612,126.8149848
주감초등학교,초등학교,부산광역시,사상구,주례동,319,35.15391434,129.0014957
옥천초등학교,초등학교,전북특별자치도,순창군,순창읍,남계리 362-2,35.37302512,127.1464854
서울대명초등학교,초등학교,서울특별시,강동구,명일동,234,37.54766615,127.1532701
노산초등학교,초등학교,경상남도,사천시,동금동,171-5,34.9300336,128.0837627
한내초등학교,초등학교,경기도,이천시,증포동,70-5,37.29041031,127.4615027
남일초등학교,초등학교,충청남도,금산군,남일면,초현리 253-2,36.04352247,127.5029095
수동초등학교송천분교장,초등학교,경기도,남양주시,수동면,송천리 332,37.69512457,127.334259
광명초등학교,초등학교,충청남도,보령시,오천면,원산도리 756-1,36.37142647,126.4311731
대구남덕초등학교,초등학교,대구광역시,남구,대명동,531-1,35.83306282,128.5739472
월학초등학교,초등학교,강원특별자치도,인제군,북면,월학리 162 번지,38.17074712,128.2093385
수문초등학교,초등학교,광주광역시,광산구,신창동,1259,35.19446033,126.8372672
서울역촌초등학교,초등학교,서울특별시,은평구,역촌동,82-1,37.60158417,126.913928
반곡초등학교,초등학교,충청남도,논산시,양촌면,반곡리 250,36.18283686,127.2055143
정일초등학교,초등학교,전북특별자치도,정읍시,용계동,332,35.58979214,126.8199201
이성초등학교,초등학교,전북특별자치도,완주군,이서면,이성리 426-1,35.79757103,127.045039
서울오정초등학교,초등학교,서울특별시,구로구,오류동,108-28,37.49016566,126.8264392
조천초등학교교래분교장,초등학교,제주특별자치도,제주시,조천읍,교래리 564,33.43650075,126.6780473
금동초등학교,초등학교,경상남도,김해시,상동면,대감리 656-2,35.30876696,128.9295779
노동초등학교,초등학교,전라남도,보성군,노동면,거석리 522,34.82428089,127.0485426
광주서림초등학교,초등학교,광주광역시,북구,임동,32-1,35.16188253,126.8995866
동부초등학교율포분교장,초등학교,경상남도,거제시,동부면,율포리 628-1,34.77918062,128.5939535
한별초등학교,초등학교,경기도,남양주시,별내동,1038,37.64648136,127.115975
서울용답초등학교,초등학교,서울특별시,성동구,용답동,29,37.56072712,127.0537608
안양부흥초등학교,초등학교,경기도,안양시,동안구,비산동 1102-8,37.3947605,126.9465091
백양초등학교,초등학교,부산광역시,북구,만덕동,838-1,35.20773508,129.0344087
쌍계초등학교,초등학교,경상남도,하동군,화개면,운수리 328-26,35.23212388,127.6445912
광양북초등학교,초등학교,전라남도,광양시,광양읍,목성리 494-4,34.97691665,127.5938584
서울마포초등학교,초등학교,서울특별시,마포구,도화동,347-5,37.53860225,126.949816
대구운암초등학교,초등학교,대구광역시,북구,구암동,789-4,35.935603,128.565682
청일초등학교,초등학교,강원특별자치도,횡성군,청일면,유동리 1005-1,37.58131788,128.146834
백학초등학교,초등학교,경기도,연천군,백학면,두일리 16,38.03160096,126.921547
광석초등학교,초등학교,충청남도,논산시,광석면,신당리 14,36.24358508,127.0805771
금산초등학교,초등학교,강원특별자치도,춘천시,서면,금산리 472-1번지,37.90346175,127.6993912
화계초등학교대룡분교장,초등학교,강원특별자치도,홍천군,북방면,북방리 455-2번지,37.79409762,127.8654081
소야초등학교,초등학교,강원특별자치도,속초시,노학동,1-36,38.19964843,128.5667195
서울전동초등학교,초등학교,서울특별시,동대문구,전농동,45-41,37.57908329,127.0608053
전주장동초등학교,초등학교,전북특별자치도,전주시,덕진구,장동 258-2,35.84928596,127.0601031
임당초등학교,초등학교,강원특별자치도,양구군,동면,임당리 564 번지,38.20110769,128.0421702
공현진초등학교,초등학교,강원특별자치도,고성군,죽왕면,공현진리 334 번지,38.35457469,128.5076301
월계초등학교,초등학교,울산광역시,남구,무거동,488-11,35.53866731,129.2580704
풍산초등학교,초등학교,강원특별자치도,화천군,화천읍,풍산리 764-5 번지,38.14775096,127.7414389
무봉초등학교,초등학교,경기도,화성시,청계동,549,37.202987,127.116806
서울삼성초등학교,초등학교,서울특별시,관악구,신림동,233-1,37.46852204,126.9404929
내리초등학교,초등학교,부산광역시,기장군,기장읍,내리 772,35.2057615,129.2055036
태백초등학교,초등학교,강원특별자치도,태백시,장성동,207-2 번지,37.10857841,129.005232
제원초등학교,초등학교,충청남도,금산군,제원면,제원리 200,36.11320959,127.5450354
대전석봉초등학교,초등학교,대전광역시,대덕구,신탄진동,163-2,36.44700334,127.434406
청운초등학교,초등학교,전북특별자치도,김제시,금구면,청운리 198,35.81054766,126.9826412
서울한강초등학교,초등학교,서울특별시,용산구,한강로3가,65-5,37.525227,126.965079
송산초등학교,초등학교,충청남도,당진시,송산면,상거리 322-2,36.931932,126.6791646
천안용곡초등학교,초등학교,충청남도,천안시,동남구,용곡동 497-15,36.7868805,127.1316816
이리영등초등학교,초등학교,전북특별자치도,익산시,영등동,762,35.953004,126.9723737
삼성현초등학교,초등학교,경상북도,경산시,백천동,438-3,35.79990067,128.7395072
회원초등학교,초등학교,경상남도,창원시,마산회원구,회원동 393-1,35.21982858,128.5667167
천안부성초등학교,초등학교,충청남도,천안시,서북구,두정동 956,36.83524216,127.1366621
