지방청,총괄국명,관내국,우편번호,주소,전화번호
서울청,서울지방우정청,서울지방우정청,03187,"서울특별시 종로구 종로 6 (서린동, 서울지방우정청)",02-6967-9116
서울청,서울중앙우체국,동국대학교우편취급국,04620,"서울특별시 중구 필동로1길 30 (장충동2가,동국대학교)",02-2290-1451
서울청,서울중앙우체국,서울소공동우체국,04526,서울특별시 중구 남대문로1길 34 (북창동),02-757-2660
서울청,서울중앙우체국,서울신당1동우편취급국,04610,서울 중구 다산로29길 23 (신당동),02-2252-5365
서울청,서울중앙우체국,서울신당동우체국,04590,서울특별시 중구 다산로 128-8 (신당동),02-2236-0606
서울청,서울중앙우체국,서울신당현대우편취급국,04584,서울 중구 다산로36나길 7 (신당동),02-2232-3316
서울청,서울중앙우체국,서울역전우체국,04509,서울특별시 중구 통일로 21 (봉래동2가),02-757-1140
서울청,서울중앙우체국,서울을지로4가우체국,04549,서울특별시 중구 을지로 154-2 (을지로4가),02-2273-6505
서울청,서울중앙우체국,서울중앙우체국,04535,서울특별시 중구 소공로 70 (충무로1가),02-6450-1114
서울청,서울중앙우체국,서울충무로2가우체국,04553,서울특별시 중구 삼일대로6길 5 (충무로2가),02-2278-0038
서울청,서울중앙우체국,서울태평로우체국,04512,서울특별시 중구 칠패로 42 (봉래동1가),02-6949-6941
서울청,서울중앙우체국,서울퇴계로5가우체국,04618,서울특별시 중구 퇴계로 270 (장충동2가),02-2273-6508
서울청,서울중앙우체국,서울회현동우편취급국,04635,서울 중구 퇴계로6길 18 (남창동),02-756-3377
서울청,서울중앙우체국,서울흥인동우체국,04569,서울특별시 중구 다산로 253 (흥인동),02-2236-0500
서울청,광화문우체국,광화문우체국,03187,"서울특별시 종로구 종로 6 (서린동,광화문우체국)",02-3703-9011
서울청,광화문우체국,상명대학교우편취급국,03016,"서울특별시 종로구 홍지문2길 20 (홍지동,상명대학교)",02-2287-5272
서울청,광화문우체국,서울내수동우편취급국,03173,"서울특별시 종로구 새문안로3길 30, 지하121호",02-730-5497
서울청,광화문우체국,서울대학교병원우편취급국,03080,서울특별시 종로구 대학로 101 (연건동),02-742-4005
서울청,광화문우체국,서울삼청동우체국,03050,서울특별시 종로구 북촌로 112 (삼청동),02-736-3005
서울청,광화문우체국,서울세검정우체국,03018,서울특별시 종로구 세검정로 258 (신영동),02-379-0141
서울청,광화문우체국,서울숭인동우체국,03108,서울특별시 종로구 지봉로 88 (숭인동),02-745-0917
서울청,광화문우체국,서울안국동우체국,03060,서울특별시 종로구 율곡로 49 (안국동),02-735-2005
서울청,광화문우체국,서울종로2가우체국,03140,서울특별시 종로구 종로17길 8 (종로2가),02-742-0004
서울청,광화문우체국,서울종로5가우체국,03129,서울특별시 종로구 종로 207-1 (종로5가),02-742-9992
서울청,광화문우체국,서울종로6가우편취급국,03124,서울특별시 종로구 종로41길 36,02-766-0079
서울청,광화문우체국,서울창신1동우편취급국,03121,서울특별시 종로구 종로 328 (창신동),02-745-0015
서울청,광화문우체국,서울창신2동우편취급국,03092,"서울특별시 종로구 낙산길 198 (창신동,쌍용아파트)",02-742-0148
서울청,광화문우체국,서울통의동우체국,03044,서울특별시 종로구 자하문로 30 (통의동),02-738-3866
서울청,광화문우체국,서울혜화동우체국,03075,서울특별시 종로구 혜화로 1 (혜화동),02-743-0014
서울청,광화문우체국,서울홍파동우편취급국,03165,"서울특별시 종로구 송월길 99, 경희궁자이아파트 202동 상가 145호 (홍파동, 경희궁자이2단지)",02-738-7107
서울청,광화문우체국,성균관대학교우편취급국,03063,"서울특별시 종로구 성균관로 25-2 (명륜3가,성균관대학교)",02-740-1900
서울청,광화문우체국,정부서울청사우편취급국,03171,"서울특별시 종로구 세종대로 209 (세종로, 정부서울청사)",02-738-0208
서울청,광화문우체국,통신센타,04535,(null),02-720-4770
서울청,광화문우체국,한국방송통신대학교우편취급국,03087,서울시 종로구 대학로 86(동숭동),02-743-0150
서울청,서대문우체국,경찰청우편취급국,03739,"서울특별시 서대문구 통일로 97 (미근동, 경찰청)",02-365-2001
서울청,서대문우체국,명지대학교우편취급국,03674,"서울특별시 서대문구 거북골로 34 (남가좌동,명지대학교)",02-300-0950
서울청,서대문우체국,서대문우체국,03727,"서울특별시 서대문구 성산로20길 9(창천동,서대문우체국)",02-390-9114
서울청,서대문우체국,서울남가좌1동우편취급국,03712,서울특별시 서대문구 모래내로 143 (남가좌동),02-303-7500
서울청,서대문우체국,서울독립문우편취급국,03733,서울특별시 서대문구 독립문공원길 13 (현저동),02-312-0225
서울청,서대문우체국,서울모래내우체국,03690,서울특별시 서대문구 거북골로 160 (북가좌동),02-303-0119
서울청,서대문우체국,서울미근동우편취급국,03742,"서울특별시 서대문구 서소문로 21 (충정로3가,충정타워빌딩)",02-365-0315
서울청,서대문우체국,서울신촌우체국,03766,서울특별시 서대문구 신촌로 161 (대현동),02-362-0205
서울청,서대문우체국,서울연세대학교우체국,03722,서울특별시 서대문구 연세로 50 (신촌동),02-392-2491
서울청,서대문우체국,서울연희동우체국,03698,서울특별시 서대문구 증가로 12 (연희동),02-324-2005
서울청,서대문우체국,서울충정로우체국,03735,서울특별시 서대문구 통일로 127 (충정로2가),02-362-0004
서울청,서대문우체국,서울홍은2동우편취급국,03658,서울특별시 서대문구 연희로 261-28 (홍은동),02-395-1500
서울청,서대문우체국,서울홍은미성우편취급국,03650,서울특별시 서대문구 연희로41길 37 (홍은동),02-3216-6161
서울청,서대문우체국,서울홍제3동우편취급국,03619,서울특별시 서대문구 간호대로 11-24 (홍제동),02-391-8910
서울청,서대문우체국,서울홍제동우체국,03646,서울특별시 서대문구 통일로 419 (홍제동),02-379-4205
서울청,서대문우체국,이화여자대학교우편취급국,03760,"서울특별시 서대문구 이화여대길 52 학생문화관 104호 (대현동, 이화여자대학교)",02-312-0010
