농업기술센터,주소
경기도 농업기술원,경기도 화성시 병점중앙로 283-33
강원특별자치도 농업기술원,강원특별자치도 춘천시 신북읍 장본길 40
충청북도 농업기술원,충청북도 청주시 청원구 오창읍 가곡길 46
충청남도 농업기술원,충청남도 예산군 신암면 추사로 167
전북특별자치도 농업기술원,전북특별자치도 익산시 서동로 413
전라남도 농업기술원,전라남도 나주시 산포면 세남로 1508
경상북도 농업기술원,대구광역시 북구 칠곡중앙대로136길 47
경상남도 농업기술원,경상남도 진주시 대신로 570
제주특별자치도 농업기술원,제주특별자치도 서귀포시 중산간서로 212
서울시 농업기술센터,서울특별시 서초구 헌인릉 1길 83-9
부산시 농업기술센터,부산광역시 강서구 공항로 1285
기장군 농업기술센터,부산광역시 기장군 기장읍 반송로 1370-22
대구시 농업기술센터,대구광역시 동구 동촌로42길 69
달성군 농업기술센터,대구광역시 달성군 논공읍 달성군청로 33
인천시 농업기술센터,인천광역시 계양구 살라리로2번길 33
강화군 농업기술센터,인천광역시 강화군 불은면 중앙로 742-2
옹진군 농업기술센터,인천광역시 중구 서해대로 374
광주시 농업기술센터,광주광역시 서구 내방로 111
대전시 농업기술센터,대전광역시 유성구 교촌대정로 97
울산시 농업기술센터,울산광역시 울주군 청량읍 청량천변로 211
세종시 농업기술센터,세종특별자치시 한누리대로 2130
수원시 농업기술센터,경기도 수원시 팔달구 효원로 241
성남시 농업기술센터,경기도 성남시 수정구 대왕판교로982번길 25
평택시 농업기술센터,경기도 평택시 경기대로 245
고양시 농업기술센터,경기도 고양시 덕양구 고양대로 1695
남양주시 농업기술센터,경기도 남양주시 진건읍 사릉로 234-46
시흥시 농업기술센터,경기도 시흥시 시청로 20
용인시 농업기술센터,경기도 용인시 처인구 농촌파크로 80
파주시 농업기술센터,경기도 파주시 통일로 600
이천시 농업기술센터,경기도 이천시 부악로 40
안성시 농업기술센터,경기도 안성시 보개면 보개원삼로 219
김포시 농업기술센터,경기도 김포시 월곶면 오리정로 13
화성시 농업기술센터,경기도 화성시 장안면 풍무길80번길 53-20
광주시 농업기술센터,경기도 광주시 행정타운로 50
양주시 농업기술센터,경기도 양주시 광적면 지섬로 162
포천시 농업기술센터,경기도 포천시 신북면 틀못이길 11-88
안산시 농업기술센터,경기도 안산시 상록구 항가울로 222
여주시 농업기술센터,경기도 여주시 농산로 71
연천군 농업기술센터,경기도 연천군 연천읍 차현로 139
가평군 농업기술센터,경기도 가평군 가평읍 아랫마장길 59
양평군 농업기술센터,경기도 양평군 양평읍 농업기술센터길 59
춘천시 농업기술센터,강원특별자치도 춘천시 신북읍 신북로 262
원주시 농업기술센터,강원특별자치도 원주시 흥업면 흥대길 7
강릉시 농업기술센터,강원특별자치도 강릉시 사천면 동해대로 3738-17
동해시 농업기술센터,강원특별자치도 동해시 승지로 58-2
태백시 농업기술센터,강원특별자치도 태백시 구와우길 34-6
속초시 농업기술센터,강원특별자치도 속초시 동해대로 4243
삼척시 농업기술센터,강원특별자치도 삼척시 중앙로 296
횡성군 농업기술센터,강원특별자치도 횡성군 공근면 영서로 150
영월군 농업기술센터,강원특별자치도 영월군 영월읍 덕포우회길 329
평창군 농업기술센터,강원특별자치도 평창군 평창읍 군청길 77
정선군 농업기술센터,강원특별자치도 정선군 정선읍 봉양3길 21
철원군 농업기술센터,강원특별자치도 철원군 동송읍 장흥로 311
화천군 농업기술센터,강원특별자치도 화천군 화천읍 화천새싹길 45
양구군 농업기술센터,강원특별자치도 양구군 양구읍 관공서로 38
인제군 농업기술센터,강원특별자치도 인제군 인제읍 덕산로 256-45
고성군 농업기술센터,강원특별자치도 고성군 간성읍 간성북로 87
양양군 농업기술센터,강원특별자치도 양양군 손양면 동해대로 2558
홍천군 농업기술센터,강원특별자치도 홍천군 홍천읍 홍천로 677
청주시 농업기술센터,충청북도 청주시 상당구 남일면 단재로 480
충주시 농업기술센터,충청북도 충주시 동량면 충원대로 1350
제천시 농업기술센터,충청북도 제천시 봉양읍 제천북로3길 20
보은군 농업기술센터,충청북도 보은군 보은읍 남부로 4733
옥천군 농업기술센터,충청북도 옥천군 옥천읍 옥천동이로 234
영동군 농업기술센터,충청북도 영동군 영동읍 동정로 1
증평군 농업기술센터,충청북도 증평군 증평읍 내룡길 69-50
진천군 농업기술센터,충청북도 진천군 진천읍 상산로 13
단양군 농업기술센터,충청북도 단양군 단양읍 중앙1로 20
괴산군 농업기술센터,충청북도 괴산군 괴산읍 임꺽정로 169
음성군 농업기술센터,충청북도 음성군 음성읍 용광로 81-5
천안시 농업기술센터,충청남도 천안시 동남구 목천읍 목천안터 1길 15
공주시 농업기술센터,충청남도 공주시 우성면 내산목천길 52-15
보령시 농업기술센터,충청남도 보령시 주포면 충서로 3220
아산시 농업기술센터,충청남도 아산시 염치읍 염성길 70-30
서산시 농업기술센터,충청남도 서산시 인지면 무학재1길 99
논산시 농업기술센터,충청남도 논산시 부적면 백일헌로 3
계룡시 농업기술센터,충청남도 계룡시 두마면 사계로 177
당진시 농업기술센터,충청남도 당진시 구봉로 46
부여군 농업기술센터,충청남도 부여군 규암면 흥수로 488
서천군 농업기술센터,충청남도 서천군 마서면 장서로 689
청양군 농업기술센터,충청남도 청양군 청양읍 구봉로 1026-84
홍성군 농업기술센터,충청남도 홍성군 홍성읍 내포로 230
예산군 농업기술센터,충청남도 예산군 신암면 오신로 852
태안군 농업기술센터,충청남도 태안군 태안읍 군청로 1
금산군 농업기술센터,충청남도 금산군 금성면 의총길25
전주시 농업기술센터,전북특별자치도 전주시 덕진구 원장동길 111-17
군산시 농업기술센터,전북특별자치도 군산시 개정면 운회길 32
익산시 농업기술센터,전북특별자치도 익산시 함열읍 익산대로 1366-20
정읍시 농업기술센터,전북특별자치도 정읍시 정우면 정우남로 282
남원시 농업기술센터,전북특별자치도 남원시 시청로 60
김제시 농업기술센터,전북특별자치도 김제시 동서로 59
완주군 농업기술센터,전북특별자치도 완주군 고산면 고산천로 720-45
무주군 농업기술센터,전북특별자치도 무주군 무주읍 주계로 97
진안군 농업기술센터,전북특별자치도 진안군 진안읍 진무로 702-30
장수군 농업기술센터,전북특별자치도 장수군 장수읍 와동길 55
임실군 농업기술센터,전북특별자치도 임실군 임실읍 수정로 30
순창군 농업기술센터,전북특별자치도 순창군 유등면 담순로 1548
부안군 농업기술센터,전북특별자치도 부안군 행안면 변산로 16
고창군 농업기술센터,전북특별자치도 고창군 고창읍 중거리당산로 94
여수시 농업기술센터,전라남도 여수시 주동 1길 32
순천시 농업기술센터,전라남도 순천시 승주읍 승주로 628
나주시 농업기술센터,전라남도 나주시 왕곡면 덕산길 17
광양시 농업기술센터,전라남도 광양시 광양읍 인덕로 1100
담양군 농업기술센터,전라남도 담양군 담양읍 추성로 1371
곡성군 농업기술센터,전라남도 곡성군 곡성읍 학정3길 9
구례군 농업기술센터,전라남도 구례군 구례읍 동산1길 32
고흥군 농업기술센터,전라남도 고흥군 풍양면 풍남로 143
보성군 농업기술센터,전라남도 보성군 보성읍 녹차로 1357
화순군 농업기술센터,전라남도 화순군 능주면 학포로 2275
장흥군 농업기술센터,전라남도 장흥군 장흥대로 3747
강진군 농업기술센터,전라남도 강진군 군동면 진흥로 85
해남군 농업기술센터,전라남도 해남군 계곡면 둔주포 안길 18
영암군 농업기술센터,전라남도 영암군 덕진면 금호길 11
무안군 농업기술센터,전라남도 무안군 무안읍 무안로 339
함평군 농업기술센터,전라남도 함평군 학교면 학교화산길 90
영광군 농업기술센터,전라남도 영광군 군서면 백수로 1481
장성군 농업기술센터,전라남도 장성군 장성읍 단풍로220
완도군 농업기술센터,전라남도 완도군 완도읍 노두목길 64
진도군 농업기술센터,전라남도 진도군 군내면 가흥로 697
신안군 농업기술센터,전라남도 신안군 압해읍 압해로 1042
포항시 농업기술센터,경상북도 포항시 남구 시청로 1
경주시 농업기술센터,경상북도 경주시 용강상리길 70
김천시 농업기술센터,경상북도 김천시 구성면 남김천대로 3296-22
안동시 농업기술센터,경상북도 안동시 경동로 1484-10
구미시 농업기술센터,경상북도 구미시 선산읍 김선로 963
영주시 농업기술센터,경상북도 영주시 안정면 안정로 30
영천시 농업기술센터,경상북도 영천시 천문로 622-13
상주시 농업기술센터,경상북도 상주시 발산로 71
문경시 농업기술센터,경상북도 문경시 당교로 225
경산시 농업기술센터,경상북도 경산시 자인면 계정길 7
군위군 농업기술센터,대구광역시 군위군 효령면 효우로 97
의성군 농업기술센터,경상북도 의성군 봉양면 경북대로 5225
청송군 농업기술센터,경상북도 청송군 청송읍 주왕산로 177
영양군 농업기술센터,경상북도 영양군 영양읍 영양창수로 339
영덕군 농업기술센터,경상북도 영덕군 영덕읍 경동로 8113
청도군 농업기술센터,경상북도 청도군 화양읍 청화로 70
고령군 농업기술센터,경상북도 고령군 대가야읍 일량본길 137
성주군 농업기술센터,경상북도 성주군 대가면 참별로 2479
칠곡군 농업기술센터,경상북도 칠곡군 왜관읍 군청1길 80
예천군 농업기술센터,경상북도 예천군 예천읍 충효로 433
봉화군 농업기술센터,경상북도 봉화군 봉성면 다덕로 374-47
울진군 농업기술센터,경상북도 울진군 울진읍 울진중앙로 121
울릉군 농업기술센터,경상북도 울릉군 울릉읍 간령길 83-18
창원시 농업기술센터,경상남도 창원시 성산구 중앙대로 151
진주시 농업기술센터,경상남도 진주시 동진로 155
통영시 농업기술센터,경상남도 통영시 광도면 향교옆길 31
사천시 농업기술센터,경상남도 사천시 용현면 시청로 77
김해시 농업기술센터,경상남도 김해시 김해대로 2401
밀양시 농업기술센터,경상남도 밀양시 상남면 상남로 1008-19
거제시 농업기술센터,경상남도 거제시 거제면 거제남서로 3567
양산시 농업기술센터,경상남도 양산시 중앙로 39
의령군 농업기술센터,경상남도 의령군 의령읍 충익로 63
함안군 농업기술센터,경상남도 함안군 가야읍 함안대로 755
창녕군 농업기술센터,경상남도 창녕군 창녕읍 군청길 1
고성군 농업기술센터,경상남도 고성군 고성읍 성내로 130
남해군 농업기술센터,경상남도 남해군 남해읍 망운로9번길 12
하동군 농업기술센터,경상남도 하동군 적량면 한옥정길 91
산청군 농업기술센터,경상남도 산청군 산청읍 산엔청로 1
함양군 농업기술센터,경상남도 함양군 함양읍 함양남서로 996-76
거창군 농업기술센터,경상남도 거창군 거창읍 거함대로 3322
합천군 농업기술센터,경상남도 합천군 합천읍 충효로 15
제주 농업기술센터,제주특별자치도 제주시 애월읍 상귀길 173
서귀포 농업기술센터,제주특별자치도 서귀포시 남원읍 중산간동로 7415
동부 농업기술센터,제주특별자치도 제주시 구좌읍 충렬로 166
서부 농업기술센터,제주특별자치도 제주시 한림읍 월림 7길 90
