사업소명,사업소전화번호,소재지도로명주소,소재지지번주소,위도,경도,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,기타임대농기계보유정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
영주시 농업기술센터 본소,054-639-7389,경상북도 영주시 안정면 안정로 30,경상북도 영주시 안정면 안심리 131,36.8475728,128.5588057,79,5,15,12,22,13,0,3,농용굴삭기(4)+농산물순제거기(2)+파이프밴딩성형기(2)+동력살포기(4)+동력이식기(1)+동력제초기(8)+동력파쇄기(9)+동력파종기(2)+장작제조기(1)+전지전정기(4)+콩예취기(1)+퇴비살포기(4),054-639-7377,경상북도 영주시청,2023-07-07,5090000,경상북도 영주시
영주시 농업기술센터 남부분소,054-639-3871,경상북도 영주시 문수면 종릉로 516,경상북도 영주시 문수면 만방리 918-2,36.77318427,128.6552681,95,24,15,36,30,15,0,1,농용굴삭기(5)+농산물순제거기(2)+농산물제피기(1)+동력예취기(1)+동력이식기(1)+동력제초기(10)+동력파쇄기(12)+씨감자절단기(1)+장작제조기(1)+전지전정기(4)+콩예취기(1)+퇴비살포기(5),054-639-3875,경상북도 영주시청,2023-07-07,5090000,경상북도 영주시
영주시 농업기술센터 북부분소,054-639-3783,경상북도 영주시 단산면 아호로 6,경상북도 영주시 단산면 옥대리 135-4,36.9481752,128.6173492,86,7,9,10,26,14,0,3,농용굴삭기(5)+농산물순제거기(2)+농산물제피기(1)+농업용고소작업차(3)+동력배토기(3)+동력살포기(6)+동력이식기(1)+동력제초기(16)+동력파쇄기(17)+동력파종기(4)+스피드스프레이어(3)+장작제조기(1)+콩예취기(1)+퇴비살포기(8),054-639-3782,경상북도 영주시청,2023-07-07,5090000,경상북도 영주시
계룡시농업기술센터,042-840-3414,충청남도 계룡시 두마면 사계로 177,,,,34,2,15,7,13,2,0,0,0,042-840-3414,계룡시농업기술센터,2023-07-11,5580000,충청남도 계룡시
농업기계임대사업소 본소,041-669-5951,충청남도 서산시 인지면 무학재1길 99,충청남도 서산시 인지면 산동리 565-1,36.72069284,126.4127382,118,11,19,54,61,7,0,0,82동력배토기 (4) + 육묘상자운반기 (5) + 인력파종기 (20) + 파이프벤딩기 (3) + 고속절단기 (2) + 비닐피복기 (5) + 마늘쪽선별기 (8) + 마늘선별기 (1) + 감자선별기 (1) + 마늘쪽분리기 (8) + 굴착기 (1) + 적심기 (2) + 땅콩탈피기 (1) + 동력운반차 (1) + 동력살분무기 (4) + 동력예취기 (1) + 동력채소이식기 (1) + 예초기 (2) + 동력목재파쇄기 (1) + 피트모스배합기 (1) + 종자소독기 (1) + 콩예취기 (1) + 탈망기 (7) + 전지가위 (1),041-660-3911,충청남도서산시농업기술센터,2023-06-30,4530000,충청남도 서산시
농업기계임대사업소 동부분소,041-688-7766,충청남도 서산시 운산면 홍안벌로 501,충청남도 서산시 운산면 거성리 340-19,36.758273,126.533151,99,11,14,45,46,6,0,0,63굴착기 (1) + 농산물 건조기 (1) + 마늘쪽선별기 (7) + 마늘선별기 (1) + 적심기 (2) + 줄기절단기 (1) + 동력운반차 (1) + 고속절단기 (1) + 파이프벤딩기 (2) + 동력배토기 (5) + 동력살분무기 (5) + 상토혼합기 (1) + 예초기 (2) + 동력목재파쇄기 (1) + 마늘쪽분리기 (6) + 비닐피복기 (4) + 육묘상자운반기 (2) + 종자소독기 (1) + 탈망기 (5) + 파종기 (14),041-660-3911,충청남도서산시농업기술센터,2023-06-30,4530000,충청남도 서산시
합천군 북부권 농기계대여은행,055-930-4190,경상남도 합천군 야로면 미숭산로 21,경상남도 합천군 야로면 야로리 225-5,35.7091524,128.1726799,146,8,18,15,12,4,0,7,,055-930-4190,경상남도 합천군청,2024-04-26,5480000,경상남도 합천군
김포시농기계임대사업소,031-5186-4356,경기도 김포시 통진읍 하성로 58-155,경기도 김포시 통진읍 수참리 373,37.68294393,126.6407727,162,11,25,32,38,21,6,0,농산물선별기(5)+육묘잎자르기(1)+농업용고소작업차(1)+굴삭기(농업용굴삭기)(5)+농업용동력운반차(1)+동력분무기(2)+동력배토기(5)+동력살분무기(5)+동력살포기(4)+예취기(2)+농산물제피기(2)+육묘상자세척기(2)+육묘용파종기용품(2)+비닐피복기(9)+퇴비살포기(동력퇴비살포기)(3)+쑥쑥이(지주대뽑기)(2)+농산물순제거기(1)+콩예취기(2)+곡물선별기(2)+탈망기(3)+파렛트 랩피복기(랩피복기)(1)+농용파이프벤딩성형기(3)+휴대용자동전동가위(4)+동력이식기(15)+동력구굴기(2)+동력항타기(2)+다목적유압테스터기(1)+엔진발전기(2)+오일여과장치(1)+유압호수 압착테스터기(1)+전기용접기(1)+동력제초기_논둑용(2)+동력제초기-원판형(3)+동력중격제초기(4)+동력파쇄기(9)+콤바인(3),031-5186-4356,경기도 김포시청 농업기술센터,2024-05-20,4090000,경기도 김포시
양주시농기계대여은행,031-8082-6151,경기도 양주시 은현면 그루고개로221번길262,경기도 양주시 은현면 도하리 682,37.8410157403,126.9984411659,298,16,38,21,54,11,19,22,콩콤바인(6)+농용굴삭기(4)+승용관리기(3)+승용관리기용작업기 6대 +스키드로우더 3대+볍씨파종기(4)+곡물적재함(1)+동력분무기(4)동력살분무기(5)+미스트기(6)+전정가위(2)+콩예취기(2)+동력이식기(5)+동력운반차(1)+중경제초기(2)+승용예취기(2)+목재파쇄기(자주형)(7)+보리방아(1)+색체선별기(1)+논물꼬베토기(1)+땅콜탈피기(1)+인력피복기(7)+동력제초기(2)동력이식기(5)+동력운반차(1)+중경제초기(2)+승용예취기(2)+목재파쇄기(자주형)(7)+보리방아(1)+색체선별기(1)+논물꼬베토기(1)+땅콜탈피기(1)+인력피복기(7)+동력제초기(2)+적심기(4)고구마수확기(2)+고구마순제초기(동력)(2)+보행동력예취기(2)+육묘상자정렬기(2)+농업용지주설치기(2)+볍씨탈망기(2),031-8082-6151,경기도 양주시청 농업정책과,2024-05-16,5590000,경기도 양주시
거제시농기계임대사업장,055-639-6457,경상남도 거제시 거제면 거제남서로 3585,경상남도 거제시 거제면 서정리 976-13,34.857507,128.5799097,33,7,18,8,6,0,2,0,대전동가위(2)+파쇄기(9)+이식기(3)+예취기(3)+분무기(1)+살분무기(2)+비료살포기(2)+제초기(3)+항타기(2)+굴삭기(11)+벤딩기(1)+퇴비살포기(2)+정선기(2)+파종기(14)+결속기(1)+동력운반차(3),055-639-6457,거제시농업기술센터,2024-06-18,5370000,경상남도 거제시
밀양시농기계임대사업소,055-359-6995,경상남도 밀양시 상남면 상남로 1008-18,경상남도 밀양시 상남면 기산리 1052-1,35.44556689,128.7573029,136,4,13,21,34,1,0,1,퇴비살포기(2)+농산물세척기(1)+자동릴방제기(7)+동력운반차(4)+논두렁예초기(5)+고설로터리(3)+채소이식기(2)+동력예취기(6)+마늘선별기(2)+과수박피기(8)+목재파쇄기(21)+고소작업차(5)+농용동력승용운반차(2)+농용로우더(2)+동력살분무기(3)+농산물순제거기(2)+마늘쪽분리기(2)+동력배토기(11)+심경로터리(5)+마늘종자부착기(1)+콩 파종기(10)+ 항타기(3)+심경쟁기(3)+휴대자동전정가위(8)+SS기(5)+SS기부착퇴비살포기(8)+승용동력제초기(14)+휴립복토기(13),055-359-6995,경상남도 밀양시청 농업정책과,2024-06-19,5360000,경상남도 밀양시
연천군 농업기계 임대사업소(연천본소),031-839-4261,경기도 연천군 연천읍 연천로42번길 42,경기도 연천군 연천읍 동막리 598-2,38.08457871,127.0779438,77,6,32,8,36,1,0,0,승용관리기(4)+비료살포기(1)+휴립피복기(1)+로터베이터(1)+콩파종기(3)+제초기(1)+농용굴삭기(3)+농용로우더(1)+동력분무기(2)+동력살분무기(4)+스피드스프레이어 퇴비살포기(2)+콩예취기(3)+휴대용전동가위(5)+승용예취기(3)+파이프밴딩성형기(1)+비닐피복기(인력형)(4)+채소이식기(2)+잔가지파쇄기(2)+사료절단기(1)+콩파종기(인력형)(18),031-839-4201,경기도 연천군청 농업기술센터,2024-06-20,4140000,경기도 연천군
정읍시 농기계임대사업소 북부,063-539-6292,전북특별자치도 정읍시 신태인읍 감곡로 42,전북특별자치도 정읍시 신태인읍 백산리 산 255-1,35.69550298,126.8956564,95,26,48,25,21,0,0,2,경운기_DT-10DE및DT100N(10)+고지엔진톱_KPS-24A(5)+고추세척기_고추전용(10)+고추정식기_A_동양_고추전용(3)+고추정식기_B_우진_고추전용(3)+관리기_본체포함__AMC900SM및ASC-630(18)+구굴기_관__DR-25및RT-60(10)+그레이더_TKG-2000(1)+노스탑파쇄기_KP-5-R(3)+노스탑파쇄기_KP-7-R(1)+논두렁조성기_트__AZ-700CH및SWL-450T(9)+논쟁기_트__YS-5P(3)+논쟁기_트__YS-4P(2)+농업용운반차_HSW-LD1000및ACEⅢ(1)+농용굴삭기_TE1000및U-10-3S(4)+농축산방역기_SOL-E117(5)+동력구굴기_AG400-12(3)+동력배토기_MKF345(3)+동력분무기_SOL-750W4(5)+동력살분무기_MD-6210(5)+동력살분무기_유__L3PSA(2)+동력제초기_HR-900(2)+동력파쇄기_SBX80-B90RL및JP및SBM91(5)+땅속작물수확기_트__HD-1000G및DSH1000(6)+땅속작물수확기_경__DRK-650및DS-1000(5)+땅속작물수확기_트__DR-1400ST및HD-DS1500(5)+땅속작물수확기_트__DR-1200G및1200DD(2)+땅속작물수확기_트__HD-C1600G및DRGH-1650(5)+땅속작물수확기_트__MPH670및680및690(2)+로타리_경__DT-10DE(4)+로터리_트__YJ175및DWR175MV(3)+로터리_트__DW195GM및IT및YPG-1502(2)+마늘줄기절단기_마늘전용(1)+마늘쪽분리기_마늘전용(1)+목재파쇄기_트__S-001A(2)+밭쟁기_트__YS-3B(5)+배부식예취기_TB430S(10)+배토기_경__DT-10DE(4)+보리전용배토기_T360(2)+보리전용배토기_WJG-300및DWL104(5)+비닐수거기_트__트랙터부착(3)+비닐피복기_관__AM-180(5)+비닐피복기_인__SV-20및BG-777B(5)+비료살포기_트__EC-750및EC-5000H(8)+사다리_100㎏__BA-1235(4)+사다리_19㎏__BA-0710(,063-539-6281,전북특별자치도 정읍시청,2025-01-01,4691000,전북특별자치도 정읍시
음성군 농업기술센터 농기계임대사업소 대소삼성지소,043-871-4102,충청북도 음성군 대소면 청천로 38,충청북도 음성군 대소면 오류리 414,36.98899986,127.4844392,31,3,16,4,13,1,3,0,s.s기 퇴비살포기(2)+굴삭기(2)+넝쿨파쇄기(1)+농용고소작업차(1)+스키드로더(1)+승용예취기(2)+인력파종기(2)+인삼정식기(2)+작물수확기(1)+잔가지파쇄기(2)+콩예취기(1)+풍구(1)+디스크모우어(1),043-871-1840,충청북도 음성군청,2024-12-12,4470000,충청북도 음성군
